year,tas,rlut,rsut,rsdt
1850,0.12274948722171075,0.46417929993847906,-0.05948889112889333,5.684341886080802e-14
1851,0.009870583227780116,-0.0008962160531496011,-0.2187524165689041,5.684341886080802e-14
1852,0.00807156261680575,0.1700916923118143,0.07892442426559398,5.684341886080802e-14
1853,-0.074147271015363,-0.006910692618646408,0.16868376203558455,5.684341886080802e-14
1854,-0.10448094834316635,-0.34125246548825316,0.4975288493545378,5.684341886080802e-14
1855,-0.222295166145841,-0.2385675704347534,0.3541304369114471,5.684341886080802e-14
1856,-0.3320765490259987,-0.8088543737958958,0.6662281094266262,5.684341886080802e-14
1857,-0.14662836091162035,-0.33481105343395257,0.023132570361468652,5.684341886080802e-14
1858,-0.18172922973701588,-0.2960274079315184,0.4337743606280071,5.684341886080802e-14
1859,-0.12962282835934502,-0.11727365334081696,0.21559702085598076,5.684341886080802e-14
1860,-0.01988365279748905,-0.12685391148662006,0.07285108424484577,5.684341886080802e-14
1861,-0.020949558501683896,-0.16559229116828078,0.11264497996656075,5.684341886080802e-14
1862,0.10132265013101005,0.24208632380182848,-0.07827354269802811,5.684341886080802e-14
1863,-0.021060527413055752,0.10390935887429009,0.16629669589153195,5.684341886080802e-14
1864,-0.06108423053575507,0.17469942634707536,0.29440424148380373,5.684341886080802e-14
1865,-0.2078219172664717,-0.28288749618357656,0.4343567207550052,5.684341886080802e-14
1866,-0.2727143141489137,-0.5427942779788282,0.4932906651913527,5.684341886080802e-14
1867,-0.17844313000847478,-0.3770602478450087,0.5142595132483052,5.684341886080802e-14
1868,-0.18610865437642587,-0.11683820597068006,0.19692531278649028,5.684341886080802e-14
1869,-0.24654077438236754,-0.6878388319916837,0.602977181739135,5.684341886080802e-14
1870,-0.1762421602790596,-0.4880299139305748,0.49870334740570854,5.684341886080802e-14
1871,-0.09368159939094767,-0.08611900196382294,0.10519860968317118,5.684341886080802e-14
1872,-0.047899107845807976,-0.07957123695794621,0.3228939175529888,5.684341886080802e-14
1873,-0.16638383292854542,-0.2561468583906503,0.38924937555219685,5.684341886080802e-14
1874,-0.12946617487682488,-0.384183739046847,0.13913801898479505,5.684341886080802e-14
1875,0.002789558177539675,-0.07892045531079361,0.04396299246135982,5.684341886080802e-14
1876,-0.09136354925226442,-0.367698420377792,0.09229089174176863,5.684341886080802e-14
1877,-0.13184125109222578,-0.4945755996440937,0.5915124024552938,5.684341886080802e-14
1878,-0.058104292618338604,-0.1070338365320822,0.1837626465293738,5.684341886080802e-14
1879,-0.0488556838962495,-0.13067100894033956,0.2087465632537402,5.684341886080802e-14
1880,-0.019968836719385763,-0.16918879140854415,-0.2788738523198475,5.684341886080802e-14
1881,-0.03291871599373053,-0.0904488202953928,0.4195349411394744,5.684341886080802e-14
1882,-0.18647759811125297,-0.5079360666143486,0.5165897152690633,5.684341886080802e-14
1883,-0.023772986624862824,0.0068087649466122,-0.034767731579677275,5.684341886080802e-14
1884,-0.0531230695938234,-0.1658484605839874,0.2803804677269426,5.684341886080802e-14
1885,-0.16661245582616857,-0.518440945100366,0.12407791295755999,5.684341886080802e-14
1886,-0.009725839569512118,-0.208763207909044,0.16826874264837954,5.684341886080802e-14
1887,0.06003231308051227,0.13262703925570918,0.38025079405964846,5.684341886080802e-14
1888,-0.11326572119048706,-0.49140485087104935,-0.008578785326164962,5.684341886080802e-14
1889,-0.08563000430001466,-0.37733090582943873,0.38567879556978824,5.684341886080802e-14
1890,-0.02142555665210466,-0.2554801729552878,0.18953082711009017,5.684341886080802e-14
1891,-0.07368524721164249,-0.1930319491870307,0.2655373211516121,5.684341886080802e-14
1892,-0.06995106311825339,-0.6446223667109336,-0.1603394641943936,5.684341886080802e-14
1893,0.13877185168468031,0.19969721970582555,-0.5735747805645275,5.684341886080802e-14
1894,0.20399007574133066,0.47368639096524134,-0.33995171586310846,5.684341886080802e-14
1895,0.026342730962028327,0.03721592950171271,-0.32227756533198715,5.684341886080802e-14
1896,0.07443613977596897,0.10618298675598226,-0.12373581409222822,5.684341886080802e-14
1897,0.12303739606727504,0.15102328916009355,-0.244533581351277,5.684341886080802e-14
1898,0.054628630171123405,-0.22193770966811144,-0.23050877232526545,5.684341886080802e-14
1899,0.10981573148529833,0.19811696643520804,0.002317276590432016,5.684341886080802e-14
1900,-0.013240568947708198,-0.2999435162747659,-0.0090772699396382,5.684341886080802e-14
1901,0.09670594066949434,-0.3326740907259875,0.038993274842468395,5.684341886080802e-14
1902,0.1470748111284479,0.06289596689873633,-0.2106903320626401,5.684341886080802e-14
1903,0.253756903621877,0.6079354417637433,-0.6390492023735845,5.684341886080802e-14
1904,0.28750084481515614,0.27924040629301317,-0.6962097682688437,5.684341886080802e-14
1905,0.3604914741101197,0.7457266289409006,-0.7608343298539495,5.684341886080802e-14
1906,0.38830752425462833,0.9074150373417069,-0.6429364238095019,5.684341886080802e-14
1907,0.26210112388537254,0.2058766871569162,-0.3104540882684006,5.684341886080802e-14
1908,0.21031432333683142,0.2620480109695791,-0.4296364132607806,5.684341886080802e-14
1909,0.22259892773541878,0.056724533416712575,-0.40484942169491944,5.684341886080802e-14
1910,0.19860649739490555,0.3496141293327071,-0.2551499261257675,5.684341886080802e-14
1911,0.11503469203302075,-0.05445984510791391,-0.38332398484179464,5.684341886080802e-14
1912,0.09252240634327791,0.06990992671299523,-0.44547714780769354,5.684341886080802e-14
1913,0.14953117988625308,0.08983849304402725,-0.007317225890460577,5.684341886080802e-14
1914,0.2080198201280723,0.19005781562094626,-0.3672186045210566,5.684341886080802e-14
1915,0.29220390293738774,0.38777174342260423,-0.5184928002835818,5.684341886080802e-14
1916,0.2433627445637967,0.255511505617136,-0.18990895415313958,5.684341886080802e-14
1917,0.17965761390792068,0.24266344529067396,-0.31326466691304233,5.684341886080802e-14
1918,0.19134766552701876,0.22008045630514061,-0.12218218438695772,5.684341886080802e-14
1919,0.16684205279369735,0.11851858623995781,-0.41455805995138917,5.684341886080802e-14
1920,0.1468172509223109,0.31985710234911835,-0.039332526598272466,5.684341886080802e-14
1921,0.23523292409112173,0.17168739381926912,-0.2642178356819329,5.684341886080802e-14
1922,0.20742967684299174,0.08587573983047037,-0.6421602108624569,5.684341886080802e-14
1923,0.25846383308214627,0.13344932188283565,-0.2752379776037088,5.684341886080802e-14
1924,0.387558689602713,0.577566299998125,-0.896420142754323,5.684341886080802e-14
1925,0.22251802368776907,0.3205981817146437,-0.4431814817173887,5.684341886080802e-14
1926,0.23313485929736544,0.2944572622129442,-0.6567746916411892,5.684341886080802e-14
1927,0.21118051285884576,0.2385173818535975,-0.6016559638426742,5.684341886080802e-14
1928,0.22833476511516437,-0.12051387756920917,-0.4718010176586205,5.684341886080802e-14
1929,0.3120243450134126,0.2533707716529534,-0.6248491791319708,5.684341886080802e-14
1930,0.37500781199497624,0.6192097516205592,-0.6182366304228424,5.684341886080802e-14
1931,0.36295862036496374,0.5356669618398939,-0.8432341754359243,5.684341886080802e-14
1932,0.3407439038531379,0.5426180874614772,-0.48467355169404414,5.684341886080802e-14
1933,0.25510347825769486,0.2624034632472956,-0.5381850146570315,5.684341886080802e-14
1934,0.211333708402492,-0.05141330775751385,-0.6731056820434986,5.684341886080802e-14
1935,0.28340635073084286,0.4316005148880606,-0.3854420231143223,5.684341886080802e-14
1936,0.34052664109538,0.2819132552344854,-0.3761426147249409,5.684341886080802e-14
1937,0.3952499506536924,0.5166615771254612,-0.6927466170011201,5.684341886080802e-14
1938,0.3679623944688615,0.6544262231249149,-0.3994826583727189,5.684341886080802e-14
1939,0.3284861910635186,0.31230218014670186,-0.5515985397155987,5.684341886080802e-14
1940,0.32203476093235395,0.44874292604549737,-0.4992578774673575,5.684341886080802e-14
1941,0.2817935540260237,-0.04846865656514865,-0.7784798754525895,5.684341886080802e-14
1942,0.3466650640478406,0.4226597150904752,-0.8666353415548826,5.684341886080802e-14
1943,0.39465118174956615,0.6241828266777532,-0.9123841104669737,5.684341886080802e-14
1944,0.3773820901868703,0.7492328494697915,-0.3815562841220128,5.684341886080802e-14
1945,0.08814211934316063,-0.3507446103631082,0.0007996224230595317,5.684341886080802e-14
1946,0.26956514116744756,-0.21868554300411347,-0.8760571892618714,5.684341886080802e-14
1947,0.41781343629781986,0.4742595256615232,-0.5646938022077137,5.684341886080802e-14
1948,0.44069875145248716,0.5228909595582252,-0.5946048651978515,5.684341886080802e-14
1949,0.4471158394886743,0.3303540372044438,-0.9495223130501387,5.684341886080802e-14
1950,0.5005100374229983,0.5923294520089826,-0.8995296163722344,5.684341886080802e-14
1951,0.5076775129122666,0.6830698998179514,-0.665454095056333,5.684341886080802e-14
1952,0.4128216958646931,0.5381031510721641,-0.7093227702157066,5.684341886080802e-14
1953,0.4808003947863426,0.6429445534779177,-0.6617159585083527,5.684341886080802e-14
1954,0.3601502215767596,0.4415548760389356,-0.7776164198529472,5.684341886080802e-14
1955,0.3013322757126389,0.14998998465208047,-0.6208896471619738,5.684341886080802e-14
1956,0.3840088658436116,0.3032500275893426,-0.7977889736503414,5.684341886080802e-14
1957,0.6086061845627455,0.7398648493568203,-1.157851071718781,5.684341886080802e-14
