year,tas,rlut,rsut,rsdt
2015,1.2223782886438244,-0.6785255047521446,0.40181234092132456,0.07252639805284389
2016,1.226041039661709,-0.8059064101281876,0.357789558583832,0.029415244127108053
2017,1.0691725647867543,-0.9182051999910357,0.17603389831978689,-0.019567789555992476
2018,1.0216207028427675,-1.2594955085900779,0.2743171193156826,-0.030489057107786266
2019,1.0509044465119928,-1.0516693268669428,0.2590506652543638,-0.033305130785890924
2020,0.9802456583001344,-1.3399288656590898,0.17751631116829003,0.011093907284589477
2021,1.134070686700511,-1.2587202744394972,0.43457297910762804,0.04663949006891244
2022,1.2623122468634733,-1.0260001093735127,0.26187572493105904,0.12619950649246903
2023,1.2542544506086983,-1.203700875191828,0.45920307508646374,0.17584924509475286
2024,1.3402541602042106,-1.2004168120081147,0.7323601763527989,0.22052886060919263
2025,1.2947664568630444,-1.078840833265133,0.6922081252337478,0.14664546077165141
2026,1.2621668592117885,-1.4336209857323183,0.30514074345079223,0.09723394582385936
2027,1.4149176301015132,-1.187431256046807,0.713330785153488,0.049460123861706506
2028,1.290011170240689,-1.0172180361621201,0.22811795126600032,0.061868791663300726
2029,1.2315486044385011,-1.2418020976031698,0.09637868174598907,-0.005845847477701227
2030,1.149204084415544,-1.585536616596869,-0.033061574907307545,-0.025327182019850625
2031,1.3772815869622832,-1.3551896544836382,0.09971597164819457,-0.03941286791211951
2032,1.537459774518311,-1.2164336482775298,0.07199993766472801,-0.00707452829885824
2033,1.602449951929657,-1.1832461277522839,0.3630155572717939,0.004501015085054405
2034,1.5122546312004488,-1.035807458716448,0.5636235072447278,0.0826260891233801
2035,1.2520949591584554,-1.4459903697398033,0.008895184127808875,0.08891752074151782
2036,1.3762825660796807,-1.3817332703824547,-0.11062070902038101,0.15847420997130257
2037,1.4814376208196904,-1.374030726188579,-0.013087979861367671,0.08709393981138192
2038,1.6837536036745746,-1.4454074065941427,0.15018370944250137,0.0855942104967653
2039,1.6511943061175316,-1.19411497910977,-0.08510859825098294,0.045397229000798234
2040,1.7432977623893748,-1.2835168195439337,-0.043458437267517525,0.02674683818088397
2041,1.6832238267643334,-1.0654224389627984,-0.27496901026434273,-0.04366570774982392
2042,1.8238274319046468,-1.3440518023951142,-0.11747622516753609,-0.05467541154189348
2043,1.8489808570552668,-1.270140311603285,0.3238365424080598,-0.05277438334655926
2044,1.6867360829115228,-1.3151120140767887,0.23316235848409406,0.006156855154358709
2045,1.6567951637554188,-1.683136147616807,-0.13892738165139917,0.042134208244078764
2046,1.8595810908551016,-1.3798338254815974,0.11834289481788574,0.09126567464460322
2047,1.9180386936503169,-1.20175742887281,-0.15760623410810126,0.1499947058442217
2048,1.9195745181016264,-1.2877362384774074,0.07671438716693046,0.1829049061901742
2049,1.9093704902240916,-1.2815357986443132,-0.0569052740921876,0.1059484909120556
2050,2.0814273795288045,-1.2227910394736057,-0.25113987659821646,0.04263420615859559
2051,2.1305744155938555,-1.3277641252213357,0.31504310088766374,0.0089651572172329
2052,2.083778600054984,-1.2086729964159701,-0.3390311621104303,0.01105388612461411
2053,2.12586876049113,-1.4440306888664622,-0.3959744799321214,-0.04589722260988083
2054,2.173723275013856,-1.509179738630536,-0.2591699744009901,-0.0386112261558651
2055,2.1487207184266026,-1.5069721398421336,-0.11224658157135536,0.0049726837988828265
2056,2.2016933977691906,-1.2808976928097877,-0.00013131441464508953,0.08280539965676326
