year,tas,rlut,rsut,rsdt
1850,0.01811610594143076,0.020809881580390766,-0.202108555990975,0.02272431832938082
1851,0.09978481550803053,0.2373474335099104,-0.20196651734262616,0.011836626259821514
1852,0.08338236854621073,0.1621508326328751,-0.11748161615732045,0.042126123154275774
1853,0.06872930032841396,0.3004170156278292,-0.1623568570098115,-0.009319944128492352
1854,-0.05860952379379114,-0.07893405942746767,-0.0007047847260821527,-0.036433389811350025
1855,0.11590653451065691,0.40504603712835774,-0.5094335085532151,-0.053230608024080084
1856,-0.014768589858533687,-0.15540034595684915,-0.1925282875640164,-0.02625459834536059
1857,-0.07231316572836022,0.06929632942737385,-0.07267591525547346,-0.04605467019268872
1858,-0.1293738350585727,0.017246849461116653,-0.010200010957120753,-0.012988293871103451
1859,-0.07050080115374158,-0.26643383698291245,-0.021520998285410542,0.014651735906454633
1860,0.0557370182144723,0.23825494801911873,-0.1607176592852113,0.0672642370103631
1861,-0.04368593647444641,-0.23684160261632314,0.525912943007782,0.03162657104110167
1862,-0.18724926287922017,-0.5961371655203038,0.6290663279049369,0.007419636219140102
1863,-0.18015753973475057,-0.4044534331742966,0.3466703863704055,-0.006842964807333374
1864,-0.025429861259567588,-0.07277635845454711,-0.29449037611367146,0.011292894409223209
1865,-0.01057380596847679,-0.02039116939943142,-0.19766226193597447,-0.0316654924647537
1866,-0.018828621574243698,-0.14428628468658644,-0.1493317516827517,-0.037348647832686765
1867,0.0256506535358767,0.08621493593582841,-0.19878276762011637,-0.04590567206071228
1868,0.030008950363139775,-0.21934751497087746,-0.35840428253175105,0.005073154930926194
1869,0.16069720708952673,0.579715199159125,-0.42364831497161504,0.008016197751032905
1870,-0.0989108452962455,-0.34328251675279375,0.135562302488907,0.010984640791377842
1871,0.17337244061837964,0.26282541657934644,-0.21609122754284726,0.031679655484026625
1872,0.10554020966407052,0.3859672643824297,-0.18896833621195697,0.052422529521436445
1873,0.10968459934878183,0.134209581863729,-0.07400885061068152,0.002031811700021535
1874,0.17411585978510402,0.5889592298860009,-0.18436964865567518,-0.014465948566453335
1875,-0.018038780612641858,-0.15524132162374826,-0.15468041682257194,-0.0450958886879107
1876,0.10473336082628748,-0.10239859139193186,-0.17363007421970167,-0.027395715909221963
1877,0.09832669997592802,0.08961265855705847,-0.5445204953802261,-0.06797239414527212
1878,0.06088420532529426,0.03579766953532726,-0.4097789504760101,-0.07938294621129671
1879,0.22673379480460198,0.5366514732877476,-0.7019501944073454,-0.07684832515184326
1880,0.13061035937164434,0.26347315078268707,-0.48305674228487305,-0.017608929655693828
1881,0.20583375071458931,0.26141852714505376,-0.4681272465447677,-0.011579747703649446
1882,0.23200996666633955,0.4417416260405673,-0.18882889715810336,-0.019539733599117426
1883,0.19152506199395702,-0.5167171476456645,1.1509552783015238,-0.025096383074924233
1884,-0.018281332951687546,-1.1185690097988754,3.2802203700819774,0.051335513864557925
1885,-0.14039424701610415,-0.8501922849462744,1.0971126168747247,-0.008085229642745162
1886,-0.05668708949832535,-0.515126688827479,0.1462937105337545,-0.040771253815819364
1887,0.10104251155973998,0.006419755933336546,-0.4924131382631316,-0.06056802634662972
1888,0.1488639854406415,-0.037423468529283355,-0.1570896161867381,-0.03652165901388571
1889,0.19795528457967748,0.06381043407066045,-0.2756751613611925,-0.07091941044757277
1890,0.20255475049151528,0.12642407301578373,-0.1983727814290006,-0.06412264993355166
1891,0.12781470057069555,0.18543401892455336,0.6490889257390506,-0.014337373534090148
1892,-0.011557633152278868,-0.30997752522924316,0.1816669039440768,0.05826071201090599
1893,-0.021828010680053467,-0.3166321666044496,0.054005938994777125,0.05851315488519049
1894,0.0267979711929911,-0.3227253095026015,-0.3703567699635073,0.09756500416142444
1895,0.17907135290914766,0.26364404739300085,-0.10473265618476546,0.060842307646794325
1896,0.022572167932196407,0.2026828635293043,0.2688863562928532,0.042636759316053485
1897,-0.0931662871640242,-0.3457881403252543,0.03803426071462468,-0.021901464101745205
1898,-0.05929173094159523,-0.2559488463596722,0.17123709602471138,-0.03648471285185906
1899,-0.011155281837488928,-0.22817602276967364,0.07803603792254421,-0.0545442931756952
1900,-0.11226351694892855,-0.610999543615435,0.09013740458696873,-0.0651491189591411
1901,-0.010600766154936991,-0.2196209171957264,0.15512374776983506,-0.08279199681709315
1902,-0.027475594290933714,-0.6650816879068202,0.6362056132254139,-0.07864626994921764
1903,-0.12791702477090894,-0.8278320693974877,1.7491857488147389,-0.042626883619391265
1904,-0.1679750628222223,-0.9958111155915219,1.010671990514325,0.05411583546219845
1905,-0.03641097804290894,-0.3280075113164287,0.3671192382860937,-0.006433217522783252
1906,-0.06634043847458315,-0.5678064029617076,0.31600378208440816,0.04056584868345681
1907,0.026352110445998278,-0.19655382114032705,0.27793395936915033,0.015184971108965328
1908,-0.04301682543587049,-0.41181557785418477,0.6250201068938139,0.06342779769920526
1909,-0.024114738064838548,-0.3962764288035032,0.5010526688859187,-0.001800185902368412
1910,-0.06985789913295548,-0.7245075322432513,0.39429949086382976,-0.025850574730782228
1911,0.15582971521757827,0.03978853899587875,0.3069570517770899,-0.06130309501224929
1912,0.03614177887862979,-0.39210565939941944,1.0595830166693219,-0.04312437823182336
1913,-0.1752601022396334,-1.118004529422933,1.1300850251090395,-0.07175063632627143
1914,-0.051260846854631836,-0.11799251532227117,0.7946163790750802,-0.044747611489583505
1915,-0.10184363883996639,-0.6516615053771488,0.5190271870046672,0.03319494420031788
1916,0.0023158408599783797,-0.16579047798899182,0.22017398031418622,0.12725157250434904
1917,-0.002970887118635801,-0.10516025814783347,0.48560452571449275,0.13662110549478257
1918,-0.042865866226179605,-0.7052427700961914,0.41390563909536127,0.1442802777628458
1919,0.00962240791949398,-0.06726231173405495,0.5708468785667691,0.08031560832358764
1920,-0.11007438012984494,-0.6716211119288005,0.32991229960400403,0.051149718795386434
1921,-0.09794321896549718,-0.7467274362368528,0.15950214608969304,-0.01786175918959998
1922,-0.09020718795943594,-0.7770078263496032,0.6996247518341363,-0.05228408364052939
1923,0.11250100866772073,-0.48704141355602815,-0.022395341334870977,-0.05985476144968516
1924,0.01212146601068298,-0.2902825527081916,0.4219089335436337,-0.013094775843171647
1925,-0.04780570520267702,-0.9180865104714826,0.30034293502177434,-0.004317388408537681
1926,0.06326495195060033,-0.247914954975073,0.2991380477431562,0.051726885090488395
1927,0.003603208012577852,-0.4932379817573178,0.24996997668021947,0.09833761849142775
1928,0.13959673563857677,-0.18383390605592353,0.46041787307157733,0.09976850800552484
1929,0.031964094713771374,-0.5482433594664258,0.6662809888808425,0.05137792683837006
1930,0.03761498611896741,-0.2983246826190964,0.5040822157991443,0.0531271604554604
1931,0.09095107588291285,-0.4781614638499434,0.11085482200752494,0.009177817405202404
1932,0.21413910358506882,0.01615029455876993,0.4790355599660501,0.008799040168469219
1933,0.008262146196159392,-0.6144919088391418,0.3675320437283176,-0.03661057321204453
1934,0.04207168640863301,-0.36238626599879353,0.4152401350514481,-0.021378714725472037
