year,tas,rlut,rsut,rsdt
2015,1.248303615477539,-0.44820210467560173,-0.497266486245735,0.07250309447891823
2016,1.2460079196343372,-0.6513957493324085,-0.2552205425083258,0.02940149751611898
2017,1.3822410477804397,-0.5801759239545845,-0.2503388368179884,-0.019578720050560605
2018,1.3793547350697963,-0.5241652914843655,-0.13712077794525612,-0.030497254827821507
2019,1.2291381498945952,-0.7202644262983426,-0.23421021083382243,-0.03331405421221234
2020,1.489355430376179,-0.7350189122949757,-0.3088168986791686,0.011082927771099094
2021,1.6547644700795558,-0.33761192413118124,0.6016252943012006,0.04663037925433855
2022,1.5122306690298615,-0.6141712112908237,0.027529773089796095,0.12618765600501547
2023,1.695164887171643,-0.16627537378028023,-0.15151110068730134,0.17584578060126432
2024,1.5398044012316632,-0.35532297790004463,0.21520877741861,0.22052185872013297
2025,1.520206981352203,-0.49723067958404954,-0.2422348962643639,0.14661128482146069
2026,1.4402476158783202,-0.8689926409405189,-0.12813960878764874,0.09722058430452307
2027,1.704159250016403,-0.4622126486026161,-0.30151775492441857,0.04944869751886927
2028,1.83061718213321,-0.3332326724681707,-0.22865274947699277,0.06184427540051729
2029,1.5969353217745947,-0.5576364705138701,-0.18484797546533116,-0.005839567881537278
2030,1.6382693535138628,-0.7693637125352382,-0.5700678344701515,-0.025338667400603754
2031,1.830066322139544,-0.4773886083912373,-0.6099070098582189,-0.03943618886069089
2032,1.6675048883919885,-0.6436684801815886,-0.4363483188553374,-0.007090989561504557
2033,1.8468135642183938,-0.6965568401657833,-0.612507714020964,0.004483804733126817
2034,1.9605219583485791,-0.3873488196741448,-0.3818869129653848,0.08262114207042259
2035,1.905073699191746,-0.4410248329623414,-0.8169965245446349,0.08889857209533147
2036,1.9015642569977445,-0.3819662252322189,-0.3327783436852201,0.15847062906919973
2037,1.8549932362786876,-0.7122493015967564,-0.2508206927924448,0.08709039999837387
2038,1.9742992811447948,-0.519911481236818,-0.22162172285082704,0.08556998153363793
2039,2.035682780561558,-0.5716082258637414,-0.4614003231952921,0.04537715356468652
2040,2.045330751965764,-0.599972420333927,-0.44945480614535427,0.026729632920194035
2041,2.26240818556289,-0.311084087554093,-0.47092766046418433,-0.0436805638761939
2042,2.24994663255427,-0.3585524506104605,-0.6288157119979019,-0.05469007188418118
2043,2.2280666634483737,-0.38610407309917605,-0.5926506857944247,-0.052787712789154284
2044,2.1268507822369997,-0.8034060963539105,-0.30622391303447216,0.006133760706632074
2045,2.271277713848633,-0.5226117227561815,-1.0672259929684174,0.04213462104962673
2046,2.351001723132242,-0.46698218906860234,-0.3242596887045863,0.09124922661851542
2047,2.4014130320153413,-0.07615681751207148,-0.428603424187429,0.1499858985615674
2048,2.2837489316964366,-0.32024631202995124,-1.1295106635449486,0.1828761150701439
2049,2.3656603988251277,-0.4906144805598842,-0.7357422111905265,0.10592696245669231
2050,2.3728099583551625,-0.39770232001143313,-0.5402685060222723,0.042617308307626445
2051,2.4783403352930122,-0.5779192163336688,-0.47128546127603954,0.008958030800670258
2052,2.4428932891782438,-0.5384189355324054,-0.03801479419543341,0.011050567447739468
2053,2.575289936039667,-0.47671889080734786,-1.0829644003817123,-0.04592184179625747
2054,2.5904086080780644,-0.5935194202843093,-0.5970397690206539,-0.03862750074335963
2055,2.6043130726213803,-0.32759247058618257,-0.7524105261944669,0.004964273105656503
2056,2.774057026267485,-0.3010559296854183,-0.42851245334830423,0.08280261477932527
