year,tas,rlut,rsut,rsdt
1850,0.14352066481581005,0.23651088014625543,-0.21337019076041486,-0.007814828137384211
1851,0.18078187041476212,0.17173017905415122,-0.5124076234299793,-0.018618961835954906
1852,0.2971593636621037,0.4114177015446785,-0.04505104619784106,0.01146794012220198
1853,0.09623964120169148,0.18826256867484403,-0.716753119488061,-0.03927884323678654
1854,0.22214278949110167,0.3108567037075147,-0.3035941602550736,-0.06672743126432579
1855,0.3393164890701428,0.31275511320774285,-0.04541790633435028,-0.08351493330093263
1856,0.2273990855983925,0.4583569208652989,-0.012327568967734237,-0.05709176836779761
1857,0.08907559962045752,0.16804394914422005,-0.20124480088342978,-0.0763466295027797
1858,0.054002954620045784,0.06285032431770787,-0.3384016985840361,-0.04316414745852626
1859,0.2100950108986126,0.1690782166411111,-0.07375366966063268,-0.015669222269139027
1860,0.1518894959313002,0.07622949779994315,-0.1734858092736573,0.036183740227443195
1861,0.27058217889231173,0.30812246213184835,0.37227716200497696,0.000915551991454322
1862,0.036208177406365394,-0.17831648054576021,0.36748394688139285,-0.022776698413110807
1863,0.043479382737814376,-0.011651827333025722,-0.01499096906621844,-0.036790361622649925
1864,0.13942663784831666,0.11212977535686264,-0.2711039713278325,-0.019498217344562363
1865,0.0614773029521416,0.1452365477462081,-0.03728993543279557,-0.06180112995622267
1866,-0.09895294117598041,-0.077348794024374,-0.20898955439839995,-0.06755648569571804
1867,0.12785076830243725,0.0622070945399571,-0.24429666881559342,-0.07613367228918833
1868,0.20651126578388812,0.3523540768848079,-0.1357166097003244,-0.02576279383833935
1869,-0.1588848804847771,-0.015941552801564285,-0.2362326933879615,-0.022131838953328042
1870,0.033630783188812075,-0.19393653244145526,-0.02018721021582337,-0.019551798984366542
1871,0.10966954657885708,0.19408072672172239,-0.0561301771855085,0.0015657884749202822
1872,0.006009930871414326,-0.020541361890906273,0.05510224296600086,0.02131443788272236
1873,0.03330226586211893,0.07735806965462189,0.1000080554526761,-0.028329631774226982
1874,-0.05780382974813847,-0.25013658892356716,-0.14130863897581492,-0.04464273178820122
1875,0.07415041081952722,-0.11986903879832767,-0.06701084733700213,-0.07525820832711361
1876,0.005150089459505125,0.09013607064053986,-0.021847472396203216,-0.05802214475335177
1877,-0.05604887439204731,-0.03661126055928321,-0.2602829356601575,-0.09818391539147342
1878,-0.009313674786255888,-0.012875684494929374,-0.07956999375784335,-0.10965040595010578
1879,0.004527421651744135,0.16797880644796237,-0.07898185202807895,-0.10715606602923344
1880,-0.23253558029654187,-0.30206974090992844,-0.02228355340500343,-0.04870566322438208
1881,-0.07060878832442086,-0.09300734022474444,0.036680373279168066,-0.04189976792986272
1882,-0.02175951484775851,0.03696364592894952,0.32018381326180645,-0.05007345361377702
1883,-0.26080170246905254,-0.7887267549035926,0.9624673903980039,-0.05594995995784302
1884,-0.43543796488023645,-1.2561675355760258,2.066919205891523,0.020858854506627722
1885,-0.5525078704396833,-0.9652720170514613,0.907997503855384,-0.03899705173427037
1886,-0.5144720200151482,-0.9188281438846957,0.5326640983356015,-0.070521199613097
1887,-0.24152297328834038,-0.3413579269411855,0.3579573900947963,-0.09062717473415205
1888,-0.30185294938809193,-0.5345895159730674,0.07749774013447563,-0.06732724211605046
1889,-0.1736010543849602,-0.15443732864380877,0.033413981271834814,-0.10128122017067653
1890,-0.25174829939601295,-0.3739665648921857,0.2917146674820117,-0.09448799861456791
1891,-0.44461488302016505,-0.7271026778796283,0.4777588630631868,-0.044824686626100174
1892,-0.20576861762310727,-0.38370371508804624,0.20329814217318187,0.027260272194439494
1893,-0.2401768006696443,-0.29702658708706053,0.12355491840172306,0.028398120730628307
1894,-0.18619438694247492,-0.4000528785981601,0.2359565191359252,0.06740076477706225
1895,-0.14474391216015192,-0.05158706956345327,0.3211533920702152,0.03085785485842507
1896,-0.44075898488472376,-0.7011936152735814,0.2926377094377841,0.011230987895544331
1897,-0.3047704093527841,-0.3709685601734236,0.25976186797947776,-0.05175705784591855
1898,-0.2617159641080775,-0.2492179226391329,0.16596511866950436,-0.06688783163446033
1899,-0.3089775806409989,-0.6723275396799693,0.29451325645290183,-0.08474879993269724
1900,-0.3376940489585536,-0.641260161273749,0.42048641630012185,-0.058487971656234095
1901,-0.2280958078206936,-0.30820373946164636,0.32965008611854785,-0.11301692258473395
1902,-0.28275772802442134,-0.45186008936576627,0.45817092530121784,-0.10884754386893292
1903,-0.565670648201376,-0.8352150844567632,0.6343050390451026,-0.07281622500437379
1904,-0.37709984283924314,-0.6110465342275972,0.6152775570043616,0.023333606141477503
1905,-0.25334113819678805,-0.36219277650610593,0.2345771660940983,-0.03687352386566545
1906,-0.15803098407479865,-0.25314393123156265,0.1940933925239534,0.010932730786635148
1907,-0.2760516605659973,-0.4956101373938111,0.41953893773457196,-0.01591186002355016
1908,-0.4559586116334913,-0.8616335233363372,0.5178721633381258,0.03216180642039035
1909,-0.42598637091668934,-0.608051470884277,0.3970606701453079,-0.031743108076796034
1910,-0.2674817537702552,-0.4039848083606046,0.524295527849219,-0.056282325786526144
