year,tas,rlut,rsut,rsdt
1850,1.1196148785765558,-5.753647967900065,-1.6679060046568424,-1.6810100987640908e-05
1851,1.8404216383717085,-4.430339332346733,-1.674615816476063,-1.5163822240538138e-05
1852,2.1919525204842216,-3.646481115156547,-1.9155981082507338,-1.490633445655476e-05
1853,2.6971167478371854,-3.0331526690040675,-1.5793695965177506,-1.3305477295944002e-05
1854,2.739528703415033,-2.7900571604014885,-0.9496434985200466,-1.295711888360529e-05
1855,2.948362550023262,-2.48917060142918,-1.606337749825471,-1.3268489226447855e-05
1856,3.098665028983646,-1.9500288116889237,-1.7441756571179496,-1.2564073756493599e-05
1857,3.121455524326791,-1.9106629906428338,-2.409787568248717,-1.3247350011624803e-05
1858,3.5450883940162043,-1.8130991467558317,-1.8279189625041283,-1.1931998301406566e-05
1859,3.751480869967679,-0.7866594973575616,-2.047893454407756,-1.120611170790653e-05
1860,3.4691469497954017,-1.5170591162740834,-2.2918389986585623,-1.2350282588613481e-05
1861,3.678287546193417,-1.2671024722481263,-2.4404297850951195,-1.1693716544414201e-05
1862,3.9350480551754003,-0.6329215643803252,-1.6699229933262387,-1.0187935856720287e-05
1863,3.70125386724942,-0.858630783858672,-2.1618939470616567,-1.20395288263353e-05
1864,3.9832003137178162,-0.7875035393552707,-2.153908150296516,-1.1117438020846748e-05
1865,4.10272466472469,-0.21515811467745038,-2.03614508208085,-1.0195305264915078e-05
1866,3.8101378486945237,-0.8830489442325415,-2.1457315938111208,-1.1254018090767204e-05
1867,4.090944662386505,-0.6292589630559462,-2.0381185844909595,-1.067771819407426e-05
1868,4.149969567374001,0.01052230120572517,-2.3137955606177485,-1.0091603769524227e-05
1869,3.9247178704296743,-0.649428937164032,-2.2506136042072455,-1.1689591190133797e-05
1870,4.157635953265924,-0.6646118861455079,-2.248278854432499,-1.0751162108135759e-05
1871,4.3175360622938115,0.1632502466800645,-2.006381717891429,-9.939784774815053e-06
1872,4.253457947974709,0.14245973308300108,-2.385240381159136,-1.0586252471966873e-05
1873,4.185959746179151,-0.5218978371289609,-2.234276298192853,-1.057356405453902e-05
1874,4.284413166787715,0.12060820812993711,-2.218440084841305,-1.0072713507724984e-05
