year,tas,rlut,rsut,rsdt
1850,1.4449246523347483,-5.437193852575405,-0.4380340204886437,1.7053025658242404e-13
1851,2.1085260936440022,-4.365900622990068,-0.37976754344582275,1.7053025658242404e-13
1852,2.1033788799801414,-3.659527258502351,-1.2102738948065763,1.7053025658242404e-13
1853,2.2223765603928314,-3.6256660122435562,-1.1225681097703415,1.7053025658242404e-13
1854,2.500451547758587,-3.331303636182298,-0.8508488685327364,1.7053025658242404e-13
1855,2.787679704706477,-2.715678102271596,-1.1981074515015422,1.7053025658242404e-13
1856,3.0526455103867534,-2.966297818765895,-0.5941464532561866,1.7053025658242404e-13
1857,3.3005466247432196,-2.4954363364586527,-0.6276418051938464,1.7053025658242404e-13
1858,3.171644408018267,-2.00821289166214,-1.10530291388379,1.7053025658242404e-13
1859,3.1664518976585896,-2.647409057434146,-1.1696532490779532,1.7053025658242404e-13
1860,3.5898416761601766,-2.1731072322985767,-0.8446351738342628,1.7053025658242404e-13
1861,3.4083647354117375,-1.292414609759561,-1.3207300880852841,1.7053025658242404e-13
1862,3.307587343443913,-2.2259450053503542,-1.3677473585562012,1.7053025658242404e-13
1863,3.528168104766337,-1.9624617503978072,-1.062838345140591,1.7053025658242404e-13
1864,3.7247002341069333,-2.0630888521710062,-0.6843350292037513,1.7053025658242404e-13
1865,3.7068352570763636,-1.608178137776008,-0.8067043316762437,1.7053025658242404e-13
1866,3.5016964687106906,-1.9319402564663335,-1.2957012646342179,1.7053025658242404e-13
1867,3.4250301247707284,-1.782735750719695,-1.4330052932389208,1.7053025658242404e-13
1868,3.739039693297059,-1.8644180408805937,-1.056239200676302,1.7053025658242404e-13
1869,3.867962905385525,-1.463580102841064,-0.760789061308472,1.7053025658242404e-13
1870,3.761049531340632,-1.1737426326097022,-1.1573359740713585,1.7053025658242404e-13
1871,3.773669595100671,-1.6396182263499384,-1.2409043248379703,1.7053025658242404e-13
1872,4.049485669671583,-1.7528988899009619,-0.7661179084819167,1.7053025658242404e-13
1873,4.0828847972586,-1.2105041467080468,-0.5705781856896692,1.7053025658242404e-13
1874,3.747510208284382,-1.2604632488267669,-1.3881772935531131,1.7053025658242404e-13
1875,3.870885008357277,-1.8175872349003441,-1.164372783468579,1.7053025658242404e-13
1876,4.167112260114891,-1.1208499674408756,-0.7538224843929839,1.7053025658242404e-13
1877,3.9855686328857587,-1.0526740899974243,-1.2798848417806,1.7053025658242404e-13
1878,3.9350453835518806,-1.823164530757623,-1.0678216912245375,1.7053025658242404e-13
1879,4.230207995839919,-1.5850267962734108,-0.5877551014526858,1.7053025658242404e-13
1880,4.091739023208845,-1.5373820186256353,-0.7712615479780283,1.7053025658242404e-13
1881,4.046319532781183,-1.3553353322334942,-0.8408798705387568,1.7053025658242404e-13
1882,4.252312643140158,-1.3659129496267042,-0.6988468586066148,1.7053025658242404e-13
1883,4.046049680885062,-0.9950224611463057,-1.0622770389204703,1.7053025658242404e-13
1884,3.916890681791074,-1.3538070132429993,-1.5794531062175992,1.7053025658242404e-13
1885,4.21258997810429,-1.6964296353594648,-0.585956260851674,1.7053025658242404e-13
1886,4.274428491689093,-0.8771521623479543,-1.2397796855614729,1.7053025658242404e-13
1887,4.215096068543971,-0.9539598954430062,-1.265597171085048,1.7053025658242404e-13
1888,4.215072332813008,-1.4226829899560016,-0.9947861780209877,1.7053025658242404e-13
1889,4.322031232050506,-1.388791580787995,-0.5247193119848106,1.7053025658242404e-13
1890,4.183775376824713,-1.20509496636015,-0.774338281784523,1.7053025658242404e-13
1891,4.025598169414707,-1.0290681241623645,-1.0541221131562821,1.7053025658242404e-13
1892,4.032321279563291,-1.4079922330591046,-1.098412548485996,1.7053025658242404e-13
1893,4.263107187376534,-1.3997789621419656,-0.6250250413199296,1.7053025658242404e-13
1894,4.3564516738118755,-0.9980105771588512,-0.716428607270629,1.7053025658242404e-13
1895,4.107195257471346,-0.9084176681764689,-1.555503796605052,1.7053025658242404e-13
1896,4.204979492907285,-1.1638936996612301,-1.199651101656599,1.7053025658242404e-13
1897,4.543254751543657,-0.9750763491414602,-0.9237420385019135,1.7053025658242404e-13
1898,4.295493779969945,-0.8851776760094765,-0.9808581479578748,1.7053025658242404e-13
1899,4.315798095260561,-1.513584895075951,-0.5982785386041769,1.7053025658242404e-13
1900,4.419538763483274,-1.06043372980443,-0.7170664719887441,1.7053025658242404e-13
1901,4.139096385786331,-0.8640118418412897,-1.447388890250977,1.7053025658242404e-13
1902,4.211108386127933,-1.505511751321734,-0.786600110935467,1.7053025658242404e-13
1903,4.456975531182877,-0.6910997561838883,-0.7593410771179521,1.7053025658242404e-13
1904,4.170630036372984,-0.8415632337125771,-1.4464831526021698,1.7053025658242404e-13
1905,4.254741007328562,-0.8874239907677008,-1.29706186576054,1.7053025658242404e-13
1906,4.47337472867963,-1.2547090209040448,-0.74135980352888,1.7053025658242404e-13
1907,4.62517319673276,-0.7397583896055266,-0.9216169906616187,1.7053025658242404e-13
1908,4.302378596182223,-0.752286483542548,-1.0373992516683899,1.7053025658242404e-13
1909,4.252708557198503,-1.3845741015327349,-0.9675516804406925,1.7053025658242404e-13
1910,4.478344061138841,-0.8561812018865282,-0.76964760990397,1.7053025658242404e-13
1911,4.461730213131602,-0.9596284460789377,-0.927504607990187,1.7053025658242404e-13
1912,4.414347039663937,-1.0209933574740546,-1.0679383717639581,1.7053025658242404e-13
1913,4.463041794565413,-0.8915058859255112,-0.8471986525029109,1.7053025658242404e-13
1914,4.476424852547268,-1.0688353305278326,-0.6678431193382011,1.7053025658242404e-13
1915,4.606475779814787,-1.0000534553318516,-0.7220613266364779,1.7053025658242404e-13
1916,4.6863063475638,-0.7766487436511795,-0.7958588654972942,1.7053025658242404e-13
