year,tas,rlut,rsut,rsdt
1850,-0.16617678987881845,-0.393042961771215,0.22662882070929413,0.030064459732273008
1851,-0.20243667710172986,-0.5610240615161501,0.16518849992097273,0.019072188046948213
1852,-0.020616961907137465,-0.07779410414488552,-0.10175558865937262,0.01807664481731308
1853,0.0848104390527169,0.4980425189538664,-0.16861420982763775,-0.001427194574148416
1854,-0.0049856668449024255,0.5366458157627108,0.12458991534154507,-0.02878572347503905
1855,-0.10339314566169833,-0.035111458287474306,0.07095644691942482,-0.04556677745046045
1856,-0.202485040261422,-0.4052129413583998,0.6093176131580691,-0.05037100160512864
1857,-0.17579039884168424,-0.13095605564953416,0.1424000199790072,-0.038318639044064184
1858,-0.11826861483530138,-0.27323136467330755,-0.08249727854382627,-0.005099542151867809
1859,-0.1549721599050713,-0.015348738863309563,0.10000673238265279,0.02212313274594635
1860,-0.13310611416034135,-0.2915580635473418,0.19834526831444066,0.04295674772413349
1861,-0.08994960396580609,-0.37031708773903915,0.7737519925390473,0.03913199331401529
1862,-0.17150313660511074,-0.4451486773023703,0.6915799344628653,0.015219476421350464
1863,-0.16058504058270273,-0.35030072752488195,0.5758490971181942,0.0009853866356479557
1864,-0.1785157591245934,-0.4252549731524198,0.4422049558857708,-0.012616244898822515
1865,-0.17814320704695774,-0.3545623140112468,0.255241821147834,-0.02391287367095174
1866,-0.12956085127450478,-0.14724916834387614,0.3005102173473375,-0.029697294200559554
1867,-0.20519206754732977,-0.41821145130947457,0.6645955482622838,-0.038216441586371275
1868,-0.2229784105386443,-0.45871960127533384,0.24664618536847627,-0.018972533826854487
1869,-0.17299347219483252,-0.13247110172474663,0.3780224851514902,0.01563461857307402
1870,-0.15886563293685185,-0.0848697102909739,0.10011635635694915,0.01843585736037312
1871,-0.2870832183304515,-0.5298651474623455,0.4648954957800697,0.03911676739755876
1872,-0.37584563998404974,-0.8075239556220595,0.6010940259818511,0.02788961018734426
1873,-0.448122177136554,-0.7654511004606945,1.0439222571542643,0.009665956775450013
1874,-0.352654291082672,-0.7156222677079427,0.792802555303183,-0.006797943522656169
1875,-0.40766115364522193,-0.7785968875564606,0.8146517023933626,-0.03744691905797026
1876,-0.42928400431361524,-0.8991607744079033,0.6709360893221259,-0.05133190177070901
1877,-0.2694837033745898,-0.7279877141282896,0.4981450226135138,-0.06027883552184221
1878,-0.1916022860365274,-0.3629042031680001,0.29359095135659175,-0.07170487224823319
1879,-0.2793046336743146,-0.5631445843861798,0.8879993524877534,-0.06922658807332027
1880,-0.40314096072302164,-1.0800030365005568,0.6260911167394596,-0.04181067725158982
1881,-0.26801312015822987,-0.44746908196117374,0.5790977000590374,-0.003996278044212431
1882,-0.3375151147850488,-0.768370732109048,0.6057321628365031,-0.01200495718495631
1883,-0.23991405696364154,-1.3956373243328244,1.7816428192308535,-0.017585783224035367
