year,tas,rlut,rsut,rsdt
1850,-0.05831470288512719,-0.07596103698327283,-0.259306115828025,0.030064218565939882
1851,0.12996918374955158,0.4547464127621197,-0.5562822193255386,0.019072331815493726
1852,0.0399173889454687,0.1420273980096738,-0.10122328002948677,0.018076722462126327
1853,0.05113417699709544,0.2551765559569219,-0.3160995001059632,-0.0014278144157628958
1854,0.11348816943848306,0.22009952373042552,-0.52445223514367,-0.028786603460901006
1855,0.2170915144977812,0.40450239831724843,-0.3953578399736699,-0.045566833443672294
1856,0.027898593378836267,0.09619342497882144,-0.15123154845714737,-0.05037166124225223
1857,0.11709116071557446,0.20279378212882193,-0.28090730651716456,-0.038319563711979754
1858,0.24040163261889802,0.6354563987954123,-0.7101764815883342,-0.005099696127786046
1859,0.19001151167407215,0.5231080935064085,-0.589672103004304,0.02212296528165325
1860,0.2086279352014344,0.5721024725269785,-0.5730461047383244,0.042957004554011746
1861,0.22911086530018565,0.5792862954732243,0.15372529932317036,0.03913192581956082
1862,-0.008052120902164006,-0.28313599001992884,0.3912890699120055,0.015219542484942394
1863,0.07963133398368427,0.12371685871201521,-0.30464727889703624,0.000984617967333179
1864,0.17130874056203993,0.5807808484953512,-0.1539457229221881,-0.012616978578989801
1865,-0.026580430452554538,-0.1550726546584258,-0.017784958592827138,-0.023913190379062144
1866,-0.037249804414898335,-0.21450179716217121,-0.13117749713799753,-0.029698185880704386
1867,0.06941072074687327,0.19439161782020165,-0.3968256088743374,-0.03821702332049881
1868,0.10084780233250967,-0.06890508832032083,-0.5529340827362574,-0.01897349319250452
1869,0.1913213662684825,0.4744296440255482,-0.3297208506626106,0.01563458107068527
1870,0.15681460481795284,0.5875836048173255,-0.12852403992232553,0.018436053308505507
1871,0.07356557404415298,0.032152286393738905,-0.13443518784063713,0.039116267939107274
1872,0.06278024527540538,0.059891001706688485,-0.1760589913041457,0.02788962475671042
1873,0.05963455307994536,0.07261775219566857,0.2182051704728849,0.009665946959216853
1874,0.2058370287010689,0.24756542717872776,-0.49221497360422006,-0.006798548999995546
1875,0.249994508159034,0.7160050532255298,-0.5088269133535022,-0.0374474513913583
1876,0.0948034958973949,0.17390537014154006,-0.12039321346775012,-0.05133239842297144
1877,0.19998142461145108,0.5061513542278249,-0.30057892168755984,-0.060279588168896225
1878,0.027478242765369032,-0.022676514758728672,-0.12557678149009632,-0.07170579644446207
1879,-0.09286629689728443,-0.4673119769001346,0.007453323797392386,-0.06922781418137447
1880,0.0919182136941572,-0.09773385182563743,-0.05289112802903162,-0.04181194890986717
1881,0.23283654092369943,0.48326674124930946,0.03744588585219333,-0.003996736350359242
1882,0.0552576267745053,0.030764521210443263,-0.11210101547561635,-0.012005770949258476
1883,-0.05927035085227317,-0.9243574951779863,1.3408778365525933,-0.01758608690101937
1884,-0.24303603616812097,-2.1362720820966956,3.44191310421202,0.027309175100072025
1885,-0.009015736111223305,-0.22499741059550615,1.0487864173189365,-0.0007785427684439128
1886,-0.27247412931552617,-0.7160294515426244,0.787653767539382,-0.032797680787098216
1887,-0.2622774586253058,-1.1865096266869273,0.38114126018699324,-0.052784144239353736
1888,-0.16182972992783107,-0.5045488529646889,0.24333717171903402,-0.06058957709836932
1889,0.08663683729957938,0.00027211346230160416,-0.12818007784788676,-0.06326526027169166
1890,0.1029382138345909,0.211436278849078,0.25550834094033803,-0.05648324231776769
1891,-0.06664084632313916,-0.381365846560044,0.43033233836077045,-0.006919704594679388
1892,-0.06980153357437757,-0.3184738996268379,0.11046877589825499,0.03398114944218378
1893,0.01918028284887896,-0.12719600000954756,0.12757419817806692,0.0660353985100528
1894,-0.0841271264832244,-0.2461891760231083,0.08109291276753083,0.10530586006677822
1895,-0.1002234902713326,-0.23248109573057718,0.15697133019050113,0.06881328008108767
1896,-0.1265778879507593,-0.6585271221785263,0.3716624846500878,0.018253912719956134
