year,tas,rlut,rsut,rsdt
1850,0.8993647914162466,-4.944131220304143,-0.04044009681240368,0.0003735427553124282
1851,1.4325827331410323,-3.815465042249741,-0.13988322522904184,0.03443335554635496
1852,1.741798877460326,-3.1936709888575763,-0.3089174284686891,-1.6091359498204838e-06
1853,1.794862453268479,-2.9027800933335186,-0.15211307042565636,-1.5048480577206647e-06
1854,2.075409663647349,-2.5225433343331076,-0.2989223476478031,-1.6197085983549186e-06
1855,2.1374593099403683,-2.195022600542444,-0.3819988907157068,-1.6070475794549566e-06
1856,2.2408613755689544,-2.1051972203775335,-0.35177735587988934,-1.608661705176928e-06
1857,2.4042422446181604,-1.750555582615135,-0.5675394762129145,-1.7374846947859623e-06
1858,2.3903785148422685,-1.7660014294294797,-0.45615809618568903,-1.603463488208945e-06
1859,2.4682358384242775,-1.4607713857091937,-0.49417068788251584,-1.7575283095538907e-06
1860,2.563323945472348,-1.4678450034799653,-0.5021585190433768,-1.6781635281404306e-06
1861,2.572935417888857,-1.5020303390529648,-0.5676121627246005,-1.700193934084382e-06
1862,2.6367026735784407,-1.136533424497145,-0.629012508139553,-1.7835058656601177e-06
1863,2.7517056172324033,-1.0611417879832743,-0.8126696899708179,-1.5930069139358238e-06
1864,2.73464490461339,-0.9043785214987281,-0.7386024367931014,-1.4980465152802935e-06
1865,2.8217609218664848,-0.8876817287946608,-0.7207665084452657,-2.245296570890787e-06
1866,2.8607646933942306,-0.8154295937284246,-0.9031512794423691,-2.6194484235020354e-06
1867,2.854035869131053,-0.7906306216693508,-0.670116193098437,-2.554286027134367e-06
1868,2.824299791336614,-0.5213159430319934,-0.8456458132811377,-2.7364059178580646e-06
1869,2.752561487019136,-0.8518726664785561,-0.6219510073370031,-2.80229397731091e-06
1870,2.7744937872902256,-0.8855767756080866,-0.48488196784091997,-2.6392958147880563e-06
1871,2.80744368145497,-0.7675441168614725,-0.7776819745378987,-2.5044767539839086e-06
1872,2.7751002061038434,-0.6713381045824747,-0.7027504939773479,-2.8226738209014e-06
1873,2.8974368830876074,-0.4403398978670907,-0.9905558036463731,-2.732590644427546e-06
1874,2.8797476441746426,-0.664280993795245,-0.6734625734491431,-2.5572305730747757e-06
1875,2.8467861900065827,-0.5742250914947817,-0.5993861681541688,-2.7493749712448334e-06
1876,2.9913156392847213,-0.17498763713996368,-0.9820127359378432,-2.9102879466336162e-06
1877,2.8530670850693696,-0.5444111524996913,-0.7460839332279363,-2.7252158929513826e-06
1878,2.923923107334872,-0.4771971675714042,-0.7995271446853991,-2.7295810696159606e-06
1879,3.005705163796108,-0.17086188510262446,-0.9185075767448581,-2.8993334240112745e-06
1880,3.1476041628011444,-0.13960628126443453,-1.1853386031970388,-2.7237252311351767e-06
1881,3.0359614891194155,-0.2365643033083984,-0.7523447680278679,-2.6585051955407835e-06
1882,2.9835052725967444,-0.5286052748946588,-0.6797585184828847,-2.8130052101005276e-06
1883,2.966642452533563,-0.6361488368279424,-0.9072490752364075,-2.6936446602121578e-06
1884,2.993028885871979,-0.21543975052870223,-0.7055724716875176,-2.9286285894158937e-06
1885,3.0115925491136863,-0.3161822118071882,-1.052006369166321,-2.610407420888805e-06
1886,3.0497712184174475,-0.2410101655154051,-1.113313194665011,-2.515885114462435e-06
1887,3.0145391160503436,-0.22614029464955365,-0.6155113541536679,-2.637700788454822e-06
1888,2.9672980118828605,-0.5046001163929645,-0.7234166049473174,-2.6562725565781875e-06
1889,3.157607222474155,-0.10756637590557716,-1.1483866401469385,-2.787390201319795e-06
1890,3.171349961925557,0.20781233945322697,-0.8438399248366579,-2.8789102088921936e-06
1891,3.0955406466054,-0.11761963461989922,-0.8886481502920702,-2.7187206228518335e-06
1892,3.131030133950844,-0.2846043688316513,-1.1006569885877155,-2.565560691891733e-06
1893,3.1057233718164525,-0.3008173630283011,-0.68308361586584,-2.8238732170393632e-06
1894,3.1405570626335475,-0.07014270934550382,-0.8084070934734484,-2.72415917379476e-06
1895,3.0643571478122453,-0.29523893949945546,-0.7398097779362729,-2.6519633138377685e-06
1896,2.9524443818220902,-0.3599075413705748,-0.606205740811788,-2.503433563560975e-06
1897,3.047835046679154,-0.5684396210637317,-1.0996859535382129,-2.5262096983169613e-06
1898,3.0950689328590215,0.008931992390586174,-0.8164102646699973,-2.9282994660206896e-06
1899,3.0633294112774934,-0.3611971330570043,-0.854882670852902,-2.801533241836296e-06
1900,3.0769951482075726,-0.2690206937473931,-0.8073825550145983,-2.855703030490986e-06
1901,3.082290622326184,-0.3380813966126084,-1.037442372653544,-2.736680187354068e-06
1902,3.0193510992078814,-0.36266684117987324,-0.568275028618487,-2.8166990659883595e-06
1903,2.9777203152071934,-0.3507569345534023,-0.8252537649893128,-2.723515706293256e-06
1904,3.001474400909217,-0.22897585784724583,-0.748075302309303,-2.658125993093563e-06
1905,3.1364274924600295,-0.19632285839421115,-1.093419618522077,-2.5592012207198422e-06
1906,3.1530345958511248,0.0644065188603804,-0.8722193382121475,-2.7357851308806858e-06
1907,3.146416601847875,0.019026564405976387,-0.7886802210521466,-2.492704652468092e-06
1908,3.074491664528466,-0.2612338267515213,-0.8733481978086957,-2.707326927975373e-06
1909,3.17021650041994,-0.10874390204642737,-1.0184837362228336,-2.7408678420215438e-06
1910,3.225303298427548,-0.04348161507044779,-1.1704283148997803,-2.559872768870264e-06
1911,3.312550907308946,0.37696731024050223,-1.008818992288525,-2.7949192826781655e-06
1912,3.297234899018008,0.17323321043767237,-1.1103027784507873,-2.604243832138309e-06
1913,3.226482046635965,0.15200872232654206,-0.8608678382222905,-2.619872873310669e-06
1914,3.188682905080043,-0.07864031936898641,-0.5294715201090412,-2.6733375193543907e-06
1915,3.1228629467000246,-0.24039086058894554,-0.6782030959397218,-2.671089703198959e-06
1916,3.1403868311702468,-0.11039189386508497,-1.0010497522454926,-2.7018712671633693e-06
1917,3.1803121926553786,0.10885884136288837,-0.9047018070288715,-2.6866929943025752e-06
1918,3.132822628160284,0.10022721274603441,-0.5360434725893981,-2.7384385816731083e-06
1919,3.1028681791696044,-0.04905852226985985,-0.7046023539977284,-2.7823296591122926e-06
1920,3.0992851281386606,-0.027155643755946812,-0.7597381770272165,-2.9293481134118338e-06
1921,3.0954366944503704,-0.0053811231415465954,-0.7135426702671879,-2.9267435479596315e-06
1922,3.1215894452468547,-0.26955797644657764,-0.9347580502815873,-2.74619912943308e-06
1923,3.193768737882124,-0.012300842599159978,-0.9132562183251451,-2.670657124781428e-06
1924,3.2592272001486435,0.022434317253583913,-1.0881156904686975,-2.674477570963063e-06
1925,3.241244105099895,0.12247155636012508,-0.8556165150323665,-2.719863061884098e-06
1926,3.235277496818469,0.07086413701890137,-0.9744008770977075,-2.776364624423877e-06
1927,3.2643244040475565,-0.05473749873507927,-1.0407060363931464,-2.487692540853459e-06
1928,3.2906481685917015,0.2174367935899113,-0.8725339489310926,-2.603948814794421e-06
1929,3.3108389185156852,0.34348674468080276,-0.9902749205953825,-2.620656516683084e-06
1930,3.2598476342992058,0.3682870180078055,-0.7613296280111967,-2.803359564040875e-06
1931,3.152745307443354,-0.009485501110816585,-0.9322200456443994,-2.574840266333922e-06
1932,3.2309241965311912,0.1349622614849295,-0.9871304226823838,-2.594853015125409e-06
