year,tas,rlut,rsut,rsdt
2015,1.004656615324052,-0.9714032538179538,0.1431151582463599,0.07251079646880498
2016,0.9544676460277515,-0.7127604228383859,0.012798308838824823,0.029399642543125992
2017,0.9481675676178156,-1.172524932682819,0.17263919740250344,-0.01958339114003138
2018,0.9086929705711668,-1.2987598463579957,0.18749552064009833,-0.030504658691768327
2019,1.1229918257503186,-1.3582497588740239,0.5140130056809369,-0.03332073236992983
2020,1.1858357007222367,-0.9915279213503823,0.4751469181475443,0.011078305700607416
2021,1.0850794478658372,-1.0264234674203863,0.3353361373323622,0.046623888484930376
2022,0.9154504260437193,-1.2980141593638166,0.152095625622934,0.12618390490843012
2023,1.1246136559905722,-1.300340254387521,0.30555496650380576,0.1758336435107708
2024,1.1961083839851767,-1.3593055749805103,0.6405625259311734,0.22051325902515373
2025,1.2933563516476738,-1.4621465326331702,1.0616585062988975,0.14662985918766935
2026,1.3243208978292955,-1.2321778016872997,0.2643079178925518,0.09721834423982045
2027,1.423066617472557,-1.0847107309022306,0.47913341056985814,0.049444522277724445
2028,1.4072218162997387,-1.2904829091593513,0.8797828711970368,0.06185319007926182
2029,1.1979784653257184,-1.2628183530630963,0.10199881118133192,-0.005861449061683288
2030,1.1355701042947999,-1.4269318046169417,-0.1471690032917934,-0.025342783603832686
2031,1.3498378135410576,-1.5325258109342599,-0.10420904780731632,-0.039428469496158414
2032,1.5525963185663159,-1.2250199200463214,0.16150431955337297,-0.0070901298828403014
2033,1.4798945369383887,-1.1591074052112447,0.11387776783128345,0.0044854135010155005
2034,1.4110686138014898,-1.482169419907592,-0.22079713609916496,0.08261048753939804
2035,1.5626745248042653,-1.292785267889542,0.37212054313599197,0.08890191915747891
2036,1.7050553289495838,-1.201605307812855,0.2117267196281034,0.1584586083873205
2037,1.479761173753218,-1.3016616624772723,0.22795961214205818,0.08707833822739985
2038,1.549739950828041,-1.2305553462662715,-0.23687001621154025,0.0855786089127264
2039,1.7216228524776511,-1.2525387404477328,-0.30363271064911146,0.04538162741681617
2040,1.842933067319393,-1.153992180696946,0.22830339028595859,0.026731236596845065
2041,1.8661784486401984,-1.1711550365768915,0.3797539925086113,-0.043681309333805984
2042,1.7354862764329937,-1.2451828856257237,-0.2096540911960858,-0.054691013125932386
2043,1.8027212604845886,-1.520606235601889,-0.21673029960909673,-0.05278998493054132
2044,1.8444908823379365,-1.2277581602656653,0.125910637011998,0.006141253570319805
2045,1.876968713165411,-1.315696384550165,0.2355144983507529,0.0421186066600967
2046,1.7402790646733592,-1.5066001193618206,0.045697680809880126,0.09125007306062116
2047,2.0807224074772535,-1.2906869440014646,-0.18775377700885088,0.1499791042601828
2048,2.1526393105054353,-1.1177854654420685,0.24141591460191592,0.18288930460619213
2049,2.0619855230359008,-1.1104548565264167,-0.09637602115415689,0.1059328893280167
2050,2.021861652034488,-1.3621675033729446,0.018205161403898273,0.04261860457461353
2051,2.1620419988527146,-1.528405171924021,-0.4690323559182872,0.008949555633193995
2052,2.30558824459024,-1.257319826811937,0.05361773669741865,0.011038284540632048
2053,2.290143255664077,-1.1846084627619007,0.208003588006747,-0.04591282419386289
2054,2.190711617231557,-1.6212122467407255,-0.2924718329767586,-0.038626827739904
2055,2.1023836725329375,-1.5423637364207536,-0.48657028588780804,0.004957082214900765
2056,2.3643714493386483,-1.4359437452089594,-0.30791285178924,0.08278979807272435
2057,2.353220082706059,-1.1413010385642508,0.0039027357284169284,0.05572030684334095
2058,2.194459281343825,-1.76849552151765,0.012065448699260628,0.06590646233871666
2059,2.431040226902894,-1.6731371930409296,-0.3245185732714617,0.07086322602862083
2060,2.6226592861813174,-1.4184145975163744,0.21968765005442492,0.06213083746456505
2061,2.5005195902601827,-1.4502156799769637,-0.2698802253297714,-0.008644749528116336
2062,2.4630609670262515,-1.4964598163871585,-0.24837461344067435,-0.037008673616355736
2063,2.550956772005918,-1.5502346594784626,-0.8179894519347783,-0.04330111375958268
2064,2.5736273402006304,-1.7508454007273713,-0.299071580380712,-0.01741221588991948
2065,2.7097860529428885,-1.680837464624318,-0.6087687580971846,-0.03815376797842873
2066,2.926663304333772,-1.2781433998910074,-0.38161110288807265,0.0177816827564925
2067,2.7920752038411365,-1.5425500054234078,-0.4078458910872058,0.06478145573692018
2068,2.927124300882838,-1.324046798354317,-0.6466288680186665,0.12694041244469645
2069,2.953985061297658,-1.3144714211286725,-0.7113485848738463,0.08327300330518028
2070,3.057632847697903,-1.347001331648272,-0.24773251154407205,0.05281819641123775
2071,2.9490058017718184,-1.512512102585049,-0.5286842126890292,0.012696047045722025
2072,2.9500558185050068,-1.5058323348828537,-0.8893483994378499,0.02013305260902598
2073,3.166532237645754,-1.4192460683813692,-0.9112787722421558,-0.028027609017158284
2074,3.3215497650920724,-1.6164876523507985,-0.27946172558785065,-0.04924435719027542
2075,3.343690981723512,-1.4493720595569073,-0.5358935347180989,-0.059836722810814535
2076,3.256170056662711,-1.3898900656085118,-0.6129657216190907,-0.03589569956716332
2077,3.2433305671827384,-1.328751182895104,-0.43422901549368476,-0.05858384127481031
2078,3.2701200532249004,-1.4799476302619325,-0.7751473908896855,-0.02505247531087207
2079,3.301094501914122,-1.4181275932267,-0.795240484466234,0.01725827657287482
2080,3.4609388021072505,-1.5836170624083366,-0.748513593908612,0.07232014022235944
2081,3.6020810758652715,-1.3140035776518175,-0.6681067711228224,0.04422331131326018
2082,3.3181672271318234,-1.3856918201363158,-0.960479798975129,0.04535021524060312
2083,3.4096680436019255,-1.652525099647903,-1.0070068072030125,0.017080440958352483
2084,3.6867402289648226,-1.6258333472614765,-0.9241345519800603,0.03445743950283031
2085,4.021467709576882,-1.2759168953650146,-0.4769681623131561,-0.041268930418198124
2086,3.812278333552456,-1.429782676540384,-0.6991754732040931,-0.0633740205357185
2087,3.7596753793250173,-1.3666065926001352,-1.2602470952607518,-0.06224917599587343
2088,3.680412624232588,-1.4148019480758762,-1.416075587970397,-0.029392156732399144
2089,3.8165133417592756,-1.5087029180803029,-1.192261426965672,-0.029492501045183417
2090,3.988778154191891,-1.502313355855705,-1.2618031308044806,0.024898489394274748
2091,4.255891376114846,-1.3180582153365776,-0.7126745402701715,0.0615000747918657
2092,4.044707182150546,-1.1544189270239258,-1.271017116046778,0.14723989611974275
2093,3.919118107058921,-1.325637330439946,-1.3447588226374307,0.09310749150284892
2094,4.015387547019998,-1.3580724512684696,-1.3271896959822698,0.052024380496959566
2095,4.212392693695563,-1.7234922256990615,-1.1275797866394157,0.018356157888661073
2096,4.3911898993790714,-1.4827004047716628,-1.0211243972549937,0.008297547935228522
2097,4.33135328568892,-1.291339873004972,-0.9913723068825533,-0.037403608948693545
2098,4.3300993550814155,-1.3423108481200927,-1.769333353749289,-0.04748167007568327
2099,4.513800968601686,-1.1902954851315712,-1.692960857729929,-0.029525422009953672
2100,4.552851005120658,-1.0891264684224495,-1.637224700363575,0.013345634644565507
