year,tas,rlut,rsut,rsdt
1850,-0.24460469450400524,-0.5984956335932168,0.07231608320968519,0.029307359320000614
1851,-0.20544908409397067,-0.34745807125196393,-0.15414120926249097,0.01929357458323011
1852,-0.055285015201832266,-0.4419182822359744,-0.4402386307449291,0.017417078712639977
1853,0.06927159778462055,0.42349826229212795,-0.14399153625241468,-0.0011100014804696912
1854,0.18101386847519052,0.3162156268348042,-0.4428896678921319,-0.028347280869070346
1855,0.0863399012608852,0.5001683092195606,0.49308051061164804,-0.04472697596941089
1856,-0.23619875737017537,-0.4337990884072269,-0.04746562372828578,-0.04936255696975422
1857,-0.0156936294206389,-0.13273870867388382,-0.5640196834427087,-0.03746431136323736
1858,0.19954693182654637,0.2543862830513035,-0.43310718331835574,-0.00528388807583724
1859,0.1738575103206017,0.4073471246418876,0.19150324217891068,0.022204917448448214
1860,0.0886392882656537,0.1526785526048684,-0.09228050993033321,0.042650182835700434
1861,0.03502594392421088,0.3608227186694819,0.17506560027479168,0.03800692284693241
1862,0.1334065180021753,0.04918330533274684,-0.20880781005730853,0.015134001865362734
1863,0.12120654652630947,0.21629493170576097,0.25335095275804065,0.0010529906316492088
1864,0.08385726081712619,0.012148692466297462,0.4386778861703391,-0.013106789776031746
1865,-0.12438471854574118,-0.316715878698659,0.3893912676341813,-0.023215905992458374
1866,-0.21644976192487775,-0.3626611059364393,0.27389091892287354,-0.028792807295246803
1867,-0.10186144084110538,-0.5926978163312526,-0.16432566244066038,-0.03717875450371366
1868,-0.013271231985299892,-0.1116297264064201,0.2153033686997219,-0.018491728920537298
1869,-0.03075157182587418,-0.019481246117010187,0.2024619137796151,0.015338539334209145
1870,-0.013187850179576799,-0.05798468826469616,0.037337879620423564,0.017543160010347947
1871,-0.04843961747508274,-0.11054378521379249,0.4006947131402683,0.03862667399204156
1872,-0.030946576215512778,-0.1162669460493646,0.181997560600081,0.026887427007523
1873,-0.14906289352052227,-0.4379783339040557,0.13681366235437054,0.00928493426249588
1874,-0.13391901817988128,-0.5003044239528549,0.20966211131175783,-0.006226071338687689
1875,-0.03811223644038364,-0.24525950942472718,0.08031416436506333,-0.03697025272350629
1876,0.02521915625601423,-0.1632290845495845,-0.21034842082177363,-0.05034348985458337
1877,0.07821545208440739,0.21183645321920608,0.27162987379415426,-0.05932907973209467
1878,-0.10303943247294,-0.06545507276231888,0.5073770050535984,-0.07043533492071674
1879,-0.04981115415904469,-0.7023055922965682,-0.23735425636549223,-0.06827175026938903
1880,0.06294122932382606,0.2242022994631725,-0.13577045046805836,-0.04093696087210219
1881,-0.07097355329619859,-0.1973242406063207,0.8884565989573048,-0.00322036990161223
1882,-0.10412364081395253,-0.48645935995480727,-0.015604134251987034,-0.012975117899827637
1883,-0.1482193109879404,-0.02508926628206609,0.5813558845696463,-0.017139618586611505
1884,-0.08243930391694221,-0.2990278776809987,0.06905510681471583,0.027630820486876928
1885,-0.036797492885284555,-0.02974234233727202,0.16836532262620096,-0.0017714687309080546
1886,-0.004441435938872473,-0.040738604101051124,0.03081871041186446,-0.031549900476534276
1887,-0.0443024845905029,-0.2799216309564372,0.6755680840116725,-0.05158613444632465
1888,-0.0993632801040576,-0.5418987615424555,0.04359194998302485,-0.06013560611717139
1889,-0.1752070113764148,-0.31276288258888485,0.31562282640315686,-0.06225907996429214
1890,-0.10318772686491684,-0.21064090774081023,0.5955938029157011,-0.05543947463763743
1891,-0.17424397736692754,-0.6998079782242428,0.07439130863802745,-0.006664951138077413
1892,0.08629477618728743,-0.32747853401153293,-0.033743606899861334,0.03355713516060632
1893,0.11638737763325935,0.05008426319966475,0.2257416483457888,0.06656990157762266
1894,0.10669856281259626,-0.05093333861483984,0.09573811565459778,0.10327220508128221
1895,0.08207016669058476,-0.17508959952238,-0.10558903806177966,0.06838737100633807
1896,0.16740413653184305,-0.05127009759223711,0.07364763231190352,0.01638906768067727
1897,0.14789759180393958,0.1059030944963979,0.006056650044897083,-0.012385580530519746
1898,0.24092010054829416,0.404787119092731,-0.1180610506922335,-0.028977036044352644
1899,0.17055902825700286,-0.10652318227096202,0.2178227250118283,-0.04589905724390064
1900,0.03303449057125363,-0.28464750736912947,0.803368895874442,-0.05652403819567553
1901,0.02905814264215678,-0.41922368620018347,0.41593103161328315,-0.07407439337771393
1902,0.06113196654126796,-0.3553824704900421,0.587648720784415,-0.06949433101488012
1903,-0.06057894128718999,-0.5821343191472295,0.51486980623379,-0.03412568696512608
1904,-0.05321273267668403,-0.5438723237751049,0.8439713978569472,0.029834759629636665
1905,-0.1775389887526444,-0.6990778310302517,0.5901125948701207,0.001073313674567089
1906,-0.07789018846176532,-0.9183663183707722,0.27230740076159066,0.0489107751212714
1907,-0.03527782102884203,-0.3402472404729622,1.0158706091529552,0.022125905671259716
1908,-0.023788126668421228,-0.9633410730828587,0.17683150393840208,0.03712341233000416
1909,0.11746126613263641,-0.34309109574439844,-0.1251035357788055,0.007102075918908213
1910,0.18554646049841494,-0.03827622856820767,0.22592824473805706,-0.018178954912286827
1911,0.11307268064859954,-0.19220738037742535,0.5913693485903906,-0.05276171810987762
1912,0.09135478200317948,-0.6366699250186514,0.48307238948515874,-0.06594330481902944
