year,tas,rlut,rsut,rsdt
2015,287.9214152453265,241.57878036792155,97.17360983751256,340.3911685657145
2016,288.1397863391157,242.11914024028306,96.86183568040023,340.35036100250596
2017,288.1653705735699,242.13902326400807,96.98747444204692,340.299541009095
2018,288.1263996598753,242.2805055538223,96.8186969612306,340.2918629473025
2019,288.2410815478717,242.08658784812516,96.62392158531725,340.290616836852
2020,288.26932602665977,242.60607356800924,96.88897875073211,340.33247102378965
2021,288.2134421446743,242.13227955868058,96.55155889128416,340.37225464362484
2022,288.4763477369304,242.9769229668531,96.16453450380111,340.45010248155273
2023,288.4274979183497,242.3725807471951,96.57829906162164,340.49403832896706
2024,288.5342698337093,242.98718329339934,96.3772380232715,340.5433765631281
2025,288.54603130586355,242.76611789512637,96.24869312334226,340.46859059139615
2026,288.57058028234025,242.94253220873944,96.00457659690449,340.419967813533
2027,288.4884911572693,242.6419127624971,95.9429104707387,340.3694468141492
2028,288.47163097838546,242.8591807537575,96.09737754131034,340.3817032456883
2029,288.4619137467918,242.5614898809129,95.83483991808113,340.31672894426134
2030,288.56104481171894,242.56135038545446,95.90519052900224,340.2987531671325
2031,288.6007038588291,242.42938594591814,95.8839546988009,340.2813707869729
2032,288.8482640995416,243.2115449953219,95.45105076457516,340.3169429268575
2033,288.7294561823102,243.08671699070229,95.79524833746865,340.32786275284343
2034,288.7242463019376,242.63118013448886,95.6949766667572,340.40282246538226
2035,288.87218575067,243.37852696227762,95.43405194017352,340.4114423541883
2036,288.7720066586669,243.03592815301275,95.56425318396485,340.47675035917524
2037,288.7785314494826,242.98701879106906,95.50423413743734,340.4114247732511
2038,289.05860131765974,243.5350684521817,95.05561736098996,340.4109025494617
2039,288.93839115847965,243.1115942386701,95.3526719753416,340.36223076836546
2040,288.90032577395726,242.9321522181232,95.40693930245061,340.34893974433686
2041,288.9914538033123,243.1653722634817,95.20350207216849,340.27744323221714
2042,289.08409196865887,243.20615755499807,95.27800493072796,340.26648415725793
2043,289.03065458236034,243.3398527400869,95.04676661725033,340.2718159643162
2044,289.0978152681992,243.45328763521513,94.82169764934493,340.327929951917
2045,289.13166324393615,243.38995815917784,94.71827611530354,340.3670557204333
2046,289.238263531115,243.6968151776119,94.6499381454608,340.4148550686228
2047,289.3280614169451,243.69736921274594,94.46812401863734,340.46828758263524
2048,289.3875941172502,243.81257886807205,94.41435588087154,340.5054232612221
2049,289.53628767579517,244.05858201297508,94.4687128780343,340.4299968707037
2050,289.5443680663858,243.73641714539022,93.94135365146174,340.3622311489167
2051,289.70148618469733,244.14644768269125,93.90590856426043,340.3291138403157
2052,289.7791994251759,244.46456747199113,93.69067364483095,340.33003600437195
2053,289.86592565470113,244.23376603015956,93.46866803791299,340.2766243675584
2054,289.97246613187116,244.40632864134557,93.31097673075358,340.2850703383467
2055,290.031492733435,244.64435985886098,93.52361116130523,340.32588529366996
2056,290.0804007197091,244.77374845538415,93.32292543894592,340.4083774593118
2057,290.08381191001257,244.8389410849775,93.35854576739762,340.3781599197464
2058,289.916523817929,244.0711183775335,93.50042105818365,340.3865860422838
2059,290.1678627884735,245.00986565797393,93.06817352799764,340.3928093918759
2060,290.2558473753494,244.90202312786664,93.01748107200986,340.38183467042165
2061,290.3834960721826,245.1122946214489,92.64930061527309,340.31498524648737
2062,290.4059727302971,244.92053103222415,92.64686139844798,340.2855927431645
2063,290.4325004738791,245.08915048621645,92.6174277818672,340.27533940126733
2064,290.6417266186102,245.43231612371835,92.47381930846221,340.3030891057484
2065,290.3993119388468,244.96693887836105,92.56356330696248,340.2841487271723
2066,290.57419507047797,245.2738945730663,92.33778273025602,340.3398777897215
2067,290.68491090190764,245.55764789364443,92.15996788525844,340.38964297940544
2068,290.7020174470583,245.36981272385324,92.15259890183565,340.4496716658025
2069,290.8207679891234,245.58379517183945,91.94344714513737,340.4061199641898
2070,290.8945489747934,245.6939219929965,91.76575500380984,340.37565458666836
2071,291.06135128399995,246.0539552537962,92.01663304157258,340.33154214011057
2072,290.953171529902,245.5563442291967,91.47010679377149,340.34182004068504
2073,291.1768380025239,245.88547530354492,91.2565757799948,340.2944387700955
2074,291.1635211262606,246.21701859588617,91.34298746413917,340.2711271358309
2075,291.065138812858,245.64680605393497,91.38531851711657,340.261634668775
2076,291.35495107696124,246.0611735371061,90.95789038197142,340.283818276409
2077,291.55038228288794,246.9626469076469,90.96146572881342,340.2647535137354
2078,291.3124273411078,245.96188945361655,91.06311068476934,340.30003351717227
2079,291.4393252401061,246.26186890474662,90.91278377303446,340.3371388920454
