year,tas,rlut,rsut,rsdt
1850,287.6594170008712,240.13995451760454,98.60297605145807,338.2077576604373
1851,287.6881975364857,239.96377781074838,98.45231797216378,338.2021526060436
1852,287.5705226767871,239.87913565138444,99.04575358900804,338.19834997298796
1853,287.5069564577687,239.91182222323891,98.93219885047375,338.1797591864341
1854,287.5180517295191,239.5312383200288,98.87934784092245,338.15203228265125
1855,287.5924187035176,239.82287344329748,98.82168043844526,338.13543924017523
1856,287.621008521208,240.1387206820552,98.60340105006492,338.1317257284117
1857,287.6458683616307,239.83356200784587,98.58070596679802,338.14422967715257
1858,287.64950099595364,239.69167557351068,98.61848404919226,338.176947431643
1859,287.8339973730397,240.3526619595659,98.40294196116243,338.2066788435374
1860,287.77157434090935,240.1940874568844,98.68818587881985,338.22533427852375
1861,287.8064163069443,240.159119342529,98.8685128058758,338.21814645061966
1862,287.731089148717,239.88937507964008,99.1510230672031,338.1963751532543
1863,287.7509662801952,240.14016698031352,98.85241505297783,338.1815179873455
1864,287.6042017147851,239.73579844921767,98.47620808009803,338.1676117410197
1865,287.76180520336624,240.26664146806252,98.44332521430033,338.15791580008135
1866,287.79256242487423,240.0911347310885,98.76429131969176,338.152363302974
1867,287.65980840078316,239.94222773820434,98.59085906899435,338.1433532675298
1868,287.7450182948293,240.01774138510447,98.33468282569514,338.16390106995317
1869,287.8004707894455,240.2512385261339,98.38173416719822,338.1977979599432
1870,287.83146718174476,240.22192344326768,98.20041289005111,338.20157826268957
1871,287.90092493228946,240.47013988586755,98.32614930801151,338.22115547557917
1872,287.75407435126175,240.20423573987912,98.06866191275604,338.20821081860237
1873,287.7834532926897,240.2045619736317,98.43648245832766,338.18862834567966
1874,287.88002034119756,240.58377094377866,98.30409524214694,338.17520659426367
1875,287.84168045255984,240.2671399252334,98.25698080105379,338.1424781385684
1876,287.7550581152714,240.18811058173117,99.02937142301903,338.13025782518764
1877,287.85192080479084,240.30779265023378,97.97073394730158,338.12158394114556
1878,287.83985100819797,240.58152720907128,98.71521663268095,338.11002639555306
1879,287.67455744170184,239.75235096340558,98.01791222768213,338.1125898823057
1880,287.79907656547283,240.02525867961165,98.25706375584066,338.142074929546
1881,287.79987223016525,240.29767981934322,98.7417900799065,338.1803779042411
1882,287.7537839761278,240.01825745845488,98.12440085823762,338.1679376599366
1883,287.790230494448,240.15585509902567,98.96341945048734,338.16453245911026
1884,287.61825947406084,239.8282822009436,100.45833077596393,338.21021743000074
1885,287.7219873662317,240.16273668846193,98.63417729414154,338.1772916293406
1886,287.7855090003253,240.09084248265717,98.36784529179397,338.14883479929426
1887,287.7692688051866,240.37463370293526,98.71122861790737,338.1289313842661
1888,287.6987392921219,239.8159707801485,98.17268068791672,338.120538864077
1889,287.8064863630051,240.18565664167303,97.96190264244835,338.1186721198658
1890,287.848347008237,240.20103193278828,98.22434057214701,338.12637702466856
1891,287.86142545278614,240.34427168644902,98.38175246367548,338.175775894057
1892,287.8592755621628,240.30432226778228,97.99247691836574,338.21689669001904
1893,287.96714655075743,240.61123933207253,98.25353001552112,338.25013344087705
1894,287.93500199209984,240.328134985446,97.87410509953797,338.28549905761975
1895,288.04699010312055,240.69689515790262,98.13909383257773,338.24969130501523
1896,287.8941731288778,240.35829375766534,98.4255389969469,338.19203615517193
1897,288.0191626278327,240.65418887002488,98.10238932225214,338.1709076278371
1898,287.81905805182095,240.3009616637422,98.9039833769014,338.15197573445346
1899,287.87389174074013,240.06455044141566,97.9130355647141,338.13387848084204
