,tas,rlut,rsut,rsdt
0,287.16193152675726,,,
1,287.3001123860045,,,
2,287.2931780996169,,,
3,287.28290791024426,,,
4,287.17117436247764,,,
5,287.3749328508076,,,
6,287.3484171404789,,,
7,287.1932387801057,,,
8,287.2203365945026,,,
9,286.938238345402,,,
10,286.8644135757686,,,
11,287.1404051365835,,,
12,287.0553442427527,,,
13,286.8890992133894,,,
14,286.9719788757935,,,
15,286.9181024666244,,,
16,286.82863927916185,,,
17,287.0574729195385,,,
18,286.9815388487181,,,
19,286.76655106555876,,,
20,286.9150297746735,,,
21,287.087815872522,,,
22,287.0288169431058,,,
23,286.72706133766707,,,
24,286.77308529613816,,,
25,287.0774927663725,,,
26,287.1470477506136,,,
27,286.91001846002246,,,
28,286.99819817554845,,,
29,286.94476991490416,,,
30,287.0109908322325,,,
31,287.0072371933894,,,
32,287.18393159515716,,,
33,287.1572131895734,,,
34,286.8202158268868,,,
35,286.8259329838999,,,
36,287.1377808402361,,,
37,287.20865795952403,,,
38,287.09419940033155,,,
39,286.9472256814591,,,
40,286.90444748191106,,,
41,286.895789935358,,,
42,287.14903716488095,,,
43,286.9825433733877,,,
44,286.81821178230774,,,
45,287.0344977758858,,,
46,287.09303903337565,,,
47,287.1619176358681,,,
48,287.22233995687606,,,
49,287.1635383050382,,,
50,287.1770629522051,,,
51,287.0827453554329,,,
52,287.1732053957092,,,
53,287.16676189919764,,,
54,286.9611782987573,,,
55,287.12929928359375,,,
56,287.3932720645316,,,
57,287.21164731149366,,,
58,286.994668361277,,,
59,286.95188039159683,,,
60,287.21152039564157,,,
61,287.30757272277083,,,
62,287.34383213169696,,,
63,287.20773216467876,,,
64,286.93824198531325,,,
65,287.0184783298365,,,
66,287.06130329295866,,,
67,287.2698553924576,,,
68,287.11238718830043,,,
69,286.8708206833616,,,
70,287.05232157642814,,,
71,287.19857385473574,,,
72,286.96004997784854,,,
73,287.0384176614884,,,
74,287.0194749288699,,,
75,287.01262933841866,,,
76,287.1055156201531,,,
77,287.224265703452,,,
78,287.1624116145625,,,
79,287.0871229503269,,,
80,287.1609560464847,,,
81,287.29932413612295,,,
82,287.2962044091707,,,
83,287.098386945283,,,
84,287.1943103875725,,,
85,287.1820217425173,,,
86,287.362415097563,,,
87,287.3493670396642,,,
88,287.141577487655,,,
89,287.1259689422623,,,
90,287.10358648071957,,,
91,287.3549980227612,,,
92,287.26238659718996,,,
93,287.1782930739732,,,
94,286.972388368163,,,
95,287.15944903798135,,,
96,287.26151881093966,,,
97,287.2246404549359,,,
98,287.37834140302664,,,
99,287.34747267809433,,,
100,287.34825272768967,,,
101,287.30029059579766,,,
102,287.63493582106094,,,
103,287.3457018804437,,,
104,287.37760378072056,,,
105,287.384882224103,,,
106,287.53773075562265,,,
107,287.4942760167822,,,
108,287.27186142956344,,,
109,287.15370808986955,,,
110,287.31741214550624,,,
111,287.2783783372353,,,
112,287.24125937447576,,,
113,287.27766623777075,,,
114,287.2520745714204,,,
115,287.2969301217795,,,
116,287.4370380601893,,,
117,287.32500483762107,,,
118,287.3118565907559,,,
119,287.2794148393107,,,
120,287.1912712004532,,,
121,287.3853883200526,,,
122,287.44173841870446,,,
123,287.3080257262591,,,
124,287.41567509623417,,,
125,287.5342019663363,,,
126,287.3501587398995,,,
127,287.5147378868433,,,
128,287.505320920395,,,
129,287.3271785527816,,,
130,287.3504791877815,,,
131,287.34126791401843,,,
132,287.4427653802223,,,
133,287.41538286715115,,,
134,287.2005943841963,,,
135,287.390181012485,,,
136,287.49271424669695,,,
137,287.44570660564113,,,
138,287.5766066329699,,,
139,287.5130173404276,,,
140,287.45261198651775,,,
141,287.5183687986705,,,
142,287.61031059552136,,,
143,287.5901394740095,,,
144,287.536914952725,,,
145,287.4415427878517,,,
146,287.54719143214504,,,
147,287.7269836203805,,,
148,287.76486360336753,,,
149,287.49754915551534,,,
150,287.62411383918135,,,
151,287.72448535553593,,,
152,287.51346492411255,,,
153,287.79584196339107,,,
154,287.9352348362227,,,
155,287.7169062414355,,,
156,287.98433824142677,,,
157,287.95604683327394,,,
158,287.68470759132623,,,
159,287.95553985833317,,,
160,287.92671732369735,,,
161,287.91484407320496,,,
162,287.985067606325,,,
163,287.98986479191575,,,
164,288.1118055003746,,,
