year,tas,rlut,rsut,rsdt
1850,286.0362332278735,238.31236513738762,100.76283701021377,340.4459916624304
1851,286.0095595268354,238.1869763936082,100.57208659550913,340.4351877708957
1852,286.16129999212876,238.3851339621622,100.77228621185803,340.4652749150178
1853,286.14012166898544,238.20403496729182,100.78425424654192,340.41452837382275
1854,285.9647532841931,238.11578151755137,100.54379107331577,340.38708002795914
1855,286.1649185807738,238.2347655413902,100.82613811754202,340.3702927680865
1856,286.14037593987473,238.4393854193349,100.81009730354684,340.39671617518354
1857,286.0479215439052,238.1960667858385,100.64598384491386,340.37746155621255
1858,286.17876988241113,238.57362967713243,100.65983186486649,340.4106442804206
1859,286.01732804807904,238.14313985746205,100.70734974064237,340.43813944777395
1860,286.00744303718943,238.04641590222636,100.85929868520935,340.48999265243447
1861,286.23217848686323,238.6616871036895,101.07652117585484,340.45472470636236
1862,286.0924338980896,238.20960781149668,100.69580013327402,340.4310326981218
1863,286.2281646310466,238.29430805363066,100.71702525517712,340.4170192770762
1864,286.2092859653828,238.78518856027736,100.61683629770748,340.4343116635182
1865,286.04243465057795,238.18933214161493,100.52941052162483,340.3920089930704
1866,286.0748915580855,238.35330032975708,100.77487535868606,340.38625387949486
1867,285.8549066412939,237.97315761618418,100.9604034005779,340.3776769350653
1868,285.93949790079085,238.02205653789918,100.64204942463526,340.4280480556801
1869,286.06003275832086,238.28322557423212,100.61546772996041,340.43167925272905
1870,286.0551345616171,238.35563433921496,100.59536040841716,340.43425953486195
1871,285.9773483485392,238.08993145668344,100.76788294543958,340.4553773644852
1872,286.04930931883433,238.2466979730325,101.04956757175466,340.47512625605685
1873,286.02051274547836,238.12731197827483,100.9673870556975,340.42548242856384
1874,285.92705972749894,237.95033377033386,100.82324981689453,340.4091695707138
1875,286.072054593857,238.20942779959066,100.66139237913369,340.3785543363388
1876,286.10054241242955,238.26945920850412,100.89992396036781,340.3957906420765
1877,286.03982778052756,238.22921209465963,100.50813385427814,340.35562911360233
1878,286.0152350438785,238.10664409480682,100.64333335144879,340.34416286520764
1879,286.0436415580854,238.27273149882276,100.79250233271351,340.3466574472924
1880,286.0668150688129,238.21018898552234,100.52158745520752,340.4051080922612
1881,286.1810437346158,238.31611290500587,100.4740144703486,340.41191422971957
1882,286.34795314841074,238.72094977391905,100.59690973987318,340.40374078619965
