year,tas,rlut,rsut,rsdt
2015,287.76108908457303,238.72589420684395,99.24197602990553,340.4888279745024
2016,287.9645699256105,238.93019500065373,99.28265320407888,340.4480078858756
2017,287.9823795684396,239.00114081395813,99.10640507528227,340.397432928216
2018,287.9188341950717,239.1175050082272,99.12283935546874,340.38950345810144
2019,287.86687906343644,238.928272738522,99.0884571650257,340.38813041791525
2020,287.8031989759435,238.62720185159984,99.25969143643404,340.4294722093259
2021,287.99934617133994,238.9085544115877,99.0426635533163,340.4694881073416
2022,288.0908805115582,238.9770335994355,99.39561278460776,340.54711387320737
2023,288.06065815964786,238.964403460777,98.81950900979238,340.5915721318493
2024,288.07306333448065,239.11121422606087,99.18490919519644,340.6407856758827
2025,287.94134279015947,238.6666585843857,99.30625752488227,340.566404577804
2026,288.0717384651916,238.87857402644747,98.96901895183407,340.5169967860392
2027,288.03517907547626,238.7914097198068,99.10368853007277,340.4676082245291
2028,288.32661446326415,239.32680532319947,99.16373410250971,340.4786840553493
2029,288.18812247498397,238.93036670423533,98.79656624989967,340.41444158684715
2030,288.2671741224315,238.95831700155176,98.95144458927518,340.3965626337757
2031,288.1701702797249,239.14397290373503,99.15414014842412,340.3790274006047
2032,288.21700099257174,238.64128546376048,98.69577301525679,340.4140999382311
2033,288.30076962823733,238.85286459726828,99.31764781377088,340.4255589315336
2034,288.3041553236034,239.25604218783442,99.31886713733411,340.50025768541315
2035,288.14228097575983,238.64478120150628,98.98718012979585,340.509027684878
2036,288.37608270697257,239.0850383570937,99.10797260888937,340.5744015219433
2037,288.40869491786174,238.8763135100064,98.93320577961124,340.5080853187875
2038,288.4931078767123,239.28258386899347,98.69756634855925,340.5080081469392
2039,288.647556921554,239.20360262100016,98.43046814382893,340.46018074767227
2040,288.5769358984108,239.16545467689392,98.84125352036106,340.44593302408845
2041,288.46312607020553,238.9875798055571,98.8768025228422,340.3751145454302
2042,288.5108971164651,239.00134595061002,98.80974896574673,340.36415940376173
2043,288.53003590204946,238.94397139875855,98.95458058396433,340.36941804232663
2044,288.388987139926,238.74757893880204,98.73982841199864,340.42481894571273
2045,288.4370943252355,239.05519555496844,98.95120092940657,340.46415087556187
2046,288.4361915901916,238.9440300510354,98.51407763337437,340.5124147180009
2047,288.614767748689,238.99496426517018,98.58729808232555,340.5659305938303
2048,288.65396218221696,239.34582040088424,98.57142685019905,340.60315224902877
2049,288.57448270614833,238.89372483344928,98.45460836332138,340.52739533724855
2050,288.6640992883133,238.6795222034193,98.53727655280126,340.4605545671019
2051,288.85861448523116,239.3781626244114,98.73019432172383,340.42716490863126
