year,tas,rlut,rsut,rsdt
1850,286.6848656262088,240.13825648268934,100.18663573747227,340.22249418742666
1851,286.6364479048838,239.96431644742373,100.15294378269893,340.20581732667273
1852,286.49453236976206,239.93324935465307,100.52623650382861,340.20352278153183
1853,286.4669074885835,239.80231364701356,100.12036385874102,340.18862705939443
1854,286.50910874322716,239.93064167652383,100.1806323950017,340.16088659709686
1855,286.48948462670563,239.76517343424266,100.14629140901759,340.14462445913665
1856,286.49772447529574,239.92583153010082,100.14151092215876,340.13841553666106
1857,286.3910944582844,239.6397355377612,100.30621026778893,340.1487649070889
1858,286.4886080194666,239.92758851569673,99.82213709973506,340.17802504304535
1859,286.4310291006728,239.9231006632327,100.34107376916724,340.2056844842874
1860,286.42044614254763,239.80910895056763,100.14210876951317,340.2295499986688
1861,286.5502895532721,239.5773208840889,100.59225017582666,340.2254418542943
1862,286.4553108513699,239.74172154168457,100.74356306513187,340.20430138331056
1863,286.45487351122483,239.8292198653046,100.03298108561061,340.1899957284758
1864,286.4615115519544,239.81458420978663,100.07314496993969,340.17317616510564
1865,286.4559239028038,239.85275344247518,100.22471205654496,340.16552532906223
1866,286.4856928897969,239.9135448214606,100.16173790743504,340.159585264767
1867,286.5051089832629,239.92437214339824,100.17349174225926,340.1524942898926
1868,286.4323095413716,239.90716858141684,100.07496056618743,340.165806377263
1869,286.40271682026395,239.70795703096346,100.25027868683269,340.20102337258635
1870,286.48678064339725,240.01523244318517,99.80742016946637,340.200294957753
1871,286.5758910185101,240.06581666963848,99.98948495835454,340.22485383899175
1872,286.5221237636918,240.07350502529616,99.90235308931456,340.2121932169436
1873,286.4497894595856,239.65128223049146,100.77215107881126,340.2007425828659
1874,286.45202388904545,239.8330641301038,100.2397863711793,340.1824258150313
1875,286.44910809189116,239.89832217058927,100.23132653762197,340.1532943911762
1876,286.47043856122446,239.80104359441398,100.18138437862102,340.1388683405652
1877,286.6023952226349,240.09633595244597,99.66928790905604,340.12906492655526
1878,286.6088004265053,240.1760058838611,100.04372621137935,340.1194069578166
1879,286.63758987329464,240.2078776304811,99.82366633276324,340.11891918723927
1880,286.5593679822817,239.8344491258044,100.25518598241256,340.1430082310539
1881,286.45727329503353,240.02521275498512,100.20840987017226,340.1810612649061
1882,286.445065952983,239.82615476929425,100.01369621343277,340.1717651333465
1883,286.46223238031644,239.51924646809542,101.25713136643917,340.1715023580638
1884,286.05974543599774,238.38037390071113,103.34405987750331,340.2151142303659
1885,286.17619277989075,239.0291331462938,101.12869965838938,340.1861071555431
1886,286.1626998109022,239.3137984048119,100.53720152704454,340.16145243664755
1887,286.1573443085025,239.26572698280165,100.69029622391848,340.1392915502544
1888,286.15967960582697,239.397610901454,100.58738024037144,340.1263128015765
1889,286.2307499657084,239.40536806351426,99.89910992206931,340.1255597763266
1890,286.4657509632277,239.68191899591454,100.25929590720477,340.13062561134967
1891,286.39299644631257,239.61971243011078,100.43742020175311,340.1763172942793
1892,286.3829299780072,239.70967417755773,100.52046893931312,340.2151244189574
1893,286.31516129643757,239.7261690265923,100.16123495420258,340.2559081634009
1894,286.40605584681776,239.80153146224188,99.89399801627083,340.2841215934715
1895,286.4785981567672,239.97734810011892,100.17418364628584,340.25773316323205
1896,286.6004317525377,239.97887307807116,99.8895767530546,340.20930121158426
1897,286.6662794786965,240.07026768626955,99.79054482325493,340.17817112349934
1898,286.67228179520254,240.17337229635498,99.81025797265005,340.15590438767566
1899,286.7276677573932,240.19010324800777,99.71228760162138,340.1452364894484
1900,286.6299741516587,240.02106367434226,99.98508323481246,340.13315094773606
1901,286.5595367377975,240.0553781474939,100.12432524418769,340.11512116099806
1902,286.56031865484977,239.74023714690054,100.32003095516735,340.11722901096374
1903,286.430342257192,239.22142865287148,101.1419472006636,340.1473385813895
1904,286.58019397184995,239.7481361746778,100.52031380238874,340.21477024685896
1905,286.6464401710499,240.02627238507822,99.85254061144332,340.185000308664
1906,286.69153141781095,240.23477162229892,99.87735123774455,340.2411077198913
1907,286.6177898700868,239.9489179749573,100.2765191673336,340.2069321338493
1908,286.5431361025455,239.95746521172097,100.13625875209549,340.2237548144642
1909,286.5588919485627,239.968402926748,99.73096360677881,340.1944198694682
1910,286.49658813877426,239.93269059436363,99.9732271246399,340.17394395905734
1911,286.4087524513324,239.79983924095427,100.36594215365007,340.138150350768
1912,286.3090281599033,239.2210636777511,100.88358604119988,340.1226232364041
1913,286.3837350486012,239.49461473025175,100.30907528542029,340.1245765492375
1914,286.5371966616968,240.00361304566385,100.0651095593196,340.1466605104029
1915,286.661880057333,239.99856288790158,99.93161214583783,340.2193649242675
1916,286.5934574624337,240.1610831271323,100.51999326932757,340.2859580851239
1917,286.44208669204494,239.92159199988495,100.09338822757864,340.3288390565477
1918,286.42688430298625,240.05076657798074,100.0132345171059,340.3368607813997
1919,286.57172922097396,239.99787771161687,99.92608886971367,340.2734305596202
1920,286.49045927029925,239.83872414410246,100.17557661304186,340.2206307967636
1921,286.5089583692433,239.95561476293017,99.9902866598228,340.18371657032793
1922,286.434816260805,239.71716137527662,100.75483624149678,340.14726866455567
1923,286.4082308975283,239.68046093809974,100.33968310862127,340.13377809512895
1924,286.5681451140113,239.83193024280072,99.8829189276063,340.14778900441655
1925,286.5385288128809,239.88847815417788,100.48604205577642,340.2033464804594
1926,286.41183796103945,239.75092521345823,100.17858924463935,340.2269924805707
1927,286.46467873737333,240.11800677573945,99.9404925616832,340.28741155919937
1928,286.59132834034284,240.09870951952874,100.07473583091769,340.2636487467042
1929,286.6361423151898,239.89044149209099,100.26592338684422,340.2576004272251
1930,286.62376160529476,239.74226537981244,100.55208336278803,340.2355185904686
1931,286.54902243212746,239.92048296410465,100.14310560841949,340.2087065347407
1932,286.48667034781204,239.79364696379776,100.43958678812805,340.17515550226886
1933,286.53026359419135,239.825780503661,100.02892349978613,340.1595880445924
