year,tas,rlut,rsut,rsdt
2015,288.14743554859166,239.9768875707441,99.1212375248872,340.2693889018404
2016,288.14429096668505,240.01106005663075,99.19695794020141,340.1926652707977
2017,288.27112266675863,239.9216818860058,98.84750867696114,340.17232797099564
2018,288.3442648723904,240.18721378254727,99.19922733053988,340.15969888620003
2019,288.30701613412685,240.32239337514417,98.85955034157547,340.1602148234026
2020,288.34780549043563,240.2277152525841,98.38371485165574,340.1688343729359
2021,288.43981154666966,240.02175552250674,98.70851279355486,340.23094342744594
2022,288.652649723043,240.3553783063329,98.69678859232742,340.30784147228036
2023,288.6431905304273,240.45900946024878,98.6886556533775,340.36160227798354
2024,288.5421046593132,240.31047452658353,98.64839578731545,340.37365909739634
2025,288.59461853499846,240.3872025893163,98.3918934003164,340.334208370732
2026,288.8390475593869,240.57179074201005,97.74315540370854,340.2909334984735
2027,289.017158278973,240.94665246604862,98.30923812144088,340.24521745590033
2028,288.9342106665429,240.56724906482896,98.231792270391,340.2141491470997
2029,288.7695561020102,240.23531427999288,98.52130133135309,340.19081904054417
2030,288.9438256985318,240.58252917565812,98.27154037724718,340.1710733827621
2031,288.8880217163962,240.49373386194873,98.33768974760557,340.15232452606233
2032,289.0087059614855,240.56141635241326,97.99685357246136,340.1546497820722
2033,289.0002344549833,240.49650021769676,98.02070784052404,340.18909302674217
2034,289.2100727055753,240.86000884879022,98.17370213189453,340.26557535022715
2035,289.16227841160656,240.83141546785478,98.16087149501006,340.2740858955111
2036,289.0791695910945,240.66393887264508,97.89697594355461,340.3189871414287
2037,289.16338927458395,240.7878239416607,97.81972615694421,340.27589527524606
2038,289.2797021581077,240.74840578089803,98.01583837248502,340.2744216303367
2039,289.1573787263364,240.8397261662798,98.00149389349512,340.2356069660895
2040,289.17784324868006,240.7490125041705,97.63979784761266,340.1904700930913
2041,289.26620009815707,240.7256399795715,97.77920381417867,340.1508041469936
2042,289.2219918758953,240.8095629183513,97.6901986549678,340.13771846002527
2043,289.3450314566955,240.84890543618178,97.60552823138427,340.14161613531024
2044,289.55715366186797,241.1799963609325,97.56725468903981,340.1620279898219
2045,289.3577913324694,240.8885277806726,98.19542457354278,340.2279226912181
2046,289.2503620133628,240.66695980719882,97.59416157381692,340.2782640181336
2047,289.58609467786187,241.20831255357237,97.2303746223861,340.33347360146405
2048,289.66213161236067,241.19411054464845,97.68990392084102,340.33996499766477
2049,289.5587376474072,241.04293656646732,97.36139680651668,340.29583492095554
2050,289.6988327703167,241.31724455721067,97.01179366908673,340.2363315218788
2051,289.8208177669276,241.29139676225188,97.11524774585838,340.20425999827916
2052,289.86018778326513,241.46941020422503,97.04703643993905,340.171106236748
2053,289.8632336147553,241.2356351071335,97.27836149911776,340.1460007671189
2054,289.9064949873798,241.38916992146684,97.19611006650489,340.15208955954046
2055,289.8634933762009,241.41103870391484,97.03384935778035,340.193087170278
2056,289.71876110421994,241.21787774281884,97.45562131931689,340.2409220228611
2057,289.86196745212624,241.31145693597594,96.92514290717004,340.2447095813124
2058,289.88360630884324,241.6822331465763,97.19684241031938,340.2519448028019
2059,289.91016243523774,241.46586328482476,96.66567676498421,340.26332425885295
2060,290.0589227147829,241.41475057208834,96.85519141296338,340.2264692699778
2061,290.1836173565083,241.40409430997792,96.89421542610638,340.18331014790743
2062,290.25768786476397,241.84360410882627,97.07343138322666,340.15723703313137
2063,290.0487170719268,241.39176567531774,97.1443310699392,340.1461484947777
2064,290.1428734282734,241.54515518513605,96.68524954733122,340.14292790251426
2065,290.3911961545822,241.85954327494133,96.2926275571876,340.15136671454917
2066,290.40759176178756,241.86891893536415,97.053437185725,340.20184897451935
2067,290.31518953929356,241.67042473404447,96.70962340725667,340.2536132359032
2068,290.4267571720195,242.0260932093128,96.6811235703607,340.2828381020343
2069,290.35532999604794,241.8019922457145,96.87109978096339,340.2765853015784
2070,290.31654259627953,241.73142813263038,96.61532438930465,340.2443964905511
2071,290.5133646812853,241.84273196986567,96.51501284192925,340.20109860130555
2072,290.5224821735267,241.99458832429,96.62666839343251,340.1859110327291
2073,290.5345427102761,241.90041336152413,96.56263769390763,340.16549884189016
2074,290.49835502408064,241.88574025969288,96.85403021862372,340.1422102267306
2075,290.3119878853901,241.77223704463077,97.13647082716862,340.1330731307467
2076,290.33435319125476,241.75170539626143,96.55580704890797,340.12388644307555
2077,290.5397482111294,241.91313206358464,96.3590510395044,340.1329330958477
2078,290.5834646849684,242.0744642315161,96.66171149759312,340.1649894766119
2079,290.63525352610964,242.234925232596,96.62190205115917,340.20581423196774
2080,290.51863804793425,241.85726781718628,96.42290245559138,340.2317185784475
2081,290.74568410225845,242.48793054325435,96.35773316808523,340.22998158497154
2082,290.61602839371625,242.08518922281635,96.60135408836787,340.23419027290066
2083,290.52725678373406,241.96454987397271,96.12804582818887,340.211873479977
2084,290.7755961053201,242.0783802855342,96.14382656799386,340.1938123648277
2085,290.9135847299062,242.35459346166522,96.01559100924284,340.15589753270046
2086,290.8810214922535,242.49706233204168,96.25423307236491,340.1313977750462
2087,290.7968119273999,242.21392246118623,96.26344411526135,340.12725671752224
2088,290.6665138360034,242.0178827896539,96.66467333994416,340.13040537054655
