year,tas,rlut,rsut,rsdt
1850,286.76759983134554,241.5100376287255,98.09696268192194,340.2825629200831
1851,286.7795074960051,241.38535610541405,98.5852937682403,340.2716878287056
1852,286.72720574022514,241.3863092583306,99.43042273395538,340.3017272504149
1853,286.7160532203663,241.26496697386338,98.73870509417856,340.25053119781745
1854,286.86144529286577,241.6793259292003,98.14921737349268,340.22341839648624
1855,286.95498792913304,241.81737931968564,98.35723815453757,340.2066280665212
1856,286.8598898803848,241.4448026508356,98.44379142173328,340.23336843728845
1857,286.83715859025534,241.56170079387235,98.84805123643888,340.21381430902176
1858,286.7731386848979,241.37626805747846,98.29473562574874,340.2468754418748
1859,286.7993258170978,241.3637083482404,98.86635699800782,340.274515663661
1860,286.73882492252733,241.60179357419796,98.88889459366094,340.3268814811534
1861,286.7474670291512,241.28431323763175,99.20308692568788,340.2914758900433
1862,286.77838662064937,241.20257156910955,100.01121179913002,340.267276085738
1863,286.58550907759314,240.9917707571236,98.8771991200673,340.2530132998132
1864,286.48518197279503,240.86831481359738,98.65202769173492,340.27090843906
1865,286.6213546291945,241.0464232451934,98.7168964912416,340.22819476962815
1866,286.5743014290271,241.0853695275905,98.97589662840589,340.2225112283036
1867,286.67305272441996,241.34016109548966,98.54403628890492,340.21396050954917
1868,286.75310950682194,241.5411039107113,98.98132213013552,340.2646961160239
1869,286.55294636557295,241.01124787260144,98.80314200571702,340.26787810953925
1870,286.610607998268,241.16360213930145,98.58971848653437,340.2708463914416
1871,286.71715779748337,241.49978539370719,98.42163887322953,340.2915422757246
1872,286.6476510362504,241.29425796895555,98.94816764300383,340.31203115527086
1873,286.6693272603096,241.3383243684899,99.12335701530826,340.26188130652463
1874,286.72064235636077,241.25581398655584,98.52528086174702,340.24540243946547
1875,286.6744204942681,241.37723558038462,98.7872508324998,340.21476995688755
1876,286.7173246147895,241.2814840928706,98.87946871901012,340.23222976620866
1877,286.6075098723954,241.18063429807208,98.98746731061992,340.19189834506795
1878,286.57131042614145,241.0377419842033,98.73083981060574,340.1804909233342
1879,286.55533990708165,241.13930674701092,98.98071375274667,340.1830308246905
1880,286.5963108072398,241.14238855365844,99.3356856705755,340.2420227470271
1881,286.63269324771494,241.0731962743353,99.10850606408731,340.2482878044314
1882,286.55477505753345,241.17874884674325,99.67573276356522,340.24031304613067
1883,286.443131185759,240.29048921284416,100.27028608341067,340.2347705380045
1884,286.3040842362021,239.3578625827456,102.7770964068057,340.3109436259709
1885,286.2871993305828,240.34716631532623,100.42494040972815,340.25178693736285
1886,286.44260696062645,240.64002200013553,99.04109006069068,340.2191004663934
1887,286.3752563915421,240.51559315245626,99.13655919229244,340.1993076784554
1888,286.4572059697852,240.84184682282194,99.14250845133762,340.22310766534497
1889,286.54998192156535,240.82641493117532,98.54900038370234,340.1889598366482
1890,286.63571950504337,241.0511094108142,98.87933480174365,340.1957552089629
1891,286.691932921458,240.96547706214315,98.90537991601069,340.2455367805939
1892,286.74807689343965,241.34985360130722,99.42163146400314,340.31789168745024
1893,286.65344203684253,241.09944946595718,98.87758809971525,340.3183657087665
1894,286.611443655946,241.177709583483,98.7066802640274,340.3574178400533
1895,286.64429348847193,241.04090558384988,98.68271443326307,340.3206828228016
1896,286.76789899904765,241.46200928851684,98.29874977156688,340.30224276397706
1897,286.90738965113513,241.3555004092876,98.22390805391443,340.23796734359
1898,286.9745481802973,241.66667093562322,98.91093286021861,340.2233745905143
1899,286.76539758197765,241.07585548693297,98.74244274561879,340.2053281352469
1900,286.77849353367225,241.17151396303893,98.81921167619186,340.19472939908906
1901,286.7770914129681,241.13588226854236,99.01547408598793,340.17709263972637
1902,286.8270304359423,241.25997558753366,98.78243245969493,340.1812397932175
1903,286.66893104372656,240.47403477170357,100.34034700057992,340.2172482335485
1904,286.77929987703277,241.12015058504286,99.33809778628422,340.31372476388333
1905,286.61544581330344,240.9147231468827,98.65309261267299,340.25343220735454
1906,286.71606993488365,241.1494583440765,98.49817347487847,340.3004310154834
1907,286.79188741370035,241.1340857547117,99.04188046187342,340.27505655339615
1908,286.90058389495056,241.17697353589423,98.5024267308774,340.3230302940396
1909,287.1171334029477,241.6598904812316,98.48508264601064,340.25807002793067
1910,286.97827768202825,241.65574170649336,98.62683825526624,340.2340207640864
1911,286.861325287199,241.37025826551624,98.31560419270987,340.1985810063361
1912,286.8161703813488,240.84527959752586,99.60718805751056,340.216505734525
1913,286.9046445845008,241.23369244901937,99.40206159828186,340.18813578191464
1914,286.9662284302965,241.25797048514497,98.9041670509619,340.215139532924
1915,287.02321065912906,241.50976716274786,98.31283962299659,340.2930717679156
1916,286.88459109927396,241.27919246741985,98.61549613384643,340.38685013604237
1917,286.8706976396256,241.10597955399297,98.52494631510577,340.3964807807101
1918,287.13190987440663,241.61999178510632,98.410241153357,340.40412086021763
1919,287.1639380705807,241.8251167819351,98.49106444902311,340.34017613202013
1920,287.07636992980895,241.5765768232263,98.66505507177027,340.31075921929704
1921,287.1038174107761,241.41814534994475,98.41066054643075,340.242008891597
1922,287.1053818640425,241.4589416090416,98.93684665247719,340.20759962591404
1923,287.06201672024275,241.55035868286973,99.22431678256447,340.2000349642462
1924,286.9589466914915,241.06031680222443,98.41648605111602,340.24653119722
1925,286.9949491201683,241.31057108485234,98.7872191629054,340.25556410322287
1926,287.08134043823003,241.6963771053372,98.59005037064215,340.31159677954366
1927,287.09239093766246,241.5641789212407,98.44132922405372,340.3581961856376
1928,287.1465835893054,241.50672437441486,98.50150959666722,340.35937280729473
1929,287.17352248229844,241.65519941899552,99.17243616900258,340.3112355901082
1930,287.1053832624886,241.62182572599588,98.44649893221197,340.3129822442506
1931,287.2643017630916,241.63002085998457,98.11676572423069,340.26905445374274
1932,287.3244358018827,241.8491522951773,98.20528885471704,340.2684200589163
1933,287.31600098628616,241.88360023134396,98.36761689932928,340.22327431282616
1934,287.21635562631116,241.61081998052012,98.38717548009491,340.2385061157223
1935,287.152150006398,241.5260467074735,98.40109181329667,340.29022492109124
1936,287.2154780866967,241.71021744877984,98.53866245224096,340.4343942904889
1937,287.45747068273795,242.0479689288451,97.98915421097571,340.4103943440321
1938,287.66524370969034,242.37525467760477,98.19530369905613,340.38897066893657
1939,287.40095980782513,241.9344252181005,98.41224522071322,340.3844577506335
1940,287.3389207965359,241.91501462411745,97.6481859438607,340.377222955704
1941,287.45230818005376,241.96566784371205,97.90545030632688,340.31527015660976
1942,287.5797171120226,242.290572557099,97.88140352767988,340.278515695835
1943,287.5668593518113,242.04236647480693,98.15526039570632,340.24197383835684
1944,287.5263067273574,242.0237790427833,98.08328570457478,340.28401158721016
1945,287.557633171998,242.23570075768183,98.07477169898179,340.32163033189863
1946,287.6738136997213,242.20691673564397,98.05820804451714,340.35464704591465
1947,287.4983263137122,242.2400083376831,98.01714109989996,340.44366003501636
1948,287.55327575697703,241.97511778432695,98.10557854769496,340.5061172307606
1949,287.6262599074173,242.26037483745972,97.98510206441404,340.44447439942496
1950,287.681784262859,242.4521771009586,98.1523509203953,340.37911593750965
1951,287.5027807866052,241.95363919400288,97.83706227335604,340.2927045031238
1952,287.6077564612354,242.11533606648575,98.27639950849152,340.31974757802277
1953,287.46918289052184,241.93365207439106,98.1326990055099,340.26287997281594
1954,287.4838554466701,241.92967127942848,98.29053736671376,340.26308835108
1955,287.7298000806982,242.18760985900315,97.48035482190443,340.31655480579343
1956,287.6781496346519,242.45305580010813,98.13485605368304,340.4649366696982
1957,287.545079015154,242.07809107152875,98.21185681777223,340.5443480166068
1958,287.4559411015784,242.07818071779738,98.16095458445683,340.5573035280247
1959,287.58479135955923,241.85855993621985,98.18809986350652,340.49545984088604
1960,287.5090041119914,242.05756760357315,98.75335150810645,340.48501496763305
1961,287.24091272401506,241.70938935912736,98.52532364645755,340.3598673956055
1962,287.3483934496551,241.4328688680935,98.71232379894963,340.2939764147249
1963,287.3457597656305,241.0339491912922,100.48387049817823,340.2716521012607
1964,287.1455542025182,240.7369490627614,99.61857818180296,340.2926387344421
1965,287.37293631458374,241.40967458286664,98.97327782632182,340.26678628183566
1966,287.6214151863199,241.9370093290983,98.6860029063235,340.31676789115016
1967,287.25600974277614,241.2537273552385,99.03078426333094,340.3787531932388
1968,287.2888657035618,241.4195979318555,98.76156893461825,340.44348569494736
1969,287.39348905952914,241.62440618846708,98.56527583879198,340.4174223458935
1970,287.3352877951107,241.33004987533613,99.02351510176243,340.421170883005
1971,287.3690578615009,241.3635371835384,98.92704167755652,340.3654587517402
1972,287.44329925452485,241.48191663246052,98.57843227205576,340.39311474206573
1973,287.51193234605523,241.68684460507873,98.27591408438376,340.3055402418599
1974,287.5672230649646,241.5460705773272,98.89580973193767,340.27800873509676
1975,287.3582477652779,241.0507549866647,99.23231221478837,340.27857282098887
1976,287.4796722202447,241.2758532072786,98.91092355246714,340.3008949453809
1977,287.44565311880507,241.53072729521043,98.57586494152288,340.32855286826026
1978,287.4281442392648,241.13060067940833,98.40596868204973,340.41782781312924
1979,287.6370436551172,241.57813247628084,98.50671550275128,340.4947022058743
1980,287.6178545572009,241.68939188823882,98.81682696472096,340.5108958589329
1981,287.55335786868903,241.2998280527186,98.40919393971215,340.48486114415067
1982,287.6386474850638,241.36919824104052,99.06862963614533,340.40026165616865
1983,287.56697178080816,240.82548887964467,99.94351088369855,340.3961162568307
1984,287.45493782326434,240.87286883218863,99.13042064981238,340.3271436709008
1985,287.51823246312205,240.983019099975,98.92826359249416,340.26269192242574
1986,287.572856452647,240.94068880029633,99.21662863107444,340.26692258289853
1987,287.57567408627,240.91611998471194,98.4939971547653,340.2881443166753
1988,287.7782162290157,241.35302322573094,98.81610466982151,340.4078381606437
1989,287.69213071748203,241.422627949443,99.59390780505265,340.4971129521932
1990,287.5736050725375,241.0988346532058,98.5673410566683,340.4745437982295
1991,287.4730654835699,240.46070971385143,100.11501892738143,340.47025725195084
1992,287.29328765610427,239.1941011943832,101.9606426303199,340.4627696366676
1993,287.31727157051466,239.7495331262223,100.59274687361038,340.3350097771627
1994,287.4015852229275,240.3268513205812,98.91912244954591,340.2775336743449
1995,287.61460828717543,240.64760292890585,98.5635469276225,340.2664867712463
1996,287.75121663645047,241.0319187723641,98.64571878979355,340.27413812395906
1997,287.64220802070224,240.91884992829443,98.73385902086262,340.2747725005161
1998,287.68887251079246,240.86824296052382,98.69262894080991,340.36648909642355
1999,287.8778681179619,241.09748160185327,98.59744009881807,340.43377633651954
2000,287.82501639783555,241.152442679487,98.56168110654717,340.515001076176
2001,287.85743664048147,241.19038691146864,98.36784085590631,340.46291534789395
2002,287.87407120634765,240.9642945218467,98.85077346996724,340.4741566069572
2003,288.0524893918251,241.32791092208018,98.33499723516259,340.353122215925
2004,288.0829338000391,241.42400367202504,98.04329734791953,340.33221073182466
2005,288.0545077480782,241.28457760548426,98.36184656890703,340.2484415442238
2006,288.10149112257596,241.40335514140347,98.9908368714112,340.2367078373929
2007,287.837819325975,240.776521567333,98.43971363634044,340.21419286674046
2008,288.0091879839451,241.16627203644975,98.27437653656044,340.24087637896326
2009,288.06366708312953,241.28286442488715,98.4861901642135,340.2092960026118
2010,288.0705210908883,241.14022555975987,97.85098929255192,340.2525799659974
2011,288.15374746052663,241.02385343865004,97.99015050242555,340.3198574353128
2012,288.2755680836023,241.65850303434513,98.4075810045406,340.3796044157629
2013,288.23076959226836,241.70784373567082,98.40709330714229,340.363819921317
2014,288.1796645580859,241.28622543370193,97.96857428504825,340.3832399675517
