year,tas,rlut,rsut,rsdt
2015,288.2330750138926,241.35644264134416,98.51845954373591,340.3251109650247
2016,288.2388605989255,241.0952828705996,98.1263565467146,340.2840446364408
2017,288.3239148225424,241.20452421802625,98.03040981196223,340.2335001219812
2018,288.5039390166663,241.60495499525325,98.26419830674563,340.2258244960682
2019,288.43691926792525,241.4869321259649,97.43798651205852,340.22458184228935
2020,288.5303712583293,241.53080573198042,97.18333475452285,340.2661559226867
2021,288.601237644945,241.66221633508266,97.79621904053744,340.30620277316604
2022,288.59796020465683,241.70930043581532,98.02930905744905,340.38403880546264
2023,288.5226330099058,241.61083635283305,97.39461962634033,340.42796565144545
2024,288.4859865805907,241.5125906915582,97.82844642672029,340.4770211630887
2025,288.6685771547816,241.5603884180043,98.03533635513536,340.40203489123536
2026,288.65609239769805,241.85572645219244,98.47835967514624,340.3539022808871
2027,288.5696450208201,241.40670068322024,97.16293960655646,340.3034004747724
2028,288.6877990928729,241.6675947530221,97.40691973266489,340.3153786570103
2029,288.66313317631534,241.53139866568543,97.75220010810744,340.25068158524135
2030,288.59874778361973,241.48244558311103,98.00827320991101,340.2327132172252
2031,288.6615572300321,241.37579268221714,97.702393836112,340.21533672680295
2032,288.81522077175765,241.6895263278897,97.31673423885088,340.25062992082906
2033,288.85794019482046,241.6412201492542,97.68744816872002,340.26181216032097
2034,288.6524616386073,241.43678961472537,97.39321428346261,340.33676147482
2035,288.92871299497557,241.95882335719622,97.15950262883378,340.3453815933936
2036,288.8992177186232,241.73402475569807,97.54845487829952,340.4104067836551
2037,288.8874311882684,241.96227287055322,97.57385076671609,340.345363431506
2038,288.9061354038417,241.65778961203637,97.53946964831943,340.34484011801607
2039,288.9728295530554,241.9365368164216,97.65847109072037,340.2961813102044
2040,288.90728810110096,241.7273382458691,97.21480176741794,340.2826208619361
2041,289.0021890844804,241.69340554682674,97.4038183796556,340.21140491911706
2042,289.1879027735677,242.1780779330046,97.85494959316713,340.2004510548158
2043,288.95659717225607,241.6176442660253,97.20629363222527,340.2057820984453
2044,288.94364570639283,241.5556294061795,97.15194183239339,340.26160944578106
2045,289.2405433619669,242.12297428583403,97.00475835393492,340.30100401375415
2046,289.2490344130912,241.91681405395545,97.4168168168565,340.3487924016005
2047,289.21058066193166,242.18915729247593,96.78493214257036,340.4022192322863
2048,289.21228799077033,241.91027399864984,97.1518927857942,340.4390767034838
2049,289.5095367457474,242.2840829991363,96.55728206515364,340.36392732937844
2050,289.48188669380454,242.52425964549036,97.18657227254776,340.29617855975596
