year,tas,rlut,rsut,rsdt
1850,287.1772783933461,239.15208149219941,101.66419655095041,340.27084286407614
1851,286.71753202803404,238.7370760945272,101.65974078618785,340.27084286407614
1852,286.76287687217354,238.53136139248906,101.37815270480247,340.27084286407614
1853,286.9047527944051,238.7736507959431,101.35181092487711,340.27084286407614
1854,286.9905373011062,238.83444914968433,101.43529627193656,340.27084286407614
1855,287.0155640563483,238.85901287879645,101.70246962592766,340.27084286407614
1856,287.03716582007627,238.91383199248037,101.6201232021706,340.27084286407614
1857,286.86829688006736,238.66699953831764,101.84082937313462,340.27084286407614
1858,286.68989486767924,238.66231909454942,101.27677985969096,340.27084286407614
1859,286.7198699751454,238.36483381710943,101.29572067434547,340.27084286407614
1860,286.85802019438273,238.35950451037544,101.77165805875681,340.27084286407614
1861,286.9604500294882,238.83717190179527,101.69549694302854,340.27084286407614
1862,286.8805601125207,238.85229920101918,101.40113627000623,340.27084286407614
1863,286.771263458117,238.80219120914595,101.05832786573741,340.27084286407614
1864,286.86115504118993,238.7860173959477,101.29155522731867,340.27084286407614
1865,287.1069213895819,239.3543099327753,101.22294837776985,340.27084286407614
1866,286.83601493357605,238.941757630782,101.17547019658213,340.27084286407614
1867,286.7074001880723,238.39147067152044,100.67984497901472,340.27084286407614
1868,286.970126204814,238.62474697433345,101.0037755880354,340.27084286407614
1869,287.24540017618864,239.18125543849058,101.45215416743156,340.27084286407614
1870,287.06740721892476,239.0538777621831,101.26461822920264,340.27084286407614
1871,287.00790971521366,238.70946151456948,101.50415759529356,340.27084286407614
1872,287.21332611860163,239.08732116021534,101.54582282522314,340.27084286407614
1873,286.95160648702443,239.4498382450946,100.93860794668494,340.27084286407614
1874,286.73091211633016,238.3303709915841,101.2259538946109,340.27084286407614
1875,286.83633452764485,238.62829498816325,101.14533488537734,340.27084286407614
1876,287.09160206193934,238.52892668372033,101.87557526046112,340.27084286407614
1877,287.1193922871501,239.35019371535614,101.53427658366475,340.27084286407614
1878,286.8226590095246,238.92872086402554,100.97712410243109,340.27084286407614
1879,286.82383718828385,238.60340409238577,101.18851576115362,340.27084286407614
1880,286.9012090235854,238.83198032733185,101.35487668239129,340.27084286407614
1881,286.9604879565232,238.46978414057878,101.71065514556436,340.27084286407614
1882,287.1675208145437,238.8000949363699,102.09954773003012,340.27084286407614
1883,287.03585128013134,239.24455887550926,101.49032436049947,340.27084286407614
1884,286.72593249214634,238.6620748287436,101.0347294261493,340.27084286407614
1885,286.9212242565782,238.95032536217988,101.0916310353304,340.27084286407614
1886,287.05448107200743,238.8511429475046,101.4807702036719,340.27084286407614
1887,286.99065122402874,239.39187353623674,101.03821352537234,340.27084286407614
1888,286.7761498269536,238.6841018237095,101.05944897317575,340.27084286407614
1889,286.89608973461264,238.67905183872165,101.22273269966986,340.27084286407614
1890,287.058671450282,238.52369408139202,101.57573204445787,340.27084286407614
1891,287.1269367655389,239.18881593660012,101.5679825415815,340.27084286407614
1892,286.9882023150705,239.16343337173979,101.07972128140916,340.27084286407614
1893,286.8620957711893,238.65964230447142,101.18175525011748,340.27084286407614
1894,287.1441290304477,238.64529233565193,101.58921351043803,340.27084286407614
1895,287.27372511754646,239.27048673252827,101.58019688534957,340.27084286407614
1896,286.9196415777839,238.99863399527882,101.47128774520655,340.27084286407614
1897,286.7997984995858,238.74318286346727,100.94362609545897,340.27084286407614
1898,286.97193665892746,238.41592055967337,101.74843463584016,340.27084286407614
1899,287.12700345977123,239.36535821096905,101.30810714562917,340.27084286407614
1900,286.8710566628974,238.91569584489267,101.27110899609552,340.27084286407614
1901,286.7099459876556,238.66732303097504,101.45002999469888,340.27084286407614
1902,286.8605410432552,238.60054844681363,101.31802842166299,340.27084286407614
1903,286.9927931680132,238.6397447385316,101.53402210504684,340.27084286407614
1904,287.0762904855892,239.07351563704273,101.55193134660239,340.27084286407614
1905,286.9646996768947,238.90857034213408,101.38034565631106,340.27084286407614
1906,286.7778925850123,238.88552912583177,101.43577195684445,340.27084286407614
1907,286.7859109506858,238.3082479793255,101.54322578604688,340.27084286407614
1908,286.90469445527395,238.7931433903184,101.41642538635854,340.27084286407614
1909,286.9518631968229,238.5237223925784,101.52493234139548,340.27084286407614
1910,287.23207837337844,239.05453392426526,101.64898823340201,340.27084286407614
1911,287.1782373304329,239.1054089908512,101.55845069840423,340.27084286407614
1912,286.89544153052833,239.13246590392248,101.03195210437947,340.27084286407614
1913,286.7764953366473,238.20795179665288,101.23402114966142,340.27084286407614
1914,287.0177610210992,238.8506402703466,101.44046854851315,340.27084286407614
1915,287.1290148077856,239.13349453415938,101.42803481637964,340.27084286407614
1916,286.7832799506662,238.7713347252891,101.45282041151671,340.27084286407614
1917,286.7670044857365,238.64700658561068,101.07364235583252,340.27084286407614
1918,287.1131330682948,238.90018322361425,101.40458420012027,340.27084286407614
1919,287.0410940544135,238.8531947405639,101.60304410773718,340.27084286407614
1920,287.008112693209,239.1711957293686,100.94924167797961,340.27084286407614
1921,286.9014121711401,238.69856889486502,101.25686450744901,340.27084286407614
1922,286.9788982964967,238.78406259336563,101.5069589788563,340.27084286407614
1923,287.0364152489919,238.69714043791626,101.85631639733266,340.27084286407614
1924,287.12058057895723,239.1629929768278,101.5830923504008,340.27084286407614
1925,286.90044779694256,238.975380574675,101.37674198853092,340.27084286407614
1926,286.7460573753003,238.82494705317688,100.96981378709931,340.27084286407614
1927,286.83346351965326,238.7506808396699,101.13416586838743,340.27084286407614
1928,286.92770510676934,238.5248735122192,101.6115027875017,340.27084286407614
1929,287.08877858866407,239.15968365620117,101.47620173658505,340.27084286407614
