year,tas,rlut,rsut,rsdt
1850,285.95162378598565,238.1453853659434,103.0177638014702,341.62822683674017
1851,285.9553220984054,237.95174757029915,102.95463954977794,341.61735154243365
1852,286.01893615722656,237.9922853897178,102.69022888433739,341.6477288418129
1853,285.9880541657748,238.19099580947668,102.97106735020468,341.5960698375963
1854,285.81351485578983,237.86092759223834,103.03708119849637,341.56888770534573
1855,285.81520185078665,237.722165000602,102.89702852850091,341.5520165848406
1856,285.93092071032913,237.78292187966937,102.63896164607479,341.57910990063607
1857,286.03375821048263,238.09943722241545,102.64083358555622,341.5591989177547
1858,286.0777714141428,238.250225035785,102.83120597943868,341.5924355702858
1859,285.99075158524187,238.09889229552388,102.9439279843683,341.6201579890839
1860,285.8002019163038,237.9212770722603,103.01974831252801,341.6729979801699
1861,285.8442570098459,237.78834705091504,102.88459340970809,341.6372007605148
1862,286.04761971251605,238.000655584466,103.42205407129575,341.61290960442534
1863,286.0073576626712,238.17941142043023,102.94329635411093,341.5985619949968
1864,285.93003561718217,237.9259161610421,102.74096467065031,341.61678018205157
1865,286.0674650009364,238.12921614973507,102.96015196499758,341.57366149066246
1866,286.1592069442958,238.18097701399293,102.44074504277478,341.56796540560794
1867,286.11484433526863,238.35439340251764,103.05338734665963,341.559378846051
1868,285.99598985682417,238.12732909155673,102.47137834726135,341.6105601826652
1869,286.12668975412026,238.19209598907057,102.5840045876699,341.613477398598
1870,286.28282219873716,238.32192784139556,103.24186236237824,341.61649337141483
1871,285.9414286574272,238.03440994889766,103.40664593422251,341.6372230007224
1872,285.9528405861777,238.0527367513688,102.77574791413186,341.658079553823
1873,285.8610192703874,237.89335544533924,103.02210158256635,341.60749578606595
1874,285.88267211914064,237.7410501140438,103.40001254147045,341.59092942329306
1875,285.7710154076145,237.6362854421955,103.3913377735713,341.5601793263056
1876,285.70269908800805,237.68838413426138,102.70108025972961,341.57798508607624
1877,285.8971460629816,237.81476323375963,102.55255335977633,341.5372250073577
1878,285.9970617843001,237.8124982441941,103.05637972060948,341.5257759825824
1879,286.0620281062714,237.9220430138993,102.60343776337089,341.52832231913527
1880,286.01591266569545,237.91080516544199,103.42614629359844,341.5877898169346
1881,285.92434809436537,237.94291937841135,102.45890515471159,341.59384957927546
1882,286.106951402638,237.9794220806801,102.58915752254121,341.5858297269638
1883,286.0170227050781,237.66109439379545,103.55361447268969,341.5802516153413
1884,285.60440588779136,237.28975123004182,105.0863217838475,341.65697917000193
1885,285.59189143768725,237.3845621187393,103.54429287845142,341.5973010755565
1886,285.85450941111947,237.70045609147584,102.82045434403092,341.56448807389773
1887,285.8660070968001,237.793886283979,102.9460381703834,341.54465039396945
1888,285.9509522484952,237.71806769032295,102.93455588752454,341.5688128862225
1889,286.12192625280926,238.07033963138107,102.77901552801262,341.5342610398384
1890,285.94801736073947,237.83970361997004,102.77399013989593,341.541075489619
1891,285.9987877414651,237.84996020173375,103.28830263320712,341.5910881146993
1892,285.94972904392927,237.96552093172332,102.87956375372215,341.6640016316064
1893,285.92538694616866,237.89906975733086,102.51747263033097,341.6642078138378
1894,286.2060015116652,238.10302884872647,102.8214505757371,341.70343853676155
1895,286.1501556814533,238.15867606385117,102.77477383548263,341.6665894390785
1896,286.0711188811422,238.00629149890335,103.28757541427194,341.64827415591384
1897,285.79540079195203,237.7347241545377,103.37722232766349,341.5834275337115
1898,285.7266579823951,237.51922695212167,103.19651742177469,341.5688797624144
1899,285.8418838291952,237.52192240675836,102.33620302383213,341.5506944630244
1900,286.1603640363516,237.81420268908224,103.27023623940723,341.56308091794205
1901,285.99710492695846,237.80702656785104,103.57599828014635,341.5223495692423
1902,285.83406104518946,237.60250047657587,103.28712956676743,341.52652420671023
1903,285.54882795778036,236.97203068145333,104.28625770464335,341.56271036226457
1904,285.78262279072743,237.4008982090351,103.82528619818349,341.65978770438437
1905,285.7069004006581,237.47192855207888,103.24356242140679,341.5988806319563
1906,285.7821059135541,237.45200876732395,102.9210463641441,341.64620929874786
1907,285.97084810439856,237.40541862592306,103.651462293651,341.62063498301046
1908,286.05117397621035,237.95507808330936,102.94007464966485,341.6692112990416
1909,285.7562706516214,237.59001941419626,103.4906196489726,341.60363593950666
1910,285.86675515370825,237.67125386277291,102.86814652534382,341.57951417687826
1911,285.9267236997004,237.52598366933327,102.7081447862599,341.5439211492669
1912,286.00777072593814,237.5043032703504,103.93864759851675,341.5621942405492
1913,285.76004429647367,237.55183143093157,103.84997951559825,341.53343940630356
1914,285.6599670410156,237.22635493866383,103.39029434413125,341.56054236007066
1915,285.64175147487697,237.19244995117185,103.55983290998903,341.63875013377566
1916,285.66292567852423,237.39890531112587,103.13684590657552,341.7331691387573
1917,285.9224790808273,237.60926129066783,102.90437670145951,341.74254693854346
1918,286.0128147072988,237.74830936797676,103.16004442188837,341.7502264989566
1919,286.0703070653628,237.9654769270387,103.03963675303002,341.6860648377301
1920,285.8273406315371,237.63097039728214,103.06387935700963,341.65689312043736
1921,285.8213229244702,237.26711237659197,102.86495584984347,341.5875141300567
1922,285.9216281838613,237.39184181526915,103.00360138775551,341.552913968857
1923,285.96256747311116,237.4501599873582,102.94921496665641,341.54538239779544
1924,285.9615851230309,237.73276319660124,102.75144501983142,341.5923270136932
1925,285.9536709720141,237.5189953529671,103.0795588872204,341.6010442864405
1926,285.9109920135916,237.51086948342518,103.29917809473324,341.65733993739303
1927,285.9293974575931,237.57898977619325,103.26469851977204,341.7041028166471
1928,286.012101470447,237.7253358351077,102.9307951379995,341.70556023602927
1929,285.947893618231,237.58665453767125,103.32053329258751,341.65702038072567
1930,286.1181337957513,237.54378720636237,102.81653967034327,341.6587422410103
1931,286.0694848465593,237.80683664818332,103.12492218017577,341.61466883829206
1932,285.99783083389366,237.74900563557944,102.5548948694448,341.61432310010565
1933,286.1909154604559,237.81681133949596,102.4869609048922,341.5686903862104
1934,286.1410901213345,237.79313358672675,102.96456821389397,341.5839855455372
1935,285.9827770494435,237.62806225084282,103.38105165664463,341.6358932704141
1936,285.9458423051678,237.6770207973126,102.84684572063507,341.7809332342096
1937,286.0445769009525,237.89697315790886,103.25608242505217,341.7566816774133
1938,285.88935112104025,237.64823453720305,103.31261216255082,341.7350774895655
1939,286.0895035417113,237.7709563790935,102.56799872411439,341.73056640625003
1940,286.0540352909943,237.6592088292857,103.32313506329648,341.7235480970373
1941,285.9699267243686,237.5243429105576,103.4615631730589,341.66107002153785
1942,285.92695571690393,237.6815785447212,102.88302215158122,341.6241890685199
1943,285.97106482100816,237.6199193667059,102.96802006551663,341.58748603716293
1944,285.9460505918076,237.54439690595117,102.84239590754275,341.62995276946185
1945,286.0607614177547,237.78096409627835,103.28630076369195,341.66747060279323
1946,286.11551731057364,237.76278757591766,102.58294067382813,341.70044998796016
1947,286.3425248655554,238.22881917039004,102.91043069917862,341.78986548854886
1948,286.23183036762504,237.99201723526085,103.15612776292478,341.85289234932657
1949,286.2784805924925,238.00299206041313,102.55722110696034,341.7907646283711
1950,286.2498823610071,237.7541061192343,103.3835936663902,341.72520894089786
1951,286.1004154571115,237.97527829522957,103.30807934068652,341.6384797396725
1952,286.1304861600282,237.6032382985933,102.93660106554707,341.66584135795557
1953,286.1038410343536,237.87367704208586,102.95557299052199,341.60845746602104
1954,286.15170221198093,237.70675939272527,102.78028140133375,341.6086737645815
1955,286.34009750575234,237.82931719218212,103.02772450904325,341.66233880029966
1956,286.17434625677726,237.72680351382394,103.25229621845517,341.8116014824539
1957,286.3285459753585,237.93226544105843,102.51541396885703,341.89106286453875
1958,286.57720562660535,238.15201616679153,102.5378692208904,341.90402012655176
1959,286.4680478448737,238.46692805878104,103.08997309436536,341.8420075717038
1960,286.33665783157767,238.03485190803235,102.63207738907612,341.83175600812734
1961,286.3779574459547,237.96604773116437,102.81244410684663,341.7058512648491
1962,286.36441081843964,238.08229825790613,103.11789862227766,341.6397247732502
1963,286.3151258494756,237.71357296460295,104.28330571422838,341.6172872464951
1964,286.0552757555019,237.48156229654947,103.74411325506826,341.63863902274375
1965,286.0977860960242,237.35161224783283,102.96407071466314,341.6123855381796
1966,286.47265173507066,237.88311771758615,102.69126680975091,341.66255192168774
1967,286.3788032427226,238.06948622612106,103.35918760952883,341.7247973298374
1968,286.24210495245256,237.76528046821636,102.78898601844664,341.7900644104338
1969,286.383692660397,237.85930811215755,102.80595540085885,341.7635908571008
1970,286.49731110873284,237.97647721800084,103.0842001928042,341.7673384156946
1971,286.4990997732502,238.00571084218484,102.83979795273036,341.7114144939266
1972,286.3565741367027,237.91661584572714,103.03201143858864,341.73945592661374
1973,286.3800114879869,237.63376234916788,102.46983747090378,341.6513087442477
1974,286.45469828566456,237.73869633086738,103.78029603304928,341.6236766240368
1975,286.2673402551102,237.61882662838448,103.04694945452967,341.6242331308861
1976,286.63660960379843,237.78723382168133,102.50873565673828,341.646931549239
1977,286.70079061429794,237.86011745505138,103.22647723890331,341.6744360518782
1978,286.8529219953981,238.19062240809612,102.46932899788634,341.76401450797295
1979,286.75670007157,237.89618036975597,103.81970315175515,341.84121503438035
1980,286.61021073138124,238.0817773537557,102.9073253277221,341.8577366396377
1981,286.5265752086901,237.84039411152875,102.72743536544174,341.8313788427065
1982,286.5967366257759,237.76732495451628,103.00122183185736,341.7463677393246
1983,286.5762553175835,237.20068317570096,103.73449650594632,341.7421888377569
1984,286.7172291239754,237.72456914349337,103.21933848480057,341.67329882012035
1985,286.72810811081973,237.79356070740582,103.15410649547839,341.6082987746147
1986,286.83681030273436,237.83082501137096,102.73403767624946,341.61253469806826
1987,286.7163150317048,237.6911707211847,103.16117440837702,341.63384299082304
1988,286.6067574923156,237.50815186213924,102.76628323330907,341.7543477543065
1989,286.89034733184394,237.78667447860926,102.69105046938542,341.84366187526757
1990,286.8624848666256,237.91278673981967,102.91391875384606,341.8208989391589
1991,286.74106177761126,237.7290955425942,103.38454554309584,341.8166530661387
1992,286.5995445876825,236.99117170656965,105.02805807811967,341.80942664641503
1993,286.6622825309022,237.19090208288745,104.06377676349797,341.6808817824272
1994,286.6227344251659,237.29134044908497,103.20966939011664,341.6231620056988
1995,286.7300565536708,237.2976907390438,102.98707331827241,341.61208370679043
1996,286.9140058840559,237.44768928569522,102.14312660759265,341.62006115522536
1997,286.94229753050087,237.5205093592813,103.31700847050915,341.6204122464951
1998,286.8645313001659,237.54288346800084,102.39094165122673,341.7124961539491
1999,286.90941320968005,237.52224702181886,102.58712064142095,341.78003690536707
2000,286.8114814966755,237.57536370115852,103.14997109168212,341.8619286375619
2001,286.7453379173801,237.3766250819376,102.73720441844364,341.80932224221425
2002,287.1699674423427,237.52554630645332,102.87160744863013,341.8205530454035
2003,287.0586990147421,237.71672856579087,103.60973654969098,341.6989688402985
2004,286.75289883639647,237.52139782514732,102.6834383271431,341.67838141436135
2005,286.7401355482128,237.2640317733974,102.51269309684021,341.59398511076625
2006,286.8497721632866,237.13383717994168,102.65012675246147,341.582170125883
2007,286.83951884230527,237.4994094639608,102.94258824178617,341.55957332245293
