year,tas,rlut,rsut,rsdt
2015,289.30595111599587,230.31358237669897,109.09068874008942,340.27988192797005
2016,288.8904003520358,229.39103123245252,109.01416272614729,340.21003591282727
2017,288.9304548325467,229.4209061939622,108.4803161494238,340.19091435991453
2018,289.0727850592682,229.43617137759608,108.49005242834396,340.1823321301081
2019,289.2665941152947,229.61242459842654,108.45048869533657,340.181566706245
2020,289.4981824831023,230.26008626765488,108.45534935882448,340.1918595458112
2021,289.37279076834494,230.2289698963026,109.13287353353932,340.2616564453021
2022,289.1150650850354,229.46231797993536,108.51227764955803,340.3383147338564
2023,289.1522366522673,229.53054695365594,108.62645670535669,340.3824260077312
2024,289.36946381928874,229.89137211271785,108.35365975563023,340.3995067219949
2025,289.56228636283885,230.28979550980364,108.28117432500198,340.3569877183271
2026,289.44780384552985,230.15897973668885,108.71036874731486,340.3073713929189
2027,289.25353517465703,229.62109002626582,108.53488453303125,340.2611591688391
2028,289.4188433793606,229.5643311961576,108.08868384619707,340.23927032164494
2029,289.72412860415494,230.38674493283648,108.2464595293772,340.20753694655747
2030,289.70996177640484,230.4252562466726,108.65351092478078,340.18970211673303
2031,289.22186251882096,229.41860726980462,108.76766803566778,340.1724344593613
2032,289.2075292725557,229.07719957510767,108.6755317967188,340.1765884298606
2033,289.4594861612705,229.59627496801556,108.08664348107527,340.21820810706976
2034,289.72158420734775,230.5238594009658,108.4718598332301,340.29234315877267
2035,289.4432069401035,229.78508385782126,108.55556933227545,340.3004873771028
2036,289.31842295869126,229.41344094087506,108.30545770874734,340.335145929778
2037,289.60850662541446,229.79830309936946,108.09892582186058,340.2995147971034
2038,289.98672178664634,230.98856186148214,107.92314472577026,340.29845176272426
2039,289.5709856963987,230.14652777522915,108.12786800400308,340.253208189204
2040,289.47624254319425,229.50115519544758,107.96795485636677,340.20728343455704
2041,289.5338170591941,229.64156519423997,107.99779337357513,340.16853590610134
2042,289.7918881057991,229.97792640803343,107.54548171163863,340.15793542167876
2043,290.0304515715725,230.79435791832577,107.7708005258463,340.16305359582174
2044,289.78264313194177,230.32080130243276,107.73282068150813,340.1872686564429
2045,289.6126973759029,229.7866170905634,108.05043205867987,340.2564431061049
2046,289.7276312686634,229.6217529942442,107.81914498610057,340.30397828386117
2047,290.0802345601332,230.75188218510417,107.5115986445659,340.35676471793624
2048,290.09253148232796,231.06294163909163,107.69020041166141,340.36289045239255
2049,289.7447122495224,229.91381095731185,108.07636899438172,340.31696348256554
2050,289.836179578365,230.1240309997944,107.40549911829582,340.25344111550936
2051,290.1415097078027,230.77244932041185,107.50401606268561,340.22038857441777
2052,290.04531729600046,230.84852436194686,107.76147604378387,340.1891254762785
2053,289.8303077621888,229.92984993190805,107.79093507908931,340.1674942460616
2054,289.9235799920152,230.04069513443915,107.3547747906998,340.1762572811598
2055,289.9975240404914,230.24456970793554,107.46164196488394,340.21681048506844
2056,290.2114178719598,230.90435406099186,107.47108848958538,340.26508296022143
2057,290.05913602293947,230.30947986973624,107.31000325767381,340.2684680188842
2058,290.22103231620696,230.66347514714695,107.00454948508519,340.27603503681934
2059,290.16380808954426,231.0584542822605,107.5329466254318,340.28223895230167
2060,289.83247301599175,229.89017565358736,107.76257459218279,340.24132981798647
2061,289.94825404867396,229.97527638899257,107.31444396365767,340.2050125444651
2062,290.1869040329944,230.38068655519507,107.24809172627151,340.1765965948019
2063,290.36174373430754,231.2680769267836,107.00427122225271,340.1662906568103
2064,290.12309745340883,230.43974710641518,107.38309103829009,340.16270316514004
2065,289.94978541540223,230.13685744721275,107.53825442225155,340.1752953012996
2066,290.0107623766083,230.011090138059,107.22820756794623,340.22955864965246
2067,290.36605834174367,230.8426792206745,106.66433194588575,340.2789014908108
2068,290.57091426404304,231.6841795475966,106.66068357183752,340.3067648440853
2069,290.32650237149227,230.85212805404822,107.21976651314272,340.2958988252953
2070,290.3747699909109,230.85387971869227,106.92198655209285,340.2652646935348
2071,290.3599127668526,230.7592241827739,107.03636271465642,340.22170144432613
2072,290.46857180494936,230.71214889753227,106.5740686944337,340.20125564731245
2073,290.79967565095126,231.63627755936974,107.14636722666296,340.18493243997756
2074,290.5283236095202,231.3365685386997,107.10417182933122,340.162159104459
2075,290.19440451623535,230.505848683884,106.87405179032625,340.1528129465386
