year,tas,rlut,rsut,rsdt
1850,288.34940374245724,230.11682843647893,108.9556546803451,340.237600937605
1851,288.46654298928513,230.3770538865908,108.26872334562596,340.2274244668918
1852,288.65950060252226,230.66534721702317,109.13644198283379,340.2255898881105
1853,288.3954119110817,230.74225802511762,108.62270817869991,340.2070954542318
1854,288.28899117833197,229.74113248017497,108.94777544080817,340.1798306022066
1855,288.35580036610713,230.0510522964731,108.56696971212268,340.1634590272586
1856,288.36260356228536,230.29377678791798,108.7801320153028,340.1588040497575
1857,288.3992663317814,230.21204735829517,108.484182778511,340.1706915695559
1858,288.48934647320317,230.39080106930248,108.66795545111857,340.2028415156588
1859,288.6284688673881,230.6104833003004,108.40906877820173,340.23031356715603
1860,288.6626203823212,231.0697904503219,108.60168009558441,340.25075682141306
1861,288.391832994161,230.09397467275303,109.36793476823395,340.24623458409394
1862,288.2404880432101,229.80417422637427,109.55287811485856,340.2233177494812
1863,288.30094662839434,229.8107225808752,109.00901256447897,340.20925379625675
1864,288.4721494661273,230.16278604378803,108.41470195494573,340.19509005888676
1865,288.6097370158206,230.70300191063185,108.67251861425586,340.1849701968227
1866,288.42600821430966,230.54592827494534,108.68778857519635,340.17937310808173
1867,288.4039625012344,230.15290916719655,108.84324037396347,340.17101784633707
1868,288.5068206343019,230.47095312009046,108.49381957605173,340.18961193086335
1869,288.67620533035046,230.6633035981398,108.69238267769965,340.2234834140176
1870,288.5408706279555,230.55818708857313,108.83798908054582,340.2256560685074
1871,288.37939399166436,230.1445821907611,108.68800096453377,340.2467845235238
1872,288.3309629152208,230.0712315594,108.80860358502007,340.2349834105799
1873,288.353785113935,230.06425243194613,108.61693523544305,340.2175422636423
1874,288.407417550222,230.34882136103468,108.81020495164917,340.20194777177915
1875,288.5257885252344,230.53783450129256,108.32372017130558,340.1712527552573
1876,288.5501446535955,230.50605184707797,108.63854897852747,340.15780865627363
1877,288.48737860456976,230.63006913963702,108.42985812275407,340.1488371879296
1878,288.41084721813075,230.02819069036318,108.65169257949117,340.1377345964309
1879,288.5086330995446,230.44127239300997,108.6394411151987,340.13988747964373
1880,288.3752426291141,230.0458911061145,109.05889821494539,340.1671551318456
1881,288.4608709702929,230.46904142923208,108.43182694312178,340.20489678662756
1882,288.477921886549,230.36324194011408,108.96786038105229,340.1951839856457
1883,288.52591478658763,230.02285348327305,109.63881965238323,340.19105165903153
1884,288.35525949138975,229.2584471812262,111.59128220969866,340.23580485853114
1885,288.1605236114003,229.60470547034308,109.97207130421657,340.20647251658954
1886,288.1107120227102,229.35598197537595,109.17138011124565,340.17664878869147
1887,288.11305450601975,229.33689773571348,108.89504813205018,340.1566046538335
1888,288.27503604604556,229.80852974250672,108.62488096308941,340.1480291179165
1889,288.4369067229895,230.3050493519722,108.60106760066475,340.1459213707007
1890,288.3839841375676,230.0461503515867,109.13917475746261,340.15269360932865
1891,288.3782386430273,230.10126891417505,108.96840692944438,340.20144990672355
1892,288.55671276458764,230.17032665533728,108.81705881524597,340.2415609988223
1893,288.61351771339383,230.6130965966631,109.31991089999245,340.27472513251234
1894,288.22484028860714,230.01750154818964,109.34598900688462,340.31142494870977
1895,288.11823195188333,229.2617219713925,109.11998732171871,340.27657544494207
1896,288.27915577395055,230.0395010176463,108.68428552742309,340.22476745581605
1897,288.54078919206927,229.9490967163174,108.60751394972168,340.1957402058806
1898,288.7114946303821,230.7955021739128,109.18767455727516,340.1791627634332
1899,288.3928827162034,230.1061501250734,108.91199244080445,340.16230948491227
1900,288.3398614217981,229.75012223052508,109.04365140096758,340.17439432185284
1901,288.4028787058142,229.7082475100652,108.87360057876556,340.13411631492096
1902,288.4853969289965,229.84020305480715,109.3613033428749,340.13863083659766
1903,288.47808651637723,229.5305744595718,110.40779233117128,340.17394118029205
1904,288.6308137418736,230.33587347787787,109.46725721511585,340.23797481200216
1905,288.3987734002363,230.0687089536873,108.84298782364978,340.2091654241035
1906,288.39181269396664,229.89084843786725,108.79828872713868,340.257155325324
1907,288.5327176949547,230.01592292191708,108.6392717015521,340.23025169835336
1908,288.5789698388771,230.29518978534045,108.90968246841453,340.24548193198075
1909,288.49080109621707,230.1336402755703,109.21287867614502,340.2152225045306
1910,288.3895702174664,229.91398237334826,108.9490583096513,340.1900603597979
1911,288.3565016776003,229.6884742455991,109.1004791645089,340.15546234398306
1912,288.51369391913266,229.46895843827016,109.83278890881951,340.14220184690095
1913,288.77316181137746,230.52195804610787,109.84976261753542,340.14517998722357
1914,288.3327388354599,230.01904485442404,109.32054247781686,340.1720101075803
1915,288.2545350156807,229.36366579905697,108.87736066374025,340.248591075933
1916,288.3437694497161,229.8660462205473,108.81746664708584,340.3107382568152
1917,288.50384039360796,229.79206773955818,109.07493081624524,340.35127478295004
1918,288.60632961292475,230.1188103899843,108.88300111472513,340.3587443556667
1919,288.8210572958556,230.34848797040692,108.45734206303551,340.29322956700895
1920,288.8627341491244,230.64956864260407,109.16653695109353,340.23680451321377
1921,288.43262863829847,230.05601494810116,108.92271827659478,340.1989065715904
1922,288.2863451306929,229.34567233964444,109.22970883245513,340.16470549809213
1923,288.5798742843772,229.9983075805906,108.32970653768224,340.1564074654851
1924,288.77393931018025,230.36634350373814,108.81051862872424,340.17177299002054
1925,288.59364829756527,230.0791548647477,109.17821494269567,340.2128287123774
1926,288.4671216263633,229.78530994055302,108.91186002699989,340.26574690962366
1927,288.4917500875268,229.89184529976777,108.8907114314657,340.31231220446665
1928,288.65975272796123,230.47473249395873,108.77127101923323,340.28412487633926
1929,288.4194520683459,229.78415704258052,109.09206961222604,340.2688056943519
1930,288.49891779478133,229.97477499595013,108.50569861793598,340.26663723725807
1931,288.61242305515844,230.08021748457648,108.7999451577174,340.2252555273402
1932,288.81031603733135,230.45150892048002,108.65662253008384,340.1934823514048
1933,288.9649748761096,230.6869564113076,108.43745673783563,340.1796570293413
1934,288.72649894783996,230.4782060610208,108.92540650882013,340.19522711691616
1935,288.52339444930743,230.0125565592914,108.56402930212057,340.24640848837424
1936,288.51927311710796,229.80057714810746,109.2082642416463,340.35703214740596
1937,288.5362688407119,229.67682445291686,109.05603720823409,340.363251408351
1938,288.58958774256183,230.05410676833148,108.74195380696214,340.3451012382005
1939,288.720789214891,230.43335926617056,108.53402846648974,340.3365586776639
1940,288.8662361668284,230.37775980660822,108.5886812233499,340.30245456327265
1941,288.93438272644306,230.61451276058804,109.54465971865893,340.2705415498651
1942,288.67677958225505,230.2168166207838,109.17103435346549,340.2343926960917
1943,288.41028396393773,229.63967742821282,108.77226511309162,340.19846418923424
1944,288.47112875468315,229.48251961327142,109.02535006647629,340.20951086251205
1945,288.676276299627,229.92682706022228,108.72425647720961,340.27654327302326
1946,288.8373858865361,230.245304350648,108.58645074363655,340.3102326111926
1947,288.8441455098121,229.65841210196152,109.87207497094674,340.39751704759806
1948,288.6664833497122,230.23052284324913,108.96827353530108,340.42801808425475
1949,288.5223952537479,229.7373448647137,108.98373448629474,340.3963288042725
1950,288.6091821619295,229.7676780747772,108.87769029935232,340.3329921478404
1951,288.8987636796309,230.45804452286916,109.01834070138426,340.24884789560366
1952,288.97670475977003,230.75917248415055,109.0466672272208,340.24416036574
1953,288.67645986488566,230.20978854879834,109.30051118804018,340.2192631305335
1954,288.48458752856646,229.53238014279543,108.91046188780143,340.21971502787835
1955,288.5080588776805,229.48966028232212,109.32494861988108,340.27186506205214
1956,288.54014285394857,229.58392773687686,109.5471525740298,340.38929315526275
1957,288.55674974381276,229.7474198937564,109.59523204970655,340.49573082895796
1958,288.66054148130667,229.97571963358953,109.61043345129251,340.5081935074112
1959,288.54244674042917,229.95712008512896,109.34665458500001,340.44949606846427
1960,288.49392301726516,229.51403574513404,109.38410572179852,340.40726501432124
1961,288.5888447248421,229.51463745726633,109.47883336430625,340.3146056399498
1962,288.9019129587327,230.2517318596836,109.75329604157498,340.2498841028029
1963,288.42823884140245,228.87061877356578,111.4637424645049,340.2279078006377
1964,288.273164604526,228.33759423526692,110.70067006034431,340.2178093553211
1965,288.35678943478763,228.85878902059952,110.25494657629855,340.2234597484183
1966,288.3787907082858,229.02643090902146,109.9992880540886,340.2720502771313
1967,288.41700301100366,228.97891391144162,109.59116968751555,340.33478743184395
1968,288.5319897748773,229.39038284187333,109.63828584775365,340.36667610577763
1969,288.5654072105662,229.34301748450923,109.33341423609384,340.371049020161
1970,288.5923830419202,229.46919503395057,109.83087693207479,340.3741908021065
1971,288.56847791275874,229.2129282153028,109.47540768680909,340.32177356930566
