year,tas,rlut,rsut,rsdt
2015,289.465544474389,229.4021914908296,109.27690796065885,340.2795731786622
2016,289.3501706390741,229.4289536193523,109.54635747586724,340.209687188334
2017,289.08999789273565,228.68033150765052,109.63895338993888,340.19057836730286
2018,289.1358124196566,228.60692974850727,109.12506619019983,340.1820098371249
2019,289.22904967793966,229.05647074954015,108.94974949819657,340.18124245741706
2020,289.2474657518538,228.9038041265362,109.2805230461005,340.19153133761245
2021,289.40764161749485,229.16083527889904,109.08497007866767,340.26134773578343
2022,289.57893820464415,229.4465816166263,109.43282813786601,340.3380028486652
2023,289.3928877206064,229.56411851741953,109.17687364016273,340.38212434905597
2024,289.3588218698483,229.1660731983085,108.80392678577739,340.3991645339533
2025,289.37311277452005,229.1146549982005,108.99289582183549,340.356645329158
2026,289.3541807296704,229.01128715109905,109.1893957315744,340.3070099286366
2027,289.48987015375843,229.3700020424516,108.6062170674662,340.2608181760916
2028,289.6347274250259,229.48024211920665,109.09526832944012,340.2389300901397
2029,289.6519368332456,229.55322985187547,109.19582552759657,340.2072263439931
2030,289.712958194363,229.57013338951364,108.88530327851187,340.1893839012386
2031,289.47742269372213,229.38335970844943,109.35846620140563,340.1720823666744
2032,289.32410521214194,228.74064814069084,108.75037079170811,340.1762702377977
2033,289.5058977441089,228.71298777691558,108.57407771935902,340.21788468364315
2034,289.64121744376126,229.46107824945057,108.80189683244681,340.29205963000584
2035,289.8070511942961,229.56789514904654,108.6074757872479,340.30014171431895
2036,289.88491037683826,229.91997602409825,108.56890985360569,340.33486063428126
2037,289.6514587560204,229.64505039377252,108.67997153801014,340.2991929609996
2038,289.6221935150822,229.4863949805546,108.55404882145844,340.29812584386195
2039,289.6161547452907,229.32378902423557,108.63550374590618,340.2528969905923
2040,289.6553380999875,229.07612016493064,108.33628077272795,340.2069203711
2041,289.7262612850874,229.22849923742282,108.42840372416686,340.1682159080263
2042,289.76224633641647,229.5102673576696,108.4083342949823,340.1575856072271
2043,289.80455169554426,229.68158515340141,108.17589434428926,340.16269430978787
2044,289.97609765133956,229.81501203392824,108.15597706664704,340.1869589393187
2045,290.0866607214213,230.19113579457655,108.43607258662941,340.2561100291522
2046,289.76279944881503,229.55768257850056,108.353551561978,340.3036357505648
2047,289.70507682992314,229.3059840829491,108.15309371076545,340.3564846752729
2048,289.8496899481958,229.50131036355194,108.32801399959534,340.36255391804536
2049,290.17294579561025,230.37798776701675,108.11173338106778,340.31667996786695
2050,289.9534387385608,229.81814371895953,108.49066908683199,340.2530949871614
2051,289.7263789892624,229.44556026691714,108.08620186120453,340.2200866022939
2052,289.8658596321453,229.18412799417112,108.01535272093533,340.1888189905624
2053,290.10896963138015,229.82857545467314,107.8041895441233,340.1672004420969
2054,290.1700279551329,230.00286769258022,108.32482794162831,340.1759036587511
2055,289.9573060451575,229.81601759969666,108.00726870417718,340.21650414403547
2056,290.037281154107,229.8709750037615,107.45275938414729,340.26474719755043
2057,290.16018519254527,229.89791595720556,107.8322985926668,340.2681708467308
2058,290.30035013203104,230.62943575723875,108.34276326864894,340.27573870342377
2059,289.97171479915846,229.84677594764761,107.70190612951751,340.2819547884867
2060,290.021140031095,229.83376162229607,107.4544870924161,340.2409980007978
2061,290.0817909960362,229.69843407950978,107.59187663172419,340.20466345169376
2062,290.2643604962032,230.12021932988407,107.79377164847152,340.17629909796824
2063,290.3231605715113,230.2929930255908,107.95552986185061,340.16593117665815
2064,290.3934573168539,230.4635950320966,107.67998874884391,340.16238701264723
2065,290.12146386563245,230.18904824012324,107.55576087552974,340.17497158801257
2066,290.215248821363,229.77483634736407,107.16660407424001,340.2291926672275
2067,290.5066639109786,230.29433391649664,107.56202141285037,340.27857515559737
2068,290.7052870769132,230.9417180377799,107.89961969702973,340.306419850258
2069,290.3468389020804,230.7378625102543,107.47734726951886,340.2956063809707
2070,290.30146635079245,230.12739267954487,107.5921528414214,340.2649589097119
2071,290.4536516913593,230.1267890625285,107.39273419200784,340.2213598890648
2072,290.5279207638147,230.45324664371313,107.22302525916888,340.20091939985303
2073,290.5653141226756,230.56373775121403,107.2091252034396,340.1846270579618
2074,290.62039186566915,230.6419276717231,107.34906897482801,340.161799441325
2075,290.6999541902632,230.77940584928544,107.41504261866487,340.15248548420374
2076,290.49311609657667,230.45201607189998,107.29557562451386,340.1432656039225
2077,290.3157520855527,230.03318370704832,107.41354059351325,340.15560668181735
2078,290.372183559508,230.34755681904764,107.16003001347752,340.1898126413085
2079,290.6420562398129,230.51381622699262,107.27884394097312,340.2286672436215
2080,290.78410488217656,231.2129514181396,107.77134599345906,340.25446303074983
2081,290.3246621355814,230.33521345328367,107.49188280064435,340.2557405421946
2082,290.22594247243643,229.90450249197906,107.436113320908,340.25542256915577
2083,290.4582144469267,229.96335967350868,107.01393050512235,340.22801037883283
2084,290.8042887498148,230.835283436261,107.29545670791373,340.2137192625559
