year,tas,rlut,rsut,rsdt
1850,286.6400775604494,238.92168700669936,100.43194344266448,340.2233080011988
1851,286.68257472422016,238.91052137674964,100.88220504731,340.2233080011988
1852,286.873037499741,238.73279986873717,100.97219677260563,340.2392703179717
1853,286.9882004504954,239.09361338866506,101.27461198024668,340.2233080011988
1854,286.8453490583118,239.00343465684935,100.8334641454333,340.2233080011988
1855,286.7765250342327,238.89924019120303,100.83449310800047,340.2233080011988
1856,286.69575355907375,238.83333150794422,100.2661137475078,340.2392703179717
1857,286.7304762835684,238.65637538831996,100.46954848528456,340.2233080011988
1858,286.81515970507763,238.89160755746093,100.17060878569687,340.2233080011988
1859,286.9318143350744,238.74949504494248,100.63175656737975,340.2233080011988
1860,287.02827834579244,238.8155741053497,100.59793454287774,340.2392703179717
1861,287.01790548370633,238.99023046767786,100.73912401371116,340.2233080011988
1862,287.1079311790745,238.79164003956703,100.56855097709776,340.2233080011988
1863,287.20462157195107,239.11214010625406,100.5830329380057,340.2233080011988
1864,287.1395822199375,238.75987057209525,100.72177885336497,340.2392703179717
1865,287.1913695071158,238.964885292775,100.60089686782953,340.2233080011988
1866,287.06436932335015,238.74251854975853,100.29166705234384,340.2233080011988
1867,287.06749286160954,238.79078316984803,100.55943056939726,340.2233080011988
1868,287.19137279019236,238.66029806250853,100.42651357033151,340.2392703179717
1869,287.31511522571515,238.7375970878803,101.15199319210465,340.2233080011988
1870,287.1850056204317,238.82590448413723,101.04449478056547,340.2233080011988
1871,287.0516402334957,238.48065595529292,100.63914762995954,340.2233080011988
1872,287.0197436205365,238.38530625157253,100.68740484886398,340.2392703179717
1873,287.0849679035911,238.603933575861,100.63699767659101,340.2233080011988
1874,287.2421204235739,238.53829519259773,100.66426874067365,340.2233080011988
1875,287.26379165111786,238.30855154977777,101.03163185534942,340.2233080011988
1876,287.35221219151214,238.2606432400519,101.11022605352726,340.2392703179717
1877,287.2675899110641,238.59486713930997,100.79405842340846,340.2233080011988
1878,287.3048763170131,238.4576625212749,100.68537844312459,340.2233080011988
1879,287.11727861352404,238.24633730125436,100.62025102182854,340.2233080011988
1880,287.3310076816894,238.16006456978747,100.72070236891948,340.2392703179717
1881,287.47151624410486,238.48080092739977,100.77430374280038,340.2233080011988
1882,287.5663341175239,238.45026007157756,100.76546789569973,340.2233080011988
1883,287.5291730458314,238.78176439732363,100.52416103018663,340.2233080011988
1884,287.4247271621559,238.63056190215556,100.25359459123409,340.2392703179717
1885,287.42453987498686,238.37058391887277,100.40325152879457,340.2233080011988
1886,287.5299918716484,238.30305095928338,100.3147001702208,340.2233080011988
1887,287.75347398694834,238.51436341247646,100.57274583887364,340.2233080011988
1888,287.66111299084287,238.72210823216153,100.35716521019198,340.2392703179717
1889,287.62566681701713,238.2976524538126,100.34889548498616,340.2233080011988
1890,287.66900418545373,238.46660214488858,100.96352004768056,340.2233080011988
1891,287.49478350216754,238.3504772989577,100.78417435759036,340.2233080011988
1892,287.6166480864114,238.35243474035835,100.07153180429792,340.2392703179717
1893,287.70773927751617,238.34944276825786,100.79732031767594,340.2233080011988
1894,287.6442141305436,238.25106789472798,100.97466895189508,340.2233080011988
1895,287.5717018530492,238.26055229909923,100.57533748371714,340.2233080011988
1896,287.6985258501931,238.31661156811035,100.25720374432898,340.2392703179717
1897,287.69498896189134,237.9915916998713,100.32192070580963,340.2233080011988
1898,287.70662403898,238.2214273453777,100.65531997427598,340.2233080011988
1899,287.74049953497547,237.81517921801472,100.51664845921611,340.2233080011988
1900,288.1115395903054,238.44277195704544,100.49521725373673,340.2233080011988
1901,288.2703445539928,238.6133660410785,100.54357414067975,340.2233080011988
1902,287.98796255805524,238.32093642165842,100.70182274840215,340.2233080011988
1903,288.0111244297894,238.5636501262601,100.1974301222129,340.2233080011988
1904,287.95097037784706,238.21098645053632,100.37343752217515,340.2392703179717
1905,288.03332738822695,238.33186826717352,100.31656698046247,340.2233080011988
1906,288.11245121115525,238.2516005504419,100.46276502262519,340.2233080011988
1907,288.20950047755264,238.27198920699206,100.52174901914579,340.2233080011988
1908,288.08188621257165,238.39633290384458,100.3902099911257,340.2392703179717
1909,288.1275921956785,238.14693679047517,100.17228481701999,340.2233080011988
1910,288.23848130242146,238.34439097211575,100.77167425338304,340.2233080011988
1911,288.303937816256,238.1776103348852,100.65310486695438,340.2233080011988
1912,288.16094716339813,238.3536436595771,100.13642361389405,340.2392703179717
1913,288.1958968651135,238.30101944634873,99.9752993980938,340.2233080011988
1914,288.269045809528,238.32779387336566,100.16478080470968,340.2233080011988
1915,288.33219757687186,237.94138538450125,100.17119682506677,340.2233080011988
1916,288.5811001099467,238.23932660205568,100.586852989627,340.2392703179717
1917,288.7630713865995,238.60018900785178,100.93310621988172,340.2233080011988
1918,288.300749458746,238.1402561062937,100.65495995017238,340.2233080011988
1919,288.2254396666402,238.01397124303648,100.0069503678814,340.2233080011988
