year,tas,rlut,rsut,rsdt
2015,287.9388237213924,237.84543629359325,101.54071793522121,340.29969584646136
2016,287.9084980232101,238.04420820195682,101.8068709736725,340.25658474454093
2017,287.6560483608777,237.6747960885376,101.13538486193151,340.2076017628631
2018,287.5994449104181,237.41349334304348,100.71156155178524,340.1966805473166
2019,287.7964314281023,237.69662555284665,101.17373717851758,340.19386452564373
2020,288.0204604096935,237.9441335332767,101.47219809911775,340.2382636157195
2021,287.86811020147434,237.68875761934282,101.30457567800282,340.27380925050915
2022,287.87927572445375,237.6800243486912,100.88597117828552,340.35336931893795
2023,288.15780874941737,237.99462681984278,101.31984068923892,340.40301910954554
2024,288.2086523845316,238.16726546670915,101.29912865100961,340.4476987770652
2025,288.02838828557043,238.10243257227117,101.1612397147892,340.373815429233
2026,287.89459612829825,237.57131504823272,101.387049055371,340.32440396629045
2027,288.05912924268864,237.57210114637974,100.93739747484257,340.2766301963336
2028,288.02506435809397,237.7009015771181,101.05672051586332,340.28903891614044
2029,288.0912741334983,237.8513082102899,101.11113062907127,340.22132432900474
2030,288.131777738641,237.6387259816097,101.02372629554704,340.2018430464679
2031,288.0298635672239,237.688862758165,101.04659462407811,340.1877574125809
2032,288.08904077650794,237.67526076271625,100.77293869311232,340.22009580419945
2033,288.2615150107925,237.7622843198558,101.03399374802723,340.2316713995886
2034,288.2727844617934,237.54791265783032,101.65054097538899,340.30979652563224
2035,288.21504733833257,237.89362369305846,100.98061564654552,340.3160880092556
2036,288.15201767642947,237.1906627358044,101.2867047619136,340.3856447504907
2037,288.38331546970323,238.0174032883945,101.13608189145025,340.31426453233615
2038,288.16165657367077,237.7072525102005,101.26215705485505,340.3127648550267
2039,288.1845653061743,237.55182398976922,100.62036972187674,340.27256792553607
2040,288.2076131170207,237.32063879728273,100.62995703598337,340.2539175867214
2041,288.44288067326744,237.5309172584222,100.87910027334355,340.183505092796
2042,288.45425688766596,237.55475177803805,100.89215659216329,340.1724954410092
2043,288.58432461368596,237.372726344125,100.94514819157204,340.1743965212098
2044,288.74861789402314,237.63336970631872,101.22776433737711,340.233327811716
2045,288.78280318083677,237.56907107123553,101.48797672648861,340.269305216811
2046,288.51116323389857,237.69980294525968,100.65932372000869,340.31843673521684
2047,288.45054059996784,237.39200010403945,100.79971895603312,340.3771658184217
2048,288.63677465861673,237.43723761206573,100.51068776727031,340.41007607077296
2049,288.70046920670853,237.739293439036,100.82043907210709,340.3331197075001
2050,288.6380152818227,237.2588854474042,100.88663771510714,340.26980547475193
2051,288.93108225818327,237.3870034483266,100.8871822532203,340.2361364778158
2052,288.91206270443234,237.5253656707791,100.85372255157255,340.2382252587285
2053,288.8997263002343,237.42580744734138,100.86067578717793,340.1812742019993
2054,288.96036345025385,237.51784501374323,100.81088159690785,340.1885602504586
2055,288.9712344932589,237.4140440839327,100.70186741860664,340.23214421241863
2056,289.01262994185635,237.6408507980068,100.74736287930187,340.30997698028176
2057,289.08975062039383,237.24530466763713,100.94657667760436,340.28290754105757
2058,288.98117230126235,237.5844499467385,100.64362921506739,340.2930937485583
2059,288.9344225621557,237.1081782352563,100.49654837787794,340.29805056425346
2060,289.1615806162654,237.43795238937636,100.30138725035964,340.2893182276947
2061,289.26978031937614,237.23470465741477,100.63376373923226,340.2185426927073
2062,289.4404275210703,237.44177872340404,101.11559655786988,340.19017882062434
2063,289.40986785730973,237.521512718134,100.42309430708845,340.18388643248636
2064,289.3035133849129,237.31179888184224,100.9887477230913,340.20977538236133
2065,289.1960552747939,237.08828730635378,100.5708548596805,340.1890338822781
2066,289.35110766836425,237.04851762789187,100.45579541124773,340.2449693850183
2067,289.4867002659208,237.42860032553946,100.5564679309371,340.29196921000397
2068,289.6108104239523,237.50330452778294,100.63979123695567,340.35412821871705
2069,289.4828439078887,237.37387799968363,100.60240629874345,340.31046086158284
2070,289.58374866456967,237.40598137859058,99.87206650722895,340.28000610669415
2071,289.6368545827739,237.13421588261815,100.4591811115276,340.23988400933393
2072,289.85730844018343,237.34667054441505,100.50578242988047,340.24732106690254
2073,289.87126075612383,237.4537107521825,100.70240632623073,340.1991604572816
2074,289.8256169744115,237.30133184002304,100.15205375859212,340.1779437611138
2075,289.85838579810905,237.4348795462386,100.34489740909913,340.1673514474985
2076,289.87215589436823,237.2428301511022,100.42667703380927,340.19129252274746
2077,289.94990852717825,237.22962678755957,100.06229259425821,340.16860443304506
2078,289.98104871464074,237.39552538121507,100.15204955595605,340.2021358510143
2079,290.0326157007713,237.491438314054,99.99205781500046,340.24444665490336
2080,290.01698537479064,237.5859070260667,99.71121500193429,340.2995085705581
2081,290.06566983683473,237.24096583336663,99.77426843971223,340.2714117936543
2082,290.24757636362415,236.99229050246754,100.45842711165669,340.2725387495869
2083,290.4608963851548,237.6095348275401,100.37445119996958,340.24426902730994
2084,290.24801978053785,237.48160607975072,100.3604883477691,340.26164607785967
2085,290.2901827583917,237.18545725401984,100.04979994141182,340.18591975994394
2086,290.39362573472596,237.23736933449823,100.25491263566691,340.16381472183167
2087,290.29920707593664,237.435939483282,99.92858465860392,340.1649396183768
2088,290.2782075835668,237.11321187075762,99.68794655011747,340.1977966896456
2089,290.70888386312265,237.14683682412897,99.90756114316952,340.19769639733806
2090,290.8853388540918,237.55760329311696,100.56289548976314,340.25208743978277
2091,290.75689587465484,237.62354182784654,100.17939852917048,340.28868907718567
2092,290.5226525441732,237.31967362471084,99.4238903234733,340.37442895051885
2093,290.66974963577013,237.4166554757484,99.84039372251634,340.3202965979072
2094,290.72641295754573,237.47985778314663,99.89684624699719,340.2792135389066
2095,290.7468910595904,237.15651507595928,99.8366805912163,340.24554536830357
2096,291.0210252174352,237.46027416673599,99.68623108322737,340.23548681035544
2097,291.177658941891,237.71800294529655,99.820936958424,340.18978570547677
2098,291.0438314812338,237.62458396329998,99.75738312719803,340.1797076963551
2099,291.0652610036673,237.43934407078152,99.56689056690833,340.1976639964261
