,tas,rlut,rsut,rsdt
0,286.79055278032007,,,
1,286.6360269876157,,,
2,286.5813269946215,,,
3,286.6011230215432,,,
4,286.4463472192099,,,
5,286.44632074160756,,,
6,286.5645321693681,,,
7,286.6092579341055,,,
8,286.6153050741495,,,
9,286.5673232746171,,,
10,286.7098721465233,,,
11,286.4545037464837,,,
12,286.4450191718626,,,
13,286.4439030391081,,,
14,286.3584677845875,,,
15,286.3400389074278,,,
16,286.3930314150377,,,
17,286.4854749107439,,,
18,286.4527624731612,,,
19,286.324061919603,,,
20,286.439827215718,,,
21,286.3747006297871,,,
22,286.496185881086,,,
23,286.5141459187758,,,
24,286.4657441340931,,,
25,286.3848634904089,,,
26,286.3978010234601,,,
27,286.4317422222344,,,
28,286.54066961739863,,,
29,286.65783997750196,,,
30,286.60519985681526,,,
31,286.4426175797624,,,
32,286.43729983141935,,,
33,286.3146716874318,,,
34,286.1032080763139,,,
35,286.1163837333564,,,
36,286.13391271039467,,,
37,286.20411567996354,,,
38,286.2457800094047,,,
39,286.54843620465533,,,
40,286.48977092379863,,,
41,286.4107032849088,,,
42,286.33108897131206,,,
43,286.5134823763861,,,
44,286.4640562669308,,,
45,286.3859434157196,,,
46,286.4074310486965,,,
47,286.3678130415266,,,
48,286.4752768148712,,,
49,286.34914812327526,,,
50,286.504340737998,,,
51,286.4762188821842,,,
52,286.4610465639687,,,
53,286.2975622393432,,,
54,286.1792175257422,,,
55,286.2737959308757,,,
56,286.4493430459307,,,
57,286.42342058134676,,,
58,286.30476894583336,,,
59,286.2670187561651,,,
60,286.462642452579,,,
61,286.4854658452204,,,
62,286.4975806559664,,,
63,286.3730733690207,,,
64,286.39593787246946,,,
65,286.4625312089695,,,
66,286.3749748672957,,,
67,286.5133253238475,,,
68,286.6102491580231,,,
69,286.6021867444179,,,
70,286.59669126452127,,,
71,286.6015482612632,,,
72,286.53305093782893,,,
73,286.53172352204564,,,
74,286.69665123143426,,,
75,286.7875503573812,,,
76,286.6922522628867,,,
77,286.5544076177473,,,
78,286.31014180232285,,,
79,286.53095109646495,,,
80,286.59928682944366,,,
81,286.5636102341759,,,
82,286.58266529868047,,,
83,286.705883233203,,,
84,286.6930954279823,,,
85,286.3693035708197,,,
86,286.237659508877,,,
87,286.39804380717993,,,
88,286.5288374157498,,,
89,286.48022692858024,,,
90,286.2930929846282,,,
91,286.33132182234425,,,
92,286.6820186251044,,,
93,286.6053469802966,,,
94,286.39633948896375,,,
95,286.3820311377024,,,
96,286.31875803452414,,,
97,286.3312238408518,,,
98,286.3201345430927,,,
99,286.3773121604202,,,
100,286.6158656996918,,,
101,286.45145495627185,,,
102,286.42310485736544,,,
103,286.41398484141115,,,
104,286.45393773405743,,,
105,286.4997157714185,,,
106,286.43232970468495,,,
107,286.63381256276324,,,
108,286.3844102966072,,,
109,286.3600580187378,,,
110,286.6442221769323,,,
111,286.57531035608207,,,
112,286.44804188242273,,,
113,286.3312870098907,,,
114,286.25332543101956,,,
115,286.1676234490338,,,
116,286.345645288688,,,
117,286.3618213674434,,,
118,286.3304998060659,,,
119,286.439616632705,,,
120,286.36052850482315,,,
121,286.40425753753163,,,
122,286.49517386700285,,,
123,286.3828584444353,,,
124,286.39494282235177,,,
125,286.39857143162317,,,
126,286.46810841471,,,
127,286.3320514101738,,,
128,286.1966015352791,,,
129,286.33954173835394,,,
130,286.6040819744575,,,
131,286.5199904365564,,,
132,286.4034288524393,,,
133,286.41967157818203,,,
134,286.5945003250295,,,
135,286.36572410046455,,,
136,286.4116914113432,,,
137,286.60087577023637,,,
138,286.66117795291126,,,
139,286.61255916655097,,,
140,286.84197432762465,,,
141,286.8530245128601,,,
142,286.41230149761066,,,
143,286.37535704246864,,,
144,286.61950099083145,,,
145,286.72724775009004,,,
146,286.7960666025432,,,
147,286.93382417685194,,,
148,286.8886681151598,,,
149,286.9070058354609,,,
150,286.96401611430775,,,
151,287.1249488834232,,,
152,287.098526501246,,,
153,287.0575485312917,,,
154,287.18162087540696,,,
155,287.2067583927665,,,
156,287.18713915261884,,,
157,287.1994554659347,,,
158,287.3431463259256,,,
159,287.4804073289776,,,
160,287.44103351621993,,,
161,287.4236110079565,,,
162,287.5954892522025,,,
163,287.6175671341377,,,
164,287.7026031938882,,,
