year,tas,rlut,rsut,rsdt
1850,286.97707742184394,240.85947064888498,97.08783236591165,340.2353196440971
1851,286.99048482069793,240.81457059278452,96.93560119504514,340.22717787154164
1852,286.8728528577746,240.682376179249,97.04052155660953,340.2226574452115
1853,286.78980744822644,240.50334746849026,96.6294393424436,340.204704957695
1854,286.89660776850593,240.34052959972027,96.40319187331875,340.1800651427924
1855,287.1532420411549,240.8665861681958,96.10789408416197,340.16377195143235
1856,287.3122658870853,241.50618793299154,96.43549617189383,340.1596831234911
1857,287.3318198044108,241.6017425781433,96.81147474170332,340.17200538895474
1858,287.1258452936583,241.10153126608262,96.90420557916276,340.2011839620882
1859,287.09031311950406,240.91287272778595,96.5765603551677,340.22784721465877
1860,287.01535845750095,240.74713414092324,96.92331696876778,340.24594392312747
1861,287.30741193261423,240.99459057178925,96.75953126617038,340.2426597061963
1862,287.36129355901795,241.56539041928556,97.84588016686887,340.2230593405401
1863,286.93763778253617,240.67846795289157,97.10533851186322,340.208147424395
1864,286.99089556758116,240.52647101351542,96.32553147367156,340.19478133189745
1865,287.04687211343577,240.5657826479118,96.55734772644075,340.18422782497987
1866,287.1346909199926,241.1197454328859,96.30005691985063,340.1776351384068
1867,287.21274854293387,241.29755999131206,96.40780528767658,340.1730582979341
1868,287.17993693315765,241.18845382698123,96.82797747952058,340.1903675516655
1869,287.1130667528293,240.94200130237368,96.27682166560514,340.21837451768863
1870,287.100828119896,240.85949858503946,97.00298419540098,340.2267122698518
1871,287.4422507902266,241.6263079988097,96.29276419896007,340.24136590202914
1872,287.4892817261497,241.94246111447924,96.22338676233818,340.23332243696535
1873,287.3531604983146,241.4811287092607,96.85212853310459,340.2165259597107
1874,287.27158447897926,241.1868891868123,96.2074406278337,340.1985272139474
1875,287.32606170198966,241.24353757985105,96.02719243642804,340.17231345068905
1876,287.3278993815832,241.4402600282783,96.0612976504346,340.1571609294381
1877,287.37728975890064,241.54034190382524,96.48011175512022,340.14733720299046
1878,287.3562334411329,241.40994391140222,96.31403460517699,340.13812180597444
1879,287.44650990608534,241.60719944119896,96.51178740878406,340.1419723518192
1880,287.30406446897683,241.3042900141038,96.64062596501536,340.1670975499805
1881,287.43435587233665,241.5852873928517,96.06649935033806,340.1973458123202
1882,287.5159103288517,241.92110045797799,96.2450572180323,340.1950484211903
1883,287.4273865149803,241.1672135430522,98.52229019255408,340.1953967401336
1884,286.86270526416956,239.37849017966218,100.11873719422589,340.2248543051826
1885,286.9626203306949,240.07872644117677,97.49516182486587,340.20539405170297
1886,287.02920588178296,240.5573893494807,96.83263570354545,340.17618636986225
1887,287.1988715810566,240.8325824145161,96.33010042244915,340.15653658317666
1888,287.4772066507466,241.5747285223284,96.54137405170121,340.1479154217872
1889,287.5451073770693,242.00258806698025,96.92812742423416,340.1457569833347
1890,287.100695667387,240.68777072584615,97.40036507739536,340.1567547183682
1891,286.8855042239176,240.18440155083056,97.26963028663222,340.19933698030707
1892,286.96922055682563,240.15746608909342,96.85234809140103,340.23947521348504
1893,287.1813107370751,240.71321808113873,96.54874790031425,340.2732366733099
1894,287.3638112399965,241.0680420361622,96.38365898144343,340.3015520225732
1895,287.5906244616436,241.9151746557197,96.15534124923117,340.2730479359037
1896,287.7238715585476,242.23415412645474,96.60668560004949,340.2271374168166
1897,287.5807761014476,241.61252484285023,96.15596882728653,340.1954030978145
1898,287.3204711297638,241.07681675352876,96.3096068540118,340.17806128851714
1899,287.4022125893295,241.30197186923567,96.04261067059991,340.16177680131415
1900,287.28843467193985,241.02827432737277,96.75550591957352,340.1495394637234
1901,287.5348319228631,241.47258827500096,95.76307742627347,340.135642079682
1902,287.7127031019882,241.70645126961503,96.66654814946558,340.1411211419276
1903,287.5560386944874,241.4635231362182,97.58787998505852,340.17649551596725
1904,287.4286464056058,241.21595817883806,96.86353508175068,340.2251984697737
1905,287.5271966665738,241.54099830358157,96.01704015741905,340.2174485666136
1906,287.61997919379456,241.78206472367643,96.34709373986828,340.24600919198014
1907,287.45432755520534,241.42672792699068,96.51695076068017,340.2340389464784
1908,287.47219887508055,241.44715226595963,96.34607785570275,340.2392535489825
1909,287.5154445945822,241.42125299671332,96.44416112216611,340.21404465414105
1910,287.4030018404947,240.96339445214733,96.9477989132749,340.18758002050544
1911,287.6540990978452,241.87260685420574,96.10699673174587,340.15685462393566
1912,287.52814190032376,241.3302134923292,97.47999944616977,340.1428670775434
1913,287.23240805654007,240.6835860885303,97.2495953815702,340.1468481029492
1914,287.3491265748516,240.92336984753152,96.33399290199385,340.17684047990025
1915,287.5201849210889,241.32300275405763,96.25863439049373,340.2453799385688
1916,287.62196759315935,241.6332791842534,96.02730210087809,340.3067191634861
1917,287.69571627573106,241.97147270706208,96.40937370116704,340.34550097494895
1918,287.60016959334445,241.63891700731506,96.61000785647049,340.34869429546404
1919,287.58496018925075,241.54158612522227,95.98136844471234,340.294080931654
1920,287.46225125420557,241.3065481764297,96.68570701530724,340.2371076743059
1921,287.5821360798237,241.44571106392735,95.98115898047998,340.19763840262164
1922,287.69966687093955,241.80620916407338,96.49343325161938,340.16661134071643
1923,287.57064419860393,241.5399391451813,96.41156582052598,340.1584253707636
1924,287.54771245558794,241.42858741242912,95.99399278030376,340.1737228818185
1925,287.6481805831043,241.39771898493075,96.15556398834269,340.2132390023027
1926,287.74083339092357,241.8824868217532,96.27088407570137,340.2650998399702
1927,287.7908371391805,241.83099486748975,96.43955683077506,340.3024062436043
1928,287.6460444822133,241.54948777285472,96.36319175307854,340.2835297557305
1929,287.5252036038425,241.251905334203,96.59802839668457,340.268579800151
1930,287.4028850683842,240.84561349150115,96.9797638587494,340.26189146355404
1931,287.45025065693727,241.11737208656385,96.39616530621292,340.2252519407898
1932,287.49150319835445,241.23553039849534,96.7226383680635,340.1943579171395
1933,287.53790258841804,241.37211759737121,96.29364290706654,340.18213163562615
1934,287.5116168712708,241.26137550604776,96.27705625455603,340.19841049383894
1935,287.54641666883884,241.31280087723658,96.2956525900507,340.2528956716966
1936,287.559437763507,241.25647496115417,96.34456686949672,340.34341226424755
1937,287.6539345504995,241.47232560318005,96.1908660851485,340.35913633132486
1938,287.81709366302385,241.897746835457,96.12177988721142,340.3438970463567
1939,287.805668722603,242.06776652911708,96.4586622722234,340.3327231054853
1940,287.5967383645519,241.47919394744858,96.94234992107336,340.3003669078161
1941,287.5105880073775,241.22697478546374,96.36864408702833,340.2683242782992
1942,287.58200222291606,241.29484101149458,96.09696834281418,340.232941538846
1943,287.6873752600987,241.62080745519748,96.46158079019433,340.2028370896014
1944,287.6127838538138,241.41981541827818,96.4759118606807,340.21512438129105
1945,287.48407073182915,241.18231432881012,96.46428612669594,340.27152621968474
1946,287.5454334861504,241.0676928804576,96.17515557286191,340.3146869168028
1947,287.6036924448038,241.37364237220083,96.31722678233153,340.38835464633524
1948,287.59070297120184,241.46064089090257,96.53966565316723,340.418678421384
1949,287.5510395132689,241.2100888467629,96.44673002600119,340.39165809012115
1950,287.5161437771934,240.9813142541068,97.11053567037794,340.32912708261455
1951,287.56810918958166,241.24019371314634,96.85401236937196,340.2566080050345
1952,287.62698526527385,241.3454984785369,96.34124374297943,340.2401704482086
1953,287.7315779373354,241.6490073851712,96.36240478168837,340.22106308180395
1954,287.83887854862377,241.8220086541015,96.59296075176091,340.2248996851152
1955,287.7722203547757,241.37353297658527,96.35509123764689,340.27893501470425
1956,287.66186318393443,241.2458405788168,96.64398074218678,340.3852308258751
1957,287.6415528865963,241.3334403534424,96.87684803516157,340.48246794800235
