year,tas,rlut,rsut,rsdt
1850,285.9188023397367,238.05415950409352,101.20053280347014,340.4459916624304
1851,285.7231870886398,237.86032280072777,100.93202468663047,340.4459919132598
1852,285.8668180371894,237.8331007410268,101.1253883278435,340.47717110055396
1853,285.9641432670698,238.04097081014552,101.37288866435011,340.44599768233627
1854,285.91965808607125,237.91840694897795,101.17639057734242,340.4459916624304
1855,286.02618358037245,238.00270607308167,101.01223357736247,340.4459919132598
1856,285.9161648776362,238.163415418948,101.02591480192591,340.47717110055396
1857,285.88829328981166,237.95652273517769,100.68219198984643,340.44599768233627
1858,285.8693502347764,237.90717890491223,100.95932736331469,340.4459916624304
1859,285.9458221017498,238.28733566493204,101.01438293457032,340.4459919132598
1860,285.8582912924511,237.9494000627695,100.94762224708099,340.47717110055396
1861,286.0323265598245,238.199637384284,100.79069236859884,340.44599768233627
1862,286.04920788072565,238.48107370873015,100.70776977539062,340.4459916624304
1863,285.92140118324596,238.06871697412774,100.55365640300595,340.4459919132598
1864,285.9891458313321,238.12697372019613,100.81682421991734,340.47717110055396
1865,286.04778668129285,238.23452533042595,100.67102067503212,340.44599768233627
1866,285.8663297470302,237.83269962676584,100.66510191616948,340.4459916624304
1867,286.02577096599424,237.99017618257707,100.8933732542273,340.4459919132598
1868,285.9384277010225,238.11099476631875,101.13762989982229,340.47717110055396
1869,285.86705221933863,237.95938465693226,100.74853001424712,340.44599768233627
1870,285.98189396270334,237.8416564941406,100.88121093331951,340.4459916624304
1871,286.19549769571387,238.4798112007037,100.80455529199885,340.4459919132598
1872,286.0946516026564,238.23448789836277,100.71804111251413,340.47717110055396
1873,286.06390564800944,238.1557336676611,100.7671117495184,340.44599768233627
1874,286.1879121127194,238.33044446135224,100.67075874642148,340.4459916624304
1875,286.13691690523336,238.32930352197937,100.76856766792194,340.4459919132598
1876,286.21982653675184,238.3188116771927,100.59664385436014,340.47717110055396
1877,286.23042627622004,238.42534802580533,100.49367646517821,340.44599768233627
1878,286.1541140203606,238.24541621796072,100.46017284654592,340.4459916624304
1879,286.1612995304473,238.25469251658816,100.71266264196946,340.4459919132598
1880,286.05494815013446,238.23361281097914,100.81133999850579,340.47717110055396
1881,286.10525220061,238.3634167396859,100.6364053177507,340.44599768233627
1882,286.11259656932253,238.23045018862376,100.56500306847978,340.4459916624304
1883,286.28905773424117,238.30739415835023,100.62787400337116,340.4459919132598
1884,286.2298680706754,238.27203773540228,100.83396146597107,340.47717110055396
1885,286.12059585362266,238.22511036494006,100.60036405798508,340.44599768233627
1886,286.12118538634417,238.2231336619756,100.51958906617882,340.4459916624304
1887,286.1110022975974,238.26325963686588,100.72035800463533,340.4459919132598
1888,286.19047237875685,238.1974347224001,100.58249151511272,340.47717110055396
1889,286.121538721372,238.16856392638326,100.6129421286387,340.44599768233627
1890,286.1923095703125,238.15487311376285,100.55853549486972,340.4459916624304
1891,286.2223390344071,238.17653403086203,100.96077337395656,340.4459919132598
1892,286.27856903909986,238.4461280947826,100.73727704657885,340.47717110055396
1893,286.20749754187176,238.3072315790882,100.65794426904966,340.44599768233627
1894,286.28500424737797,238.66828596559287,100.53219562687286,340.4459916624304
1895,286.2276143949326,238.16632100980576,100.76665538631073,340.4459919132598
1896,286.18784061285965,238.2011808384963,100.64081141987783,340.47717110055396
1897,286.4499137146832,238.7171907607823,100.50005359388378,340.44599768233627
1898,286.23745209158284,238.17121155621257,100.40471114067184,340.4459916624304
1899,286.157172216128,238.3391816857743,100.70968707358999,340.4459919132598
1900,286.28144811411374,238.29863288754322,100.80824675846618,340.48278583464077
1901,286.3806133949593,238.37311978274826,100.47859862863201,340.44599768233627
1902,286.35588211686644,238.41069285771619,100.44555220930543,340.4459916624304
