year,tas,rlut,rsut,rsdt
1850,286.40017048038845,239.01110710248554,99.79085753976483,340.4459916624304
1851,286.44658069349316,238.96594309349584,99.57348158326869,340.4459919132598
1852,286.7163802183391,239.41576627303994,99.64618530690342,340.47717110055396
1853,286.63211335482663,239.2277375939774,99.42576695272366,340.44599768233627
1854,286.5496632197132,239.09705643327274,99.76329427222684,340.4459916624304
1855,286.6582338934075,239.13824772246895,99.66601340934021,340.4459919132598
1856,286.6726470280215,239.13284972977772,99.45539138877326,340.47717110055396
1857,286.5671579021297,238.93278883842572,99.6240328645053,340.44599768233627
1858,286.781055105549,239.3035834325503,99.52104398126471,340.4459916624304
1859,286.78852447091714,239.32611945165343,99.29368269410851,340.4459919132598
1860,286.7304113836237,239.05315061475412,99.4746715358046,340.47717110055396
1861,286.78621015156784,239.34185034346902,99.48618613465193,340.44599768233627
1862,286.7578721973994,239.12285595201467,99.3733817949687,340.4459916624304
1863,286.8600047490368,239.08792461238497,99.54240473917086,340.4459919132598
1864,286.8803009700254,239.1553957579566,99.5738376763349,340.47717110055396
1865,286.76591671460295,238.99623546861622,99.35963513099983,340.44599768233627
1866,286.83817899521085,239.0580142504548,99.23187253769129,340.4459916624304
1867,286.86690740715966,239.0161103967118,99.25664390668476,340.4459919132598
1868,286.940657652141,239.12946127802945,99.54219918172868,340.47717110055396
1869,287.0177667487157,239.21964094606165,99.23308791069134,340.44599768233627
1870,287.08719273397367,239.37962621401434,99.33074620913152,340.4459916624304
1871,286.9249064406303,238.9328732843268,98.97574327024695,340.4459919132598
1872,287.19952300858625,239.24662322164235,98.8628456866155,340.47717110055396
1873,287.25837343816886,239.5003097325155,99.24003601074219,340.44599768233627
1874,287.17882807483414,239.2482454900872,99.1421437929754,340.4459916624304
1875,287.1422971124519,239.07459411621096,99.05622052754443,340.4459919132598
1876,287.3785216117817,239.7994055409249,99.08678544675065,340.47717110055396
1877,287.180702690229,239.07642600699646,98.82434429011933,340.44599768233627
1878,287.3332375722389,239.0919104171126,98.937806973392,340.4459916624304
1879,287.4186717412243,239.5121761374278,99.0451931470061,340.4459919132598
1880,287.5082464166026,239.32179231070427,98.7768787738404,340.47717110055396
1881,287.6107228736355,239.5825338703312,99.00622853318305,340.44599768233627
1882,287.3099534962276,239.20686975766534,98.99776414845087,340.4459916624304
1883,287.35761961218424,239.19576645942584,98.77527012237131,340.4459919132598
1884,287.5371739121734,239.58542207811703,98.91057455344277,340.47717110055396
