year,tas,rlut,rsut,rsdt
2015,288.1655761900628,240.09935156822223,99.23839550651616,340.2693889018404
2016,288.2491663544934,240.08074662097002,98.5140308872747,340.1926652707977
2017,288.5032248388372,240.28185373438384,98.69654927963738,340.17232797099564
2018,288.5718176972054,240.25581054245922,98.80533896616716,340.15969888620003
2019,288.3466160424819,240.15235624641386,98.83800763712543,340.1602148234026
2020,288.35913108376116,239.8494998077756,98.47252209095767,340.1688343729359
2021,288.60560965680367,240.30873776976955,98.21919785387031,340.23094342744594
2022,288.7406613720827,240.57184986104104,98.15485468993974,340.30784147228036
2023,288.7281211673565,240.49080501399564,98.60266457618042,340.36160227798354
2024,288.66169195103333,240.5897274656102,98.33253502776961,340.37365909739634
2025,288.750473313104,240.5659963403991,97.91979588789587,340.334208370732
2026,288.90675200958214,240.87630652968912,98.13202344873822,340.2909334984735
2027,288.8703355474626,240.53076181390475,98.22804790363126,340.24521745590033
2028,288.77011551696273,240.3422005492301,98.41846483586157,340.2141491470997
2029,288.7959400987804,240.17384923061888,98.33877894581777,340.19081904054417
2030,288.944517261238,240.41484037224885,98.28803172489756,340.1710733827621
2031,289.08490242530945,240.5406873421416,98.1839211311325,340.15232452606233
2032,288.9999498011911,240.7379637610375,98.13599278570449,340.1546497820722
2033,289.05026349937833,240.62826559640357,97.93868290115036,340.18909302674217
2034,289.1432950715977,240.88503160295576,98.19637132339619,340.26557535022715
2035,289.0420602641269,240.61390860531165,98.20932469639651,340.2740858955111
2036,289.0537670715398,240.5702640075598,97.9572734587905,340.3189871414287
2037,289.1684656969344,240.90339897213343,97.83192944614933,340.27589527524606
2038,289.12159889472497,240.68347277095236,98.16984992569792,340.2744216303367
2039,289.28375717700396,240.72867062545325,97.57495781777686,340.2356069660895
2040,289.36683388331056,240.9190045894418,97.82374554219753,340.1904700930913
2041,289.3874646734427,240.86232732255425,97.76671463774456,340.1508041469936
2042,289.4148393883943,240.95440262719686,97.39772632385365,340.13771846002527
2043,289.3999390051343,241.00557798865756,97.8858997409287,340.14161613531024
2044,289.29977541239936,240.63394437840023,97.96299600417733,340.1620279898219
2045,289.4869219371048,241.10338039204967,97.1338749951913,340.2279226912181
2046,289.67669640984707,241.2886234436526,97.4667652095607,340.2782640181336
2047,289.67114214295094,241.39416953568295,97.25955250504698,340.33347360146405
2048,289.5029233684501,241.10162254025695,97.70108890722251,340.33996499766477
2049,289.55830330425516,240.9724317967914,97.27984775881106,340.29583492095554
2050,289.8123515662764,241.40266356453913,97.50576118460718,340.2363315218788
2051,289.6805810436366,241.0686281762623,97.27368742871192,340.20425999827916
2052,289.6779621757274,241.13014621343197,97.21460383693517,340.171106236748
2053,289.77914081845654,241.16928031754196,97.20999494121274,340.1460007671189
2054,289.7765042609864,241.17074318546614,97.34187022648756,340.15208955954046
2055,289.98389282625436,241.60125192009113,96.80803947567021,340.193087170278
2056,289.97663358760497,241.55757069961234,97.0650023875715,340.2409220228611
2057,290.0439745374122,241.46467195190215,96.71732833778337,340.2447095813124
2058,290.17170998403145,241.6809667690275,96.96946419900388,340.2519448028019
2059,290.1185781812602,241.6900488968469,96.80803647258072,340.26332425885295
2060,289.99148743765807,241.35638154969914,97.06677760789519,340.2264692699778
2061,290.2042085659393,241.65756334528683,96.64152304713843,340.18331014790743
2062,290.3373859788532,241.93509386952087,96.91934519911308,340.15723703313137
2063,290.13502034076265,241.56505800730153,96.77703083881532,340.1461484947777
2064,290.251221367229,241.84648838288828,96.70532388151378,340.14292790251426
2065,290.3357790478676,241.79441377860522,96.44111030765545,340.15136671454917
2066,290.5666681950945,241.97688610915745,96.66319297890237,340.20184897451935
2067,290.44276294120544,241.78142702334995,97.03609650916856,340.2536132359032
2068,290.31798896837853,241.9405590345311,96.81790169066623,340.2828381020343
2069,290.3676365247723,241.65834001688725,96.51015129087138,340.2765853015784
2070,290.5302205813643,241.99417500605122,96.48325501394254,340.2443964905511
2071,290.4607913451569,241.99123613313392,96.74529012703367,340.20109860130555
2072,290.4036082011581,241.77809814793912,96.62886770650199,340.1859110327291
2073,290.55680776670056,241.72738523992643,96.771541770449,340.16549884189016
2074,290.56400399856125,242.1211834193681,96.60218436301217,340.1422102267306
2075,290.51939511074636,242.18245604316962,96.42841873244697,340.1330731307467
2076,290.3577523829213,241.7787071124559,96.54372221886337,340.12388644307555
2077,290.66635937674283,241.9647073057392,96.22975126863436,340.1329330958477
2078,290.68402290737373,242.0872835162352,96.91183270039461,340.1649894766119
2079,290.5773424219939,242.0632693471795,96.61645315699946,340.20581423196774
2080,290.54795974908706,241.83615469150962,96.60209885728743,340.2317185784475
2081,290.57762503169306,242.13291699303673,96.27675239692284,340.22998158497154
2082,290.67835962859806,242.2503138102533,96.1983421129814,340.23419027290066
2083,290.77571515708206,242.15903958280748,96.2737409436284,340.211873479977
2084,290.9040133481145,242.44304705899705,96.37128578938312,340.1938123648277
2085,290.754200254114,242.25567466736868,96.10726429677123,340.15589753270046
2086,290.7601190268377,242.22333985160685,96.17721875920017,340.1313977750462
2087,290.8131045314283,242.45721150069832,96.08918293694238,340.12725671752224
2088,290.85568589367574,242.26012566717984,96.13572915733765,340.13040537054655
2089,290.8461977756424,242.31991835650956,95.93345365669397,340.1581920995682
2090,290.91146904996884,242.20160704851457,96.34385895597336,340.2133394861965
2091,290.9296165696806,242.40560731865517,96.00481453186427,340.2472627324679
