year,tas,rlut,rsut,rsdt
2015,288.29063705768976,241.4234986326475,98.22586454089071,340.3251123124945
2016,288.21857212058654,241.37499865600387,98.13328598076663,340.28404494692444
2017,288.38212044844414,241.29294694705808,98.12596805221462,340.2335014007701
2018,288.3700832552839,241.24003457266687,97.95328327379674,340.2258240000561
2019,288.3286019724402,241.35041159949603,97.76508413435214,340.22458167728206
2020,288.4303324905943,241.46929905555155,98.26189494589288,340.2661559090939
2021,288.6191995189428,241.6670805818262,97.98441703662502,340.30620235155044
2022,288.4014582444593,241.4346456579467,98.0268253217668,340.3840384836847
2023,288.68354249712644,241.69547079523534,97.52719844148369,340.42796523502744
2024,288.6979358708779,241.85860344781045,97.83433116079912,340.4770211556934
2025,288.57328448442337,241.54861917292385,97.56279951234485,340.4025101406533
2026,288.59328678331326,241.4159451965979,98.02708407379458,340.3539022726992
2027,288.9662326813777,241.90363825012085,97.50200045941749,340.3033996918366
2028,288.91451514010413,241.9859242395033,97.49340712388535,340.31537734441685
2029,288.7898912194227,241.8934308655814,97.60128235455761,340.2506820689362
2030,288.8461077193143,241.8856920730874,97.61955060916607,340.2327132440883
2031,288.7099973423467,241.61909152980638,97.4171019065413,340.2153360323934
2032,289.010844600679,241.5649495627102,97.31882955344328,340.25062998221364
2033,289.1466622494173,242.18684520471172,97.96038185368582,340.26181215793673
2034,288.8410208492833,241.68986675124893,96.94340450390916,340.33676188281896
2035,288.8838006595601,241.59493802895383,97.18650510994242,340.3453810865162
2036,289.1255359475304,242.01143981414984,97.11605379006737,340.4104075906389
2037,289.24714082831116,242.08530797303115,97.22811917706474,340.3453629189186
2038,289.3249679250482,242.08461545680237,96.91823707236767,340.34483924957027
2039,289.4084781581034,242.28252083211746,97.7893776945844,340.29618062611115
2040,289.222456187487,241.80090716593108,96.92220638031252,340.2826212761025
2041,289.37442338304896,241.9289107489741,97.16640166848174,340.2114050727702
2042,289.3921046001946,242.17169522686171,97.81501911586226,340.20045125778745
2043,289.27724798455904,241.63364756754535,96.54298230548004,340.2057833602504
2044,289.4426494751627,241.78394351784777,96.63754520587344,340.261610143292
2045,289.7242098666541,242.44442006192037,97.18345035738726,340.3010053257728
2046,289.5445660062474,242.2331149991068,96.64572034079634,340.34879319506257
2047,289.7246283992533,242.31010890483608,96.45246153634447,340.402219634941
2048,289.8659924790581,242.58912580930055,96.98079275146874,340.43907679373586
