year,tas,rlut,rsut,rsdt
1970,287.06700043919835,240.87711494355258,99.20527145669973,340.4211708344313
1971,287.2499826620381,241.19333296895732,99.48053174934444,340.3654591997437
1972,287.0226505273294,240.64380972922024,98.92538432780255,340.39311500978704
1973,287.05082559867105,240.83600403907244,98.82877960578368,340.30554109527964
1974,287.2059357698287,241.0330633141632,98.83916796756671,340.2780091159759
1975,287.2248235668979,241.00333479505446,99.14926765426232,340.27857313594814
1976,287.07959822383003,240.78293854346236,98.91790902857753,340.3008941722514
1977,287.16159432154024,240.80647917203905,99.29099320122869,340.3285522313884
1978,287.1602906020821,240.93281336583186,98.93309018729572,340.4178280097522
1979,287.15831909935383,240.7615906599393,98.91639221447777,340.49470203898466
1980,287.2435853963509,240.81144225377318,99.23320683292683,340.51089611022763
1981,287.40474226332145,241.16312070642834,99.1057735710203,340.4848617071268
1982,287.30586358544923,240.82299068430146,100.0159055799876,340.4002615642277
1983,287.05877973238586,240.10551628778333,100.17263051775404,340.3961158667386
1984,287.30230897126614,240.534310782936,99.60357347972933,340.3271438013584
1985,287.2885376072816,240.9384542511733,99.79018149442392,340.26269173991767
1986,287.07719552476095,240.17779323794036,99.066395845169,340.2669221159678
1987,287.10884280413103,240.29631770432965,98.92115817848317,340.288144549838
1988,287.3560884222797,240.63175532118441,98.86702665602353,340.40783897274287
1989,287.541238491991,240.84441864742647,98.58031574213403,340.49711290522976
1990,287.6889144166757,241.04819398510753,99.24024052049447,340.47454396248486
1991,287.4061292981831,240.2727880290821,100.15295456762341,340.4702568814137
1992,287.2196370068691,239.0963182603358,102.20863333792806,340.4627688417991
1993,287.2170543216389,239.9387848132118,100.87151966004818,340.3350095338092
1994,287.2983744259621,240.05866121147258,99.39624226454153,340.2775343552588
1995,287.37263064500786,240.3747356988323,98.9695294937665,340.2664869174897
1996,287.5655982623391,240.96097584577367,98.8133505475728,340.2741379679869
1997,287.5749963385773,240.77796258575302,98.64968404312147,340.2747721139944
1998,287.62289225793296,240.61167635273645,98.7706905850683,340.3664891268603
1999,287.64309614092014,240.6274781919257,98.7169020769959,340.4337757375767
2000,287.6926261852192,240.84746542536232,99.15216482755064,340.5150020963479
2001,287.61641863272433,240.91544309245637,98.25033201696316,340.46291503191486
2002,287.8286428443577,241.0375344152028,98.45591383998368,340.47415528922795
2003,287.94216550174804,241.41212993494676,98.76237286118656,340.35312182120066
2004,287.7617650961581,240.81655914620384,98.61620627763119,340.33221088640346
2005,287.79388370775615,240.7624111935727,98.26481430304575,340.2484400858469
2006,288.0766909471884,241.46599236980603,98.25280516920323,340.2367070884677
2007,288.02273815077837,241.1612444312882,98.28458655773882,340.21419227091025
2008,288.01385533377163,241.19035217970838,98.39946692429203,340.2408760809463
2009,288.1405314390764,241.33039787785924,98.72538406913567,340.20929608694433
2010,287.9136743630313,241.142483135892,98.50285977659568,340.2525799818572
2011,287.8262934650675,240.62875929242895,98.38582015847312,340.31985867286113
2012,287.93373122526987,240.85950783570186,98.71191803983788,340.3796047692664
2013,288.02607579763406,240.9986575959102,98.30339938566236,340.36381929953524
2014,288.1193455320867,241.43414142541317,98.52387233760636,340.38348141013665
