year,tas,rlut,rsut,rsdt
2015,288.02181985963364,240.86818031147573,98.65868731889124,340.32511096487696
2016,288.12326780165284,241.06061262749176,98.3329371645179,340.28404463656926
2017,288.13038597167446,240.78707057880789,98.25302581215055,340.2335001220317
2018,288.2607074918357,241.25210212986886,99.05902982143466,340.2258244957045
2019,287.9906846984416,240.69340064752998,98.09563613464496,340.2245818421897
2020,288.03666629096784,241.06652016228793,98.56905532061758,340.26615592265085
2021,288.1770021482044,240.90854718395505,97.95094650811745,340.3062027735541
2022,288.292711214785,241.1997738684831,98.23206638767887,340.38403880607854
2023,288.2822891409036,241.14751104521278,98.26600143112485,340.4279656515917
2024,288.401988500462,241.33509997675674,98.3523231458413,340.47702116295824
2025,288.45308913456256,241.45608650921966,98.67673652170747,340.40251175201325
2026,288.30799765768734,241.0674839186182,97.89643572563956,340.353902280966
2027,288.35424246199915,240.96364454926422,97.90606354170622,340.3034004746607
2028,288.53634603971545,241.24468647628711,97.8065901794327,340.31537865716587
2029,288.7713126131585,241.5314310906261,98.49252930977066,340.2506815856126
2030,288.58612864661825,241.25024810601334,97.82902263105255,340.23271321694517
2031,288.6154812614597,241.39603094026538,97.50128650735205,340.21533672687036
2032,288.73359366775423,241.3510354034379,97.30090237991216,340.25062992061936
2033,288.9600023616942,242.00733388712968,97.77916770825516,340.26181216042784
2034,288.8324889623487,241.64599986497726,97.47235872905958,340.3367614744039
2035,288.9578507201353,241.69518989771743,97.17263793499069,340.34538159361034
2036,289.0800445741539,241.90860014566337,97.46894636952571,340.4104067833337
2037,289.14121692154794,242.2545032979826,97.1397811248035,340.3453634315567
2038,289.1109889551996,242.11664026050423,97.2049791113883,340.3448401178514
2039,289.1975956243402,242.256505577894,97.22301011622272,340.29618130988695
2040,289.0956589650725,241.8821636829787,96.92712226396468,340.2826208616663
2041,289.25251468871625,242.05377211412227,97.32278215673774,340.2114049192361
2042,289.41151544035347,242.24801506630536,96.7168649818636,340.20045105498883
2043,289.49465834856113,242.44704550843616,97.44325889507382,340.20578209854654
2044,289.1157604215836,241.76907238838032,96.75763987842625,340.2616094458208
2045,289.3207593689899,242.13423178718702,96.76059299580551,340.3010040135933
2046,289.3403113810619,242.37068645480392,96.79778797144378,340.34879240185813
2047,289.43512743688547,242.358703951948,96.62868210851018,340.40221923222555
2048,289.6171626565926,242.4872894258552,96.44829106834982,340.4390767036518
2049,289.81828418592977,242.8145126875777,97.04820616913588,340.3639273296042
2050,289.700866349491,242.5246376701684,96.79427763896085,340.29617855985794
2051,289.6433090397628,242.59685896757424,96.54264686244238,340.26307195225496
2052,289.7223992304145,242.39547332024588,95.98101615147765,340.2637173017206
2053,289.7924103981924,242.6730935955319,96.29824530771903,340.21058755469943
2054,289.6812045809577,242.8226474208627,96.4101870077987,340.21903221377295
2055,289.7266142830894,242.41202421505773,96.07265655100582,340.2598409731524
2056,290.1164073092344,243.01734128051052,96.44207854328253,340.34203797153026
2057,290.0520423360728,243.16824042507255,97.02809854085764,340.3121105203638
2058,289.655541169148,242.318301224666,96.33833887931867,340.3205254333182
2059,289.84630749516884,242.67220804389748,95.92577066288635,340.3267592427139
2060,290.03246488259214,242.88831156184827,96.35206087033937,340.31550216563454
2061,290.04490511139994,242.98621133697603,96.84210775657431,340.2489375080018
2062,289.88664524455254,242.71683971309713,95.87808421925844,340.219554886946
2063,290.0048108381495,242.84862031756924,96.13176097488694,340.20930566595456
2064,290.1010496613053,242.99288054951487,96.03023222295577,340.23677033245116
2065,290.118050678407,242.82928530372723,96.49971784764374,340.21811000537565
2066,290.1062561489253,243.05439171501737,96.4243459147164,340.2738278405494
2067,290.01188413199634,242.740504301235,96.14091231079664,340.32358295149874
2068,290.0733773548013,242.82490084328887,95.92540054313105,340.38332448365344
2069,290.06363290462207,242.92137059791264,96.80140184971815,340.3400572034903
2070,289.8083884585322,242.64176146636055,96.53363487992526,340.30960015424535
2071,290.0535914243402,242.6489501964395,96.12497779793961,340.2654962979318
2072,290.19287604251,243.2064890640191,96.71621474116763,340.27549619366295
2073,289.9291379712293,242.61565208145626,96.06631477690037,340.22839959403564
2074,289.938692865541,242.50707912428265,96.3100016934,340.20509206608875
2075,290.1070511682606,242.69783479331736,96.2962211690869,340.19560337951617
2076,290.1201237881928,242.93868978642422,96.03884831204034,340.2175020693385
2077,290.06152037224786,242.71830426163703,95.97254748323735,340.1987181165195
2078,290.20883993503156,242.99919307682626,96.17093299571304,340.233994908118
2079,290.2155290151569,242.98432377958326,96.0670200600498,340.2710946699622
2080,290.26443604860054,242.912088154893,95.9255273051866,340.33013642399686
2081,290.39225116588875,243.33696490835868,96.16413342662963,340.30140800654334
2082,290.0939614956251,242.47268506185495,95.95801098932317,340.3000016896922
2083,290.2399220850729,242.9563268005576,96.39887519063058,340.27137531453155
2084,290.2873033041571,243.2729062315228,96.82620951932665,340.2897709146491
2085,290.0289696757676,242.4360124083136,96.09468202600029,340.2159575196702
2086,290.13483363473944,242.74796953931852,95.61094988154834,340.1924919877212
2087,290.30399188580867,243.20669143172879,96.21981777301572,340.1905380021124
2088,290.534691208064,243.40104704898212,95.91585089111003,340.22528786899056
2089,290.35295959786487,243.12478775797385,95.83624341725117,340.2265801437672
2090,290.19938262964536,242.93178410406054,95.64094191642528,340.28045554450415
2091,290.24255831658957,242.98479006471277,95.65343475033755,340.3205794323797
2092,290.5104864095431,243.2523808456007,96.05327828762853,340.40392884430366
2093,290.60364149157795,243.7578928868518,96.54906999367749,340.351088223044
2094,290.293503758456,242.91838827037512,95.57095972996429,340.3071837212135
2095,290.322887628906,243.0600640436803,95.84026233919319,340.27328881839594
2096,290.4730562277793,243.28529102710522,95.98601268839873,340.26394532790465
2097,290.48959505391497,243.36863516419578,96.12070434745125,340.21898529667504
