year,tas,rlut,rsut,rsdt
1850,287.17590931804176,238.9291124806015,101.18055388742046,340.27084286407614
1851,287.11697107384475,238.56384832225623,101.10868536895754,340.27084286407614
1852,287.2514448783184,238.352464914367,101.73521764166463,340.27084286407614
1853,287.4493713101568,238.9667331143962,101.85223100798743,340.27084286407614
1854,287.142972646569,238.90386338823953,101.20554324635073,340.27084286407614
1855,287.10066476291837,238.33833935734845,101.1377414713467,340.27084286407614
1856,287.42510453163555,238.84593066429338,101.59022596291692,340.27084286407614
1857,287.38503882171307,239.03100305224174,101.53627924000989,340.27084286407614
1858,287.108844847212,238.70758930443836,101.00587348854293,340.27084286407614
1859,287.2639865575837,238.42026124826248,101.47381946818803,340.27084286407614
1860,287.498701171336,238.77287180036228,101.72598264906658,340.27084286407614
1861,287.297377948023,239.00561517801364,101.45805240854976,340.27084286407614
1862,287.15840054978395,238.4908330846255,101.43692606978907,340.27084286407614
1863,287.26380309576416,238.7015743714243,101.48865906501459,340.27084286407614
1864,287.49500479329214,238.6845297440384,101.84404686942163,340.27084286407614
1865,287.5366381153213,239.09991318083135,101.72353606242757,340.27084286407614
1866,287.11782846784877,238.74956830108886,101.28523864679867,340.27084286407614
1867,286.95746551462616,238.45159616512296,101.28232502908635,340.27084286407614
1868,287.1094004347953,238.24451476949352,101.41110464789038,340.27084286407614
1869,287.3727728321721,238.62237031765747,101.98592695768043,340.27084286407614
1870,287.3013345397786,238.99924191296887,101.48216889380167,340.27084286407614
1871,287.07424046873604,238.85398622461514,101.1137275212403,340.27084286407614
1872,287.2190315736663,238.53316230694864,101.67781141489263,340.27084286407614
1873,287.4053827407602,238.7417465348921,101.62643386700127,340.27084286407614
1874,287.1216201260723,238.59990330229402,101.56412098800945,340.27084286407614
1875,287.0689097350681,238.6506840317189,101.21560129408073,340.27084286407614
1876,287.2744870126508,238.49334528790737,101.70304242183198,340.27084286407614
1877,287.37266503375554,238.78670431868332,101.5874002763568,340.27084286407614
1878,287.0830703387199,238.6832083664142,101.63149817881721,340.27084286407614
1879,287.0063488660656,238.31177854247605,101.30875302533435,340.27084286407614
1880,287.10235540917756,238.53105770581325,100.99366414312613,340.27084286407614
1881,287.15794891666366,238.3006599326952,101.66511545645153,340.27084286407614
1882,287.41564680685053,238.65027728720466,101.80880524812545,340.27084286407614
1883,287.510721442933,238.840927139664,101.80668224735543,340.27084286407614
1884,287.29291368104003,238.892408668409,101.6807955052963,340.27084286407614
1885,287.0414842381076,238.52654824720514,101.48323892923013,340.27084286407614
1886,287.04943355518105,238.5239318570208,101.52830402532878,340.27084286407614
1887,287.11156413354956,238.3621169676716,101.85080172912008,340.27084286407614
1888,287.1553380353295,238.91093761046739,101.5184374564965,340.27084286407614
1889,287.09769461924026,238.42933590322878,101.81470050856653,340.27084286407614
1890,287.08774428665737,238.42761005072416,101.9738805614363,340.27084286407614
1891,287.12679559265104,238.51291268354353,101.72582768996777,340.27084286407614
1892,287.0356742769887,238.21448372327578,101.72386669278502,340.27084286407614
1893,287.10256814022455,238.5383556662208,101.54721103767413,340.27084286407614
1894,287.2289137403224,238.34254322342835,101.83847189250844,340.27084286407614
1895,287.32015878864814,238.8812247945433,101.6952941584438,340.27084286407614
1896,287.2157292572795,239.05396527539008,101.22840581496779,340.27084286407614
1897,287.2106515185297,238.87024777819352,101.21693561591758,340.27084286407614
1898,287.2959612269791,238.60500575065316,101.45770321660598,340.27084286407614
1899,287.30076617141407,238.59583049177638,101.73870490351631,340.27084286407614
1900,287.01644638327554,238.57293872605817,101.30074665913678,340.27084286407614
1901,287.07607897801904,238.50829486169502,101.36386151351945,340.27084286407614
1902,287.2506520264127,238.55470248927642,101.76284810683659,340.27084286407614
1903,287.4219585091885,238.79364679394277,101.65005412494763,340.27084286407614
1904,287.142752568459,238.72527726028656,101.6059511852656,340.27084286407614
1905,287.07632388032806,238.29959396860704,101.55904418223669,340.27084286407614
1906,286.98869072430256,238.1430129573283,101.61875585674062,340.27084286407614
1907,287.13443700830805,238.7222632356143,101.43650031090863,340.27084286407614
1908,287.26999689963,238.66851838930384,101.93137759684805,340.27084286407614
1909,287.17314624857573,238.45510594443692,101.66851187308265,340.27084286407614
1910,287.14193112359544,238.52232814374005,101.75401656411543,340.27084286407614
1911,287.1259992072841,238.69751782192463,101.74963492062373,340.27084286407614
1912,287.1338531870994,238.29153522009585,101.84701204300687,340.27084286407614
1913,287.2486844941615,238.51970992337283,101.99515487900874,340.27084286407614
1914,287.27199367391,238.68297612353058,101.70187362849195,340.27084286407614
1915,287.27463965745693,238.83432439039385,101.72206498116857,340.27084286407614
1916,287.21885021885373,238.4637265757872,101.88196034453055,340.27084286407614
1917,287.17226518368847,238.71666136180363,101.51607862964602,340.27084286407614
1918,286.93016534021814,238.37801077604615,101.45050759157103,340.27084286407614
1919,286.9105645571384,238.06695774714476,101.67271819155333,340.27084286407614
1920,287.0797555467097,238.30391431158705,101.8361397945813,340.27084286407614
1921,287.406409627862,238.67095772291648,101.90691303120336,340.27084286407614
1922,287.141774106475,238.8506593683256,101.55951225991379,340.27084286407614
1923,286.8951270835416,238.02301022069116,101.7550417769376,340.27084286407614
1924,286.9847346798846,238.35576533490578,101.62184153946863,340.27084286407614
1925,287.2943151458905,238.00916135897796,101.98589294952994,340.27084286407614
1926,287.42182380658204,238.99965539015417,102.09043376714412,340.27084286407614
1927,287.12398313629365,238.85663187440366,101.50818110217206,340.27084286407614
1928,286.9158609741847,238.06765346989678,101.91870830194796,340.27084286407614
1929,286.97773019155085,238.44994250750665,101.65485920726688,340.27084286407614
1930,286.9493197094984,238.74353346482596,101.36697833734007,340.27084286407614
1931,287.0565465545371,238.27904273605108,101.26076343507565,340.27084286407614
1932,287.4123030379127,238.5651069017687,101.67433922911226,340.27084286407614
1933,287.29940423647093,238.67820546998362,101.66241673177647,340.27084286407614
1934,287.17871118601744,238.72315872756852,101.41504148690466,340.27084286407614
1935,287.15054472718134,238.59869590088928,101.23055700198192,340.27084286407614
1936,287.09954465847653,238.5051758968825,101.4355957518912,340.27084286407614
1937,287.20782521082634,238.46041907384975,101.83264414572227,340.27084286407614
1938,287.40100126745494,238.6303155619452,102.00276540028773,340.27084286407614
1939,287.2094006618898,238.94687721304715,101.55955014103233,340.27084286407614
1940,286.98293810368864,238.58104618849265,101.33080899635758,340.27084286407614
1941,287.0485301124601,238.41102480947777,101.63292238681794,340.27084286407614
1942,287.16364605210174,238.47119989671705,101.98442263970388,340.27084286407614
1943,287.2632415066375,238.23603733324447,102.26941523447995,340.27084286407614
1944,287.4333586786643,238.57460248890425,102.01257524311666,340.27084286407614
1945,287.26899727938104,238.62875631391265,101.99556464242188,340.27084286407614
1946,287.0304923834643,238.37049655033422,101.50463060467627,340.27084286407614
1947,287.267918277251,238.42054804591376,101.91822430860937,340.27084286407614
1948,287.3154165577601,238.5960887863165,102.1495552468861,340.27084286407614
1949,286.9966720161528,238.5261765772087,101.62059342410284,340.27084286407614
1950,286.7471537843971,238.43740096272995,101.57690653109823,340.27084286407614
1951,286.8622912075412,238.12638987278265,101.48361476158975,340.27084286407614
1952,287.30610350134054,238.55221915704578,102.09627430350075,340.27084286407614
1953,287.3783900119442,238.3278343823484,102.48820782210629,340.27084286407614
1954,287.0749506163846,238.63534451109433,102.10604032529102,340.27084286407614
1955,286.90178957191694,238.28490548601232,101.81837268092856,340.27084286407614
1956,286.9773836648564,238.16560409290105,101.86757466279425,340.27084286407614
1957,287.10423365690525,238.25578343439142,102.15861476280132,340.27084286407614
1958,287.2378035416959,238.5168283683896,102.2720918173316,340.27084286407614
1959,287.09914365771124,238.4835349795088,102.31279253671151,340.27084286407614
1960,286.75183234438606,238.1692068062578,101.93568871001419,340.27084286407614
1961,286.6612951255663,237.8988929238027,101.99019787936062,340.27084286407614
1962,286.84001617971984,238.008783474083,101.96995942565468,340.27084286407614
1963,287.15034892115,238.27692092436993,102.51247088972087,340.27084286407614
1964,287.10617998366206,238.31013589119507,102.37869113101577,340.27084286407614
1965,287.1443789784713,238.47087797182954,102.29423685909877,340.27084286407614
1966,286.9150559600884,238.26982090457216,102.22335375104755,340.27084286407614
1967,286.8925633118959,238.22910222676572,102.07774863499964,340.27084286407614
1968,286.81383902714646,237.98938599446203,102.13298797745789,340.27084286407614
1969,287.0261907266765,238.19117401307344,102.3122882197694,340.27084286407614
1970,287.169795890061,238.35388566717168,102.51170404305059,340.27084286407614
1971,286.9081068811418,238.34089840117335,102.27474870928579,340.27084286407614
1972,286.67387359920104,238.0280475912149,102.08367595487447,340.27084286407614
