year,tas,rlut,rsut,rsdt
2015,287.42772258781395,238.45423828344963,96.89204725660805,340.2954822127806
2016,287.41639008564124,238.39074215772078,97.06961846480014,340.2226690979927
2017,287.47647665164635,238.35800440642421,97.27180209367872,340.20324770795213
2018,287.4431043880386,237.99023600244468,97.23669520565716,340.19441895684
2019,287.51928978592554,238.23063400142598,96.9365578328809,340.1936555222554
2020,287.59126544792747,238.08070406295735,96.90240408544766,340.204060773547
2021,287.5749605067639,238.48508461279403,97.16753053500179,340.27465186103467
2022,287.6594056550063,238.43484100199714,96.88579164141765,340.3526043431635
2023,287.61748337862264,238.41719194862569,96.72611204401494,340.4277606825805
2024,287.89331723973334,238.87472634042118,96.5633103206372,340.4145638384476
2025,287.8388382923401,238.82737954121367,96.71784535817551,340.3716411587853
2026,287.85152891062927,238.75750286848566,96.88589679111378,340.32138875339416
2027,287.86082342338324,238.77556010003286,96.72544111918114,340.2744479580452
2028,287.80876255319487,238.46714399721836,97.08603331206075,340.25216097292736
2029,287.86893049541396,238.57776836328165,96.77479069020997,340.2201975867977
2030,287.8711773838474,238.55940261150647,96.84771782717648,340.20204231334776
2031,287.86856937747694,238.6193188572981,96.70907671582692,340.1844819600919
2032,287.90791388869644,238.59984338105644,97.01181149940841,340.18870714523433
2033,287.83097021538356,238.32407154963255,96.87374237425392,340.23067640215487
2034,287.97066427116783,238.6239204723577,96.64989712936888,340.30584281608054
2035,287.97979155945103,238.51686446137242,96.69483269400428,340.31453256859066
2036,287.9786678321681,238.68820632016448,96.50862481959115,340.3495151681387
2037,287.9709221860017,238.6866674627382,96.57000349378607,340.31361988785414
2038,287.98503890501337,238.59781133764463,96.94191352744646,340.3121531569547
2039,287.9141962189896,238.34908111635966,96.79569108145098,340.26663075427876
2040,288.0476584852127,238.6158243120475,96.10743721599128,340.21993503288417
2041,288.18650050355757,238.78637027794835,96.63360143053985,340.18068478904394
2042,288.2026936071788,238.78438279760928,96.59570087737539,340.1697827756053
2043,288.27115235435497,238.84796396631512,96.34706496769122,340.17490387606534
2044,288.26291769047583,238.8488583436347,96.1779218070716,340.1994171350065
2045,288.30034263811586,238.9660380674792,96.29504631998482,340.2695098147894
2046,288.2300521229015,238.81884562227148,96.52450068119089,340.31780152425523
2047,288.2073387426698,238.67265488841906,96.19183212948316,340.371730273834
2048,288.31572485344014,238.86448319792748,96.27101114187487,340.37745726629186
2049,288.3159713945168,238.89974562031082,96.63569247585885,340.3311773456783
2050,288.3031275348557,238.8378837053145,96.45705847670548,340.2666961395339
2051,288.1883410503804,238.581846344998,96.58108699401491,340.2332032067585
2052,288.33781969874053,238.83768449960212,96.22374063737362,340.2016844962879
2053,288.2391827218924,238.59662487045628,96.45894598793082,340.17944419429494
2054,288.296489666641,238.6544074095841,96.35963424808055,340.18828739781526
2055,288.39816034248537,238.99678806340103,96.2753475159522,340.22955686898973
2056,288.46756803158945,238.9340263324764,96.57347990157946,340.27846219731913
2057,288.48582638902786,238.98410354028184,96.39631826357588,340.28191370745253
2058,288.36993339044824,238.86403437427603,96.7034520762004,340.28976503497745
2059,288.45547541366705,238.7690893129069,96.20096510025598,340.2958200365024
2060,288.50817620419474,239.0785774050362,96.15347313468818,340.25478025008323
2061,288.53290926587897,239.02330755497283,96.35641960494321,340.2173979712924
2062,288.6467501319371,239.06192125223936,96.1503386135473,340.1888588556994
2063,288.5232438684185,239.0784658676298,96.29135118515798,340.1782901894326
2064,288.51990229177426,238.73905539610993,96.19281405329495,340.1747381342794
2065,288.5997064625515,238.9083018299432,96.18734763436164,340.18735660501164
2066,288.58178980416636,239.23879531296416,96.48361186576982,340.2423270775437
2067,288.4915534449537,239.0464476586752,96.55480170669581,340.29253164464404
2068,288.44861282510954,238.88864863763968,96.44952236274447,340.32071416808805
2069,288.4903664526418,239.0560851159083,96.34049143875757,340.30992446718955
2070,288.577437133235,239.06548640612743,96.01929930587228,340.2787282477472
2071,288.50012857122766,238.87172827989517,96.09916268646042,340.2345935775406
2072,288.5582545756443,238.81173386716011,96.15366464551771,340.21386962512264
2073,288.6170912467731,239.03735287837853,96.4201277057042,340.1973226504369
2074,288.6584167707013,239.1196424883304,96.16385307012304,340.17414320764846
2075,288.5846783599823,238.92066364461758,96.22510133318029,340.16472368326407
2076,288.5749118384093,238.89993438865648,96.04293726543283,340.15545400587723
2077,288.7306409492351,239.06594460459894,96.02637997214264,340.1678071096691
2078,288.73089034728565,239.18853770004534,96.14349709774145,340.2025040908447
2079,288.6560888399305,238.95675522077667,96.26121569393007,340.2418609425967
2080,288.64998142083664,239.15008125833415,96.36674817479242,340.26815080368476
2081,288.7021819536943,239.11290126760318,96.10492021064573,340.26926287992035
2082,288.73178083226344,239.21067734017947,95.96273512813609,340.2690616063358
2083,288.6834744749859,239.22308123587277,95.98374136995805,340.24152724708216
2084,288.6442173758022,239.15516060503748,96.0760613215085,340.2267585467818
2085,288.7223105566475,238.95923925881206,95.94956362968104,340.18524060690385
2086,288.70507023301496,239.2551257657242,96.25837730815654,340.16172001415725
2087,288.69556202927504,239.06445849402326,96.03265675610983,340.15971010796426
2088,288.7032035645406,239.19133495489666,96.10351332243054,340.16309735433896
2089,288.7598413258952,239.25763942580832,96.01086753141851,340.1956578999712
2090,288.79189557585545,239.28696750424066,96.22709994946548,340.2505784725168
2091,288.7692470500026,239.25682963413365,96.18668270659678,340.2889873554436
2092,288.78279580683164,239.14435904971424,96.09166527318841,340.3418471274463
2093,288.8084543743102,239.36389898958836,96.03722389182235,340.32027971334406
2094,288.7798589243801,239.1776606955702,96.23671794857155,340.2775665580014
2095,288.8339332157462,239.37180429422006,96.23031684833292,340.24156827959314
2096,288.78042532792836,239.1682869985918,95.91860029773899,340.2018102669711
2097,288.750778797382,239.05775217406892,96.20905605059461,340.18772147439995
2098,288.73830222495974,239.1085794710456,95.9636493351261,340.17503259770086
2099,288.730050271385,239.16067337819638,96.11241929755789,340.1941553611852
2100,288.75691955856695,239.26301687767918,96.14144523125049,340.2360135509225
