year,tas,rlut,rsut,rsdt
1850,285.6989318847656,237.71005495672352,102.87744098820099,341.5977937881261
1851,285.7769329750374,237.72062311041847,103.05702071516481,341.5977937881261
1852,285.777191078728,237.66926587214235,103.19679345719801,341.62966960635987
1853,285.78459012802335,237.6198869679072,103.47822909420485,341.5977937881261
1854,285.84385927801264,237.66241705907532,103.44559965786868,341.5977937881261
1855,285.7950273905715,237.64975456342304,103.69673873692345,341.5977937881261
1856,285.6034595927254,237.5957796690894,103.3559050846621,341.62966960635987
1857,285.63290430356375,237.56028592880457,103.02509728000587,341.5977937881261
1858,285.7133747257598,237.5473876535076,103.46728689115342,341.5977937881261
1859,285.79077641735336,237.58071849248185,103.03799459379013,341.5977937881261
1860,285.79771831908516,237.70700435951107,103.27613488702825,341.62966960635987
1861,285.75892902531035,237.74987567222283,103.30218058546927,341.5977937881261
1862,285.69494311189,237.47777346258292,103.12475918286468,341.5977937881261
1863,285.8039107649294,237.8097734007117,102.79491564606968,341.5977937881261
1864,285.8518951916304,237.86046454424414,103.07945049265044,341.62966960635987
1865,285.9293207037939,237.96638120886396,102.62085337181615,341.5977937881261
1866,285.98585673293024,238.06605408550942,102.9321400263538,341.5977937881261
1867,285.9014803115636,237.88811561898012,103.35609408861968,341.5977937881261
1868,285.8584093604583,237.84059288983784,102.70627081198772,341.62966960635987
1869,285.9834509444563,237.94344068553346,103.26533370344606,341.5977937881261
1870,285.85111175955154,237.86940575168558,102.87012429433327,341.5977937881261
1871,285.94345619515195,238.0409719388779,102.73887101264852,341.5977937881261
1872,285.92401589982495,237.89237246487312,102.87206910347027,341.62966960635987
1873,285.7851576713667,237.79835104746363,102.833642160076,341.5977937881261
1874,285.8327543911868,237.7233006307524,103.16137225007357,341.5977937881261
1875,285.9491458422517,237.86318459706763,103.04163918691138,341.5977937881261
1876,285.9357026313823,237.83479517535434,103.47464727182857,341.62966960635987
1877,285.92690789209655,237.8034070158658,102.77275664447104,341.5977937881261
1878,286.01534942208906,238.0273796604104,102.91532406741625,341.5977937881261
1879,285.89956606512203,237.96462820392765,103.31306204599878,341.5977937881261
1880,285.75686020147606,237.64646115329097,102.60751930612032,341.62966960635987
1881,286.1758321683701,238.05923073128477,102.74013333255299,341.5977937881261
1882,286.09550396644903,238.15849053369809,103.33283221101108,341.5977937881261
1883,285.86352380203874,237.93457767016267,102.5085800797972,341.5977937881261
1884,285.83021712172877,237.71249168687834,103.16006947084855,341.62966960635987
1885,285.95441635340865,237.83844637936113,102.43983206553001,341.5977937881261
1886,286.0629749872913,238.2154831141642,102.95084021581363,341.5977937881261
