year,tas,rlut,rsut,rsdt
2015,288.99832564532045,229.29048860087005,109.29807737904333,340.27985212092926
2016,289.0152890323345,229.3936462157188,108.86476989053996,340.2099886848427
2017,289.0717273631715,229.23031716625258,108.85841570807769,340.19093771438287
2018,289.39170197038135,230.1285245804548,108.7807377884805,340.1823445320609
2019,289.09430711524465,229.6181711353156,109.24548637342484,340.1815709613459
2020,288.8714550054497,229.04019191183295,109.06678016690846,340.19187285128845
2021,289.0216335382179,229.20225489682676,108.68237811727624,340.26168487150824
2022,289.18019273407384,229.49967448941615,108.42576407120318,340.33833715178196
2023,289.3258919248793,229.63962143644844,108.35070097410477,340.3824966331958
2024,289.66044774356016,230.87102852715097,108.28219933817599,340.39951021751034
2025,289.5050129189515,230.3428618909917,108.45619263001608,340.35697503001035
2026,289.2856645598341,229.67458557500638,108.21502533773668,340.30739796010823
2027,289.3842788022329,229.72480984986706,108.07800248846041,340.2611394936522
2028,289.5839498403048,229.92662421303314,107.9166835906625,340.2392470210691
2029,289.8033408835715,230.62402107181242,108.16088047361872,340.20755258593664
2030,289.39610727869274,229.72232654046206,108.56505735904773,340.1897532302748
2031,289.33126846426933,229.2003922602719,108.56230556718869,340.17241678654324
2032,289.6161414266634,229.79504798529422,108.00530074509027,340.17659622540816
2033,289.795950171112,230.44777156759255,107.86747754417986,340.2182333605226
2034,289.7215890181656,230.1203777942022,107.88092419502688,340.29241278515696
2035,289.68400979144695,229.90001205529612,108.17414826452612,340.30045383948084
2036,289.7371349376703,229.72627111537108,107.90591729506411,340.3352112491827
2037,290.1003811967132,230.88227843059212,107.67957893836216,340.2994972509448
2038,290.0230965529809,230.96947003518994,107.70594663654909,340.2984811478473
2039,289.6078907118844,229.74469620617606,108.13394160677204,340.2532565516723
2040,289.58024398715787,229.64493098459798,107.82911953501036,340.20728135039684
2041,289.7119010858261,229.4111481111886,107.77610395318568,340.1686060496264
2042,290.1743387900228,230.61546609290926,107.3751627227198,340.15788513983676
2043,290.2779495087379,231.18367211838907,107.3452636872475,340.16301170884026
2044,289.9925539207547,230.1762048994989,107.37174201729538,340.1873047842653
2045,290.03762734898936,230.18267622639712,107.31996188549584,340.25643090671866
2046,290.315910224177,230.84279966447625,107.14176409544234,340.3039453146789
2047,290.2594442617623,230.882366537886,107.6040434742783,340.3568626624333
2048,289.9907861674596,229.98879493356904,107.57256056187475,340.36289044850247
2049,289.99800819210145,229.9589770618244,107.75061496431869,340.31700534937687
2050,290.0824118787291,229.89226576966553,107.21031358017724,340.25345192343764
2051,290.4574396871961,230.59081272578376,106.7743933654843,340.220430465225
2052,290.5766006846149,231.08523326366517,107.08093900480587,340.1891793084933
2053,290.3078949979588,230.17871533170853,107.10078362477906,340.1675324343012
2054,290.2921696067908,230.03837736659526,106.94943369824445,340.17624671043103
2055,290.57529176525105,230.44447434966492,106.67137245134235,340.2168233926197
2056,290.8476521132532,231.41000748944825,106.78705731209301,340.26505587883076
2057,290.5368279061233,230.44922809452473,106.81964407681551,340.2685080745373
2058,290.5903682161327,230.39417981052966,106.5095137639838,340.2760657311217
2059,290.80508841710173,230.6693899464814,106.53107131753104,340.28229577621613
2060,290.9267354754945,231.12071681002942,107.16269777686905,340.24128612137633
2061,290.6661141286056,230.52276392619567,106.8319912509129,340.2050073297983
2062,290.46872087685426,230.02115799585133,106.94507325441698,340.1766005988081
2063,290.7204655155719,229.95583811817025,106.37746045936255,340.1663069586791
2064,291.1540301295278,231.4245173462439,106.2624012986812,340.16271155387284
2065,290.9829752478333,230.93051394881329,106.35131143516212,340.17530799007494
2066,290.7647017935346,230.15796443105828,106.59425235853335,340.2294953858286
2067,290.96955859720936,230.5874828413389,106.38619329960073,340.2789079002484
2068,291.25662616389917,230.81918677656074,106.146505282681,340.30674492126724
2069,291.41690067453436,231.593263781954,106.17046911738436,340.2959090625532
2070,291.0507820728778,230.80378457402853,106.26122234908406,340.2652574128238
2071,291.08563731632336,230.39357104112352,106.21325137780154,340.22164680428403
2072,291.3228157352354,230.9609602329008,105.8395405516033,340.2012185900373
2073,291.577604580769,231.43323722065657,106.16035245996498,340.18497540320857
2074,291.32042001444717,230.99059658560853,106.0256991872158,340.1620753034711
2075,291.16763016821506,230.36246655021785,106.14821325865269,340.15281869167865
2076,291.4406200439449,230.69538101033348,105.85366025193649,340.1435834382762
2077,291.5797807599617,231.37771253723375,106.48908958141696,340.1558977884958
2078,291.34803485315535,230.58301793719247,106.05668732887189,340.1901766658487
2079,291.54646652139667,230.71522709942363,105.36632487665189,340.22900931292656
2080,291.8155093860456,231.24272034667032,105.68001537663663,340.2547724093996
2081,291.8343009773436,231.50471786717517,106.150347802971,340.25605419736405
2082,291.63460749093497,230.70986713520207,105.42076044081732,340.2557137750916
2083,291.8199928115511,230.941565892869,105.69832344790272,340.22830094364167
2084,292.0654986271309,231.5898497666124,105.40613699746586,340.21397272254984
2085,292.02980536851607,231.2275824306083,105.58291527002952,340.1728529264913
2086,292.0901225230535,231.28572114076067,105.31857747169117,340.1498392525876
2087,292.10788784060867,231.3013596384359,105.7711387926419,340.1478884080425
2088,291.98223883775586,230.97819761239123,105.06246617381011,340.1512455096762
2089,292.19141978791674,231.07757770493996,105.07766793083628,340.18347413439807
2090,292.4877261881836,231.71220765344546,105.56202908087612,340.23754923164176
2091,292.26289212974285,231.57273884009285,105.02857839627872,340.27554294316275
2092,292.08483918197675,231.02290533860878,105.16829372746395,340.327342015993
2093,292.3243777942114,231.35729767584894,104.55009556368476,340.3061825721633
2094,292.62177641949955,231.63290722362856,105.37801239639936,340.2638527046441
2095,292.38700050134906,231.4395170776509,105.3131884590254,340.2288300130926
2096,292.21303334979734,231.08865676757873,104.83431737755576,340.1892923492886
2097,292.4677085797526,231.39728478298346,104.68121560908573,340.17559551646247
2098,292.6334178682158,231.56608077197657,105.23160865511541,340.1631176439683
2099,292.6019326861812,231.41479631503907,104.86369791044685,340.1819875337626
2100,292.7033758387758,231.56680027861364,104.89055326016476,340.24598034639865
