year,tas,rlut,rsut,rsdt
2015,289.5780721132133,229.8208622862894,109.23120957937901,340.2795671693595
2016,289.4395797157371,229.55926411703922,109.35367488513215,340.209686113212
2017,289.077210947245,228.70832605933876,109.55856562296388,340.19058697166145
2018,289.11796111816005,228.47933872779572,109.08000417039149,340.1820022710544
2019,289.44508818833987,229.0521696878354,109.26089744644422,340.181239823935
2020,289.5258461065585,229.62394912504428,109.66752944076931,340.19152996399595
2021,289.20714256981654,228.73571314522678,109.52094858727473,340.2613392376272
2022,289.2665235515325,228.9296395371883,108.8121361405793,340.337994540644
2023,289.41016955261057,229.1014437641583,108.66807684529515,340.3821173264632
2024,289.65430983514426,229.90528232357835,108.91444393944751,340.3991678235423
2025,289.5865449641686,229.60745692735983,109.09965451726384,340.3566422070021
2026,289.5885685402657,229.45177111932966,108.74801546736573,340.3070097468621
2027,289.77980817808066,229.86984131466897,108.73778071488402,340.2608200252228
2028,289.66314525858326,229.68815970746172,109.4126883249171,340.2389282946458
2029,289.333239406367,228.925574662417,108.90839360743946,340.20721545449226
2030,289.31570832633514,228.6445640213317,108.84824684888049,340.1893903691793
2031,289.5165775810842,228.93677026134776,108.59706550484145,340.17208684007295
2032,289.72195164753293,229.29728140234806,108.6808726638897,340.1762801088374
2033,289.9017088305571,230.05502843829905,109.29902414027362,340.2178853117728
2034,289.49834914702274,229.4793669146352,108.68063428380685,340.2920535296336
2035,289.3035870474805,228.7281361376855,108.84763799623498,340.3001498214193
2036,289.5343452514627,228.92304505915854,108.60831260199343,340.3348613731493
2037,289.7853876204055,229.56520886161698,108.5337691411034,340.29918815617793
2038,289.83493747605394,230.0193489361611,108.28479994409481,340.2981326066231
2039,289.8010970573682,229.6953216566728,108.66577311110582,340.2528881152056
2040,289.86367907069916,,,
2041,290.14056380541814,,,
2042,289.72245760853644,,,
2043,289.6114430874671,,,
2044,289.81496515944974,,,
2045,290.01437614272663,,,
2046,290.1875032539006,,,
2047,289.8522065159979,,,
2048,289.7658902520073,,,
2049,290.1724397902693,,,
2050,290.2903752481476,,,
2051,289.80952718403046,,,
2052,289.695267649212,,,
2053,289.77232665142344,,,
2054,289.93240208826774,,,
2055,290.1409864808318,,,
2056,290.2631601042245,,,
2057,289.8452912761557,,,
2058,289.92891319789385,,,
2059,290.1991504273134,,,
2060,290.4266829899821,,,
2061,290.0276570097496,,,
2062,290.00939878197346,,,
2063,290.165821332728,,,
2064,290.4950414040673,,,
2065,290.22718877087533,,,
2066,289.97915598658597,,,
2067,290.216071280471,,,
2068,290.21201608704115,,,
2069,290.35345593169285,,,
2070,290.6301903554881,,,
2071,290.7534392745111,,,
2072,290.2861806516559,,,
2073,290.25199580088014,,,
2074,290.2733835392515,,,
2075,290.38889278301593,,,
2076,290.6420679245989,,,
2077,290.6641373173795,,,
2078,290.25750986051713,,,
2079,290.3529381922768,,,
2080,290.6344487827948,,,
2081,290.8739374043811,,,
2082,290.5951697908724,,,
2083,290.52317520939886,,,
2084,290.7010261254087,,,
2085,290.95540297774386,,,
2086,290.58824889166016,,,
2087,290.49054954280314,,,
2088,290.52078423170843,,,
2089,290.7264558383896,,,
2090,290.9034743681211,,,
2091,290.9018053715256,,,
2092,290.467339155133,,,
2093,290.46343949221995,,,
2094,290.4879459805658,,,
2095,290.6891205300244,,,
2096,290.8647073572361,,,
2097,290.62562376455384,,,
2098,290.57292348859465,,,
2099,290.62978433694155,,,
2100,290.8517922306455,,,
