year,tas,rlut,rsut,rsdt
2015,287.7360975467857,237.6442649448957,101.45030497351844,340.29969584646136
2016,287.7558284184086,237.91640054389632,101.44828297993593,340.25658474454093
2017,287.6714233000591,237.8327833028683,101.06167384403254,340.2076017628631
2018,287.7136869994344,237.42441600821348,101.36280379538893,340.1966805473166
2019,287.9446169993516,237.6935257934125,101.29688898728658,340.19386452564373
2020,288.02181031269555,237.89221130857155,101.6867951356034,340.2382636157195
2021,287.89428390398314,237.957996295537,101.35005408633681,340.27380925050915
2022,287.66720057924783,237.70055745499232,100.86361877783509,340.35336931893795
2023,287.7927901448523,237.5796191402078,100.94159291036992,340.40301910954554
2024,287.8984041384406,237.7260790963583,101.26264392720903,340.4476987770652
2025,288.0032738279628,237.8506527621241,101.65306597023032,340.373815429233
2026,287.97294175340545,237.62360929009245,101.28680030387146,340.32440396629045
2027,287.9480441872404,237.678202568337,101.07959581222688,340.2766301963336
2028,288.02685432121217,237.77769533945244,100.99963310491148,340.28903891614044
2029,288.08460703892564,237.4785543008461,101.09041002049064,340.22132432900474
2030,288.171697152867,237.77286923096213,101.32022951001865,340.2018430464679
2031,288.20178447439463,237.55087941689683,101.44960830127326,340.1877574125809
2032,288.13164999614975,237.66726130942288,101.3587027081121,340.22009580419945
2033,287.94517832466505,237.6599310498532,100.9425220338901,340.2316713995886
2034,288.03050504361033,237.28788107452309,101.10631443417428,340.30979652563224
2035,288.2704330403269,237.57874710262953,101.3821680925888,340.3160880092556
2036,288.316923022815,237.4235958596288,101.54243523950983,340.3856447504907
2037,288.14599404100534,237.41560658903492,101.18618398973688,340.31426453233615
2038,288.1435334918786,237.43030562530203,101.04698377414245,340.3127648550267
2039,288.2591423924931,237.5512080967931,100.85606793443947,340.27256792553607
2040,288.3660386944121,237.13852616866862,101.44925245200518,340.2539175867214
2041,288.6052194438286,237.79968673028625,101.40899778971811,340.183505092796
2042,288.31462817567177,237.70184009759,101.00559216319782,340.1724954410092
2043,288.2430667904918,237.4513180049593,100.5308178461123,340.1743965212098
2044,288.27458597983883,237.1725055920988,101.11319515768211,340.233327811716
2045,288.53568891732795,237.447020143537,100.91091585712563,340.269305216811
2046,288.50252003003925,237.36246546380858,101.33923580329538,340.31843673521684
2047,288.6794721777282,237.53469498400338,100.76994152314363,340.3771658184217
2048,288.64309263279154,237.63195634360133,101.3802163828985,340.41007607077296
2049,288.59624108737574,237.4872010917394,101.03057212289019,340.3331197075001
2050,288.73794833176504,237.66715368561043,101.1498688832213,340.26980547475193
2051,288.68765561642675,237.56542568534346,100.7466097931628,340.2361364778158
2052,288.76593609842564,237.462582964262,100.66991039765456,340.2382252587285
2053,288.9501363847822,237.60523031307972,100.9474091519586,340.1812742019993
2054,288.8636540020902,237.55594420765536,101.02561245199162,340.1885602504586
2055,288.80660872657376,237.68874840584712,100.70474550149117,340.23214421241863
2056,288.90345491908676,237.42517321486955,100.78319875422967,340.30997698028176
2057,289.03410426717556,237.56830053229578,100.90302266597887,340.28290754105757
2058,288.96390919440586,238.09557151143508,100.63648774525967,340.2930937485583
2059,288.9384423985737,237.59906072181994,100.69601871750815,340.29805056425346
2060,288.96691402310444,237.53172661048032,100.98424365776361,340.2893182276947
2061,289.0625215445188,237.8466167233677,100.47461388124707,340.2185426927073
2062,288.90163082846993,237.34767119359614,100.80463001513466,340.19017882062434
2063,289.032004631635,237.27210536971066,100.32536814676054,340.18388643248636
2064,289.3184930216452,237.56675910750775,100.65227063487254,340.20977538236133
2065,289.2579433051416,237.680430709942,101.167819177174,340.1890338822781
2066,288.978068997306,237.58663163061405,100.29151117625257,340.2449693850183
2067,289.12660763213427,237.28320864936575,100.71440190231449,340.29196921000397
2068,289.2781301711394,237.26548481879067,100.63227244179502,340.35412821871705
2069,289.3717015805861,237.6411358837222,100.84273819215277,340.31046086158284
2070,289.16775140261433,237.52120529728506,100.77862002023512,340.28000610669415
2071,289.1935717058622,237.27151377184677,100.0875814971672,340.23988400933393
2072,289.42878600668377,237.5420081506737,101.03022308893848,340.24732106690254
2073,289.5195356455067,237.4871821731205,100.72146602071759,340.1991604572816
2074,289.35238538877536,237.54099758573918,100.307461170488,340.1779437611138
2075,289.3247337868342,237.048573027893,100.25441155302373,340.1673514474985
2076,289.513332369471,237.1524577681614,100.6276308598559,340.19129252274746
2077,289.5664329486242,237.4105844567894,100.93321136732908,340.16860443304506
2078,289.67788354599384,237.36969218205607,100.89419431829675,340.2021358510143
2079,289.72673903802894,237.7230277768452,100.21515212799363,340.24444665490336
2080,289.6562439039545,237.29545271127438,100.31673572372425,340.2995085705581
2081,289.78700753659854,237.54852765506868,100.38912089740954,340.2714117936543
2082,289.71373953397193,237.26055668250638,100.2308684287451,340.2725387495869
2083,289.9753691837348,237.6285695484809,100.53669973257244,340.24426902730994
2084,289.88194715308083,237.4812178628916,100.94700586245229,340.26164607785967
2085,289.8547178317636,237.44371765954392,100.18923536253442,340.18591975994394
2086,289.84500233139033,237.51242771437725,100.25077750898829,340.16381472183167
2087,289.9893908519204,237.6829490129152,100.05408089347651,340.1649396183768
2088,290.16954577603576,237.42649782356602,100.31828103557756,340.1977966896456
2089,290.1921471844673,237.7996519240704,100.82315098128645,340.19769639733806
2090,290.03980525631346,237.65259088702805,100.27378914201257,340.25208743978277
2091,289.9933040119592,237.43855963023864,100.43028722900162,340.28868907718567
2092,290.12005919243495,237.3140299788616,100.38357152524354,340.37442895051885
2093,290.2267891366371,237.4431735563629,100.58305193301781,340.3202965979072
2094,290.0437677762139,237.2961176526106,100.56188752480672,340.2792135389066
2095,290.16673016167925,237.22743649644192,100.24837323741411,340.24554536830357
2096,290.3969592507636,237.32534372480487,100.24835983279407,340.23548681035544
2097,290.5785184493164,237.82236848544525,100.69846171211752,340.18978570547677
2098,290.29780014911245,237.49878970111988,99.76651537801085,340.1797076963551
2099,290.2516267357217,237.26920873709204,99.8054798765706,340.1976639964261
2100,290.51619759557076,237.36452369547956,100.11146617139048,340.2405351050859
