year,tas,rlut,rsut,rsdt
2015,287.93152196453656,239.2933508477081,99.2081630544259,340.28534479436416
2016,288.06163294663855,239.71564111559,99.37921579457202,340.24443894787737
2017,287.94035137377114,239.22166538403644,99.11691352834167,340.1937183955493
2018,287.99660719112524,239.25214729542162,98.48876750135624,340.1860567280326
2019,288.1326910526936,239.94446187875724,98.54383392340782,340.1847986263367
2020,288.15302733214475,239.79294988079957,98.40669499301414,340.22657064584104
2021,288.1061965137014,239.92251560390523,98.31595648733587,340.266378781257
2022,288.25668904208254,239.97105393915695,98.04191131634927,340.3442907566097
2023,288.24373868252695,240.12420734972355,98.38180281338856,340.38806879736865
2024,288.25112105028956,240.02415744056972,97.88562777663991,340.4374027476335
2025,288.3670118423185,240.5009812169204,98.1764007980891,340.36276756566
2026,288.3719842949402,240.1406063055155,97.71713261933921,340.3140234320279
2027,288.40394341690313,240.58017954183074,98.03963781779028,340.263549856645
2028,288.330427730796,240.3142974802868,97.72406539703626,340.2757709595782
2029,288.4482379169861,240.7137110096527,97.53392406086074,340.2108341496114
2030,288.43626728646353,240.6677717211211,98.10421387078257,340.19287065035627
2031,288.30300032073086,240.27650465671252,97.74187689579303,340.17549477548124
2032,288.4154929958848,240.36521712629875,97.3136380752156,340.2109648059782
2033,288.54104782966755,240.97183571846963,97.68975742289764,340.2219958701828
2034,288.33553845794154,240.52679093952761,97.65805946383921,340.296915942104
2035,288.38416583194754,240.36105248036893,97.14628483724778,340.30540425273085
2036,288.4960400699068,240.76963532576102,97.47265597036615,340.3707469389631
2037,288.7111679051248,241.0441420817991,97.5050119888365,340.3054414139633
2038,288.52804877531247,240.90429814216222,97.41455633495615,340.30500994003285
2039,288.6193697589355,240.70335228817592,96.58917499859488,340.25626400682575
2040,288.74114107874334,241.23737383238617,96.81991551451436,340.2429216674764
2041,288.7834399030745,241.4129334173704,96.97340278920463,340.1715282455391
2042,288.73624094717735,241.29004805216343,97.14888390982178,340.16056639168556
2043,288.73013790558656,241.25891768322887,96.75068887182483,340.1658891530223
2044,288.5433553320046,240.99112463543892,97.2854859630769,340.2218661598195
2045,288.6281089061227,241.0581283565355,96.70909034379508,340.26106774964165
2046,288.69265905327234,241.3556626719842,96.93705995532152,340.30886768806965
2047,288.6939126406755,241.160825758555,96.91167704150064,340.36220037493416
2048,288.56828935270863,241.11653139321243,97.63355650942212,340.39926126025676
2049,288.5303911010113,240.81424489024562,96.93215643131371,340.3240105703988
2050,288.6814465199982,241.2964095700588,97.15571937602311,340.25630887330016
2051,288.73349364175573,241.41814095586426,97.5460019091675,340.22313832231674
2052,288.63156735990236,240.99700698360334,96.55966391328535,340.2239191747185
2053,288.6880719952214,241.31287185502754,96.42922462707317,340.17064420172863
2054,288.70876381657393,241.842761748374,97.31157931667339,340.179102886333
2055,288.459072595514,241.0797358643448,96.9446484959197,340.21986582250764
2056,288.56473451171956,241.30028584855074,96.80969527351738,340.3022744857972
2057,288.8009052491228,241.40680331129474,96.21155505052606,340.2721641897201
2058,288.94837782345707,242.01920138485494,96.89916539903516,340.2805691444845
2059,288.70717612196603,241.42548654374437,96.76060390796158,340.28678700927645
2060,288.7580750088556,241.61339762098328,96.01493367187898,340.27566523420955
2061,288.875067351822,241.8021330643347,96.21003202601055,340.2089465941815
2062,288.9785640422967,242.01428671314514,96.94505937036483,340.1795646725618
2063,288.57640314050474,241.43430882620703,97.01033699581906,340.16932242047596
2064,288.6664216509907,241.34018698667376,96.54774108445639,340.1969272906125
2065,288.71895292275616,241.59108466931409,96.71629009028703,340.17812632721063
2066,288.73215636091385,241.64231392871875,96.739020477697,340.2338202639988
2067,288.70551784791843,241.56231096763076,96.65658335922205,340.28351884099067
2068,288.76690750133787,241.7218297466259,96.23221023247926,340.3433135456883
2069,288.84990588961045,241.9767035501716,96.89310740297903,340.3000442221801
2070,288.77345298513274,241.47088900908076,96.63678903213874,340.2695522071717
2071,288.79848113471155,241.8696265831362,96.3199503428243,340.2255288749125
2072,288.85851789540243,241.8448982733976,96.58150069219357,340.2356060996406
2073,288.8451888118821,241.82558003326756,95.81764341869486,340.1883574223352
2074,288.89888006732036,241.99366043475735,96.08105630058185,340.16507317941324
2075,288.9495031634286,242.20898690561125,96.29508052775263,340.15556609834726
2076,288.8420789093243,242.07208760232672,96.39386998549082,340.17760656656077
2077,288.7869823719475,241.995155154098,96.67159475200936,340.1586639253459
2078,288.85496040328536,241.866621933592,96.36309547008553,340.1939457709977
2079,288.85778329914336,242.06827156319272,96.75502966807629,340.231076892063
2080,288.7006871331827,241.94914107844014,96.96299239706946,340.2901059761153
2081,288.6332181412354,241.78065464946022,96.44483886736897,340.2614221762473
2082,288.7476960890782,241.8482985159335,96.05852471280694,340.25992198592877
2083,288.887127352913,242.39378442581196,96.22872990774408,340.23122864170483
2084,288.75094080660455,242.0442316415109,96.2186760363694,340.24980263424504
2085,288.91038822788727,242.17529733274424,96.2018474944511,340.17589298535466
2086,288.8211385648204,242.40284353048102,96.96091179873314,340.1524242019602
2087,288.61223452491623,241.8685345905262,96.20766068521868,340.15045056511116
2088,288.6777137982092,242.18138870904906,96.19513727511179,340.1853055499301
2089,288.65944163609896,242.13693632265742,96.77906973197783,340.18647209848916
2090,288.6283518279457,242.1266884637364,96.55550940157855,340.2403430074275
2091,288.67390191975045,242.086949215603,96.41691908663478,340.2805200724766
2092,288.6374380985869,242.2441501094379,96.18384757453039,340.36384634331796
2093,288.8184326433025,242.41648661168065,96.24958785550001,340.31100835009875
2094,288.6716611711494,242.0061275782609,96.2078161119228,340.2669977038261
2095,288.63952060458894,242.1052927029194,96.53090803059449,340.2331861235269
2096,288.7449022113961,242.41813256188934,95.7179151244821,340.22389947814423
2097,288.77712633302843,242.3426678610421,96.688636476546,340.1788426658953
2098,288.63821667917034,242.1498428280072,96.3441034360551,340.16573252419846
2099,288.6566963347537,242.19236633977053,96.3997183568397,340.1843420906344
2100,288.58234556402795,242.36009748026234,96.42196854668599,340.22733927456835
