year,tas,rlut,rsut,rsdt
1850,285.65045733973807,234.40529443210576,105.92193051786738,340.25624157169904
1851,285.6443227098834,234.34692080493065,105.26756146123056,340.2457714144977
1852,285.6697569142616,234.44831679867403,105.61922070217041,340.2439844753998
1853,285.8017097363192,234.19435113619974,105.742373280721,340.22423229337613
1854,285.8469116084337,234.9539235658489,105.90347885329447,340.1973174014504
1855,285.59002565219294,234.40476982110428,106.25500871877283,340.1804479853363
1856,285.64602877754186,234.38406535450247,105.70690487084526,340.1757175753634
1857,285.55631440621784,233.9471361576913,106.34616072461618,340.18763465682855
1858,285.5532194012015,234.11213657252014,105.60674877884362,340.22090845289887
1859,285.5493878122433,234.09177886408236,105.81722520009566,340.2484892562506
1860,285.637947560419,234.2520181697556,105.54940090525257,340.2694044344923
1861,285.6295122187674,234.81446256865533,106.38917350645464,340.2650631984288
1862,285.4456654501119,234.1711921994631,106.03221049332767,340.2411357048351
1863,285.4910864067603,233.92550721820695,105.73897811038397,340.2268679874429
1864,285.47761262908375,234.0090533872827,106.04668466497439,340.2133337418016
1865,285.6258910008073,234.26941860174296,105.51392694843251,340.20197924894586
1866,285.5946022656241,234.4398618583643,105.78719706104665,340.19641254539
1867,285.5992647922005,234.3062299459152,105.69299349123132,340.18783325484327
1868,285.76388863575477,234.5588500360076,105.47762332830172,340.20694616566243
1869,285.8075034270673,234.50356383873512,105.50954416983198,340.2418758303489
1870,285.87768476016953,234.8654598985129,105.9495750013711,340.2448780755019
1871,285.6729791393887,234.63211866632116,105.88676552593093,340.2652388175904
1872,285.63006756013567,234.35726583534984,105.72701795534154,340.2545454589012
1873,285.74272165274516,234.52384222657486,106.01745161808718,340.2358062795286
1874,285.6007037119029,234.33543214783012,106.04480108919675,340.21918909202594
1875,285.5688013215951,234.0631537229275,105.41370983915282,340.18861100058416
1876,285.6718230903475,234.38464581397133,105.88188350192549,340.1746216158871
1877,285.5006362784665,234.09033487135162,105.77204025729975,340.16573878381996
1878,285.6223979923234,233.96956633100385,105.71183607031249,340.1543630721787
1879,285.56774791586867,234.1677418484799,106.14538894509768,340.15692905659427
