year,tas,rlut,rsut,rsdt
2015,288.2511532378449,237.20378073299074,102.91371790589649,340.27273924558875
2016,288.23528976989735,237.37604903866438,102.94670151658083,340.20110599538845
2017,288.10851360904934,236.88837171393098,102.33895696241002,340.1823479497589
2018,288.2030257364207,236.72970421472587,102.02343383561548,340.17484333937654
2019,288.4171610503985,237.05326235378004,101.89924445317467,340.1736112717957
2020,288.6065453192498,237.8401141806105,102.96138653755787,340.1835943391424
2021,288.33918108896177,237.3674800047222,103.35682103815772,340.2540894960812
2022,288.2700608150724,237.309052443596,101.72713058835478,340.33069652356784
2023,288.37555747044684,237.24411574009025,101.27593216731537,340.37380232287114
2024,288.5876933478915,237.70228364654972,101.59904659943085,340.39185763888327
2025,288.7913266126894,237.9095217330578,101.54987634383188,340.34907719359455
2026,288.80746313585723,237.9033873397647,102.20194941270711,340.3012208617139
2027,288.68401664595893,237.46266530954816,102.42398011882494,340.25127931030835
2028,288.7214416836103,237.83167298763416,102.04055925428179,340.23200843071123
2029,288.5482589221411,237.6342719531893,102.70027451993263,340.1993526080162
2030,288.30549507241545,237.029592424227,102.99074912090346,340.1816034518105
2031,288.31645359662554,236.68463408725233,101.0712232037669,340.1644636780307
2032,288.50782933649504,237.1029048459658,101.14848592581792,340.1682190842686
2033,288.6960642642369,237.25919691938978,100.94764657652337,340.21025337873954
2034,288.8864141269367,237.87551597653535,101.23480269354819,340.28439020267405
2035,288.91313656996186,238.4294103926159,101.79278345634845,340.29224463033285
2036,288.72831823915794,237.6266628278327,102.42258251976939,340.3258493595652
2037,288.8780095246154,237.50780322494106,101.78410310494384,340.29237228170757
2038,288.9877606414559,237.97872033287277,101.98764975443493,340.2923231044466
2039,288.79533969245455,237.80351814416994,102.38902848671661,340.2440162767003
2040,288.6984903657603,237.4699577756828,101.34117925798017,340.200104139003
2041,288.6414190160937,237.4331132110092,100.14700183422919,340.1605251674222
2042,288.94801077595383,237.45635860695708,100.2064390695948,340.14970654342284
2043,289.26121347880206,238.01288326209726,101.2437386080123,340.155009869669
2044,289.2144306401405,238.36450608670768,101.93760447343611,340.17908276911766
2045,289.0822683908187,237.9881587614486,101.97028327264428,340.2488757145563
2046,288.892380792497,237.64238137111877,101.6094511091297,340.29607138574823
2047,288.92618104385525,237.75338829807507,101.32022441111457,340.34838966585824
2048,288.9491743589624,237.5271952483602,101.38631762268129,340.35398209584605
2049,288.99623131088305,237.4797306832868,101.61617281493581,340.31104155394087
2050,289.0144533918199,237.6341877918696,100.98905812275395,340.24419660835673
2051,289.1738667563979,238.04257780452193,100.56939681536439,340.21153756752733
2052,289.3737742587858,238.1529098448045,100.81800543321981,340.18115254891717
