year,tas,rlut,rsut,rsdt
2015,287.61722225914247,,,
2016,287.5785315981928,,,
2017,287.75818343835215,,,
2018,287.8097693300822,,,
2019,287.77534722450133,240.90002321285996,98.45039765016058,340.2983254491213
2020,287.8521124055438,241.05518216496196,98.29238601001633,340.3084134235799
2021,287.7495345339933,240.86379804142302,98.53483001008046,340.3796336300452
2022,287.89171706093913,240.82431362156083,97.89751681563767,340.4570934897179
2023,288.1741009898332,241.40573730283685,97.42434075687908,340.5013121721225
2024,288.2300616176834,241.98989999439797,97.50536098625618,340.51959725762237
2025,288.2511967973579,241.77562174439456,97.51862529095048,340.4765145341114
2026,288.20567008082605,241.47570647871032,97.46488926555372,340.4273990111976
2027,288.40337398169635,241.79930970676673,97.23224752243534,340.37728592839784
2028,288.5237209416053,242.4397750437481,97.13241772744941,340.3576725094976
2029,288.3975102767394,241.99793859981,97.09511761367169,340.32461966346267
2030,288.3780332671227,242.002505150774,97.3074829851688,340.3065259295103
2031,288.42026898696207,241.64370964572427,97.15831407756036,340.28909938081375
2032,288.4537176555749,242.06390293776985,97.00051548020156,340.2929471326003
2033,288.5530785190144,241.894608095773,96.7405134350869,340.3355130692399
2034,288.6810330152983,242.5261364435246,96.71352719531087,340.41021888847206
2035,288.6939319028616,242.387429760474,96.4148460788161,340.4186485638533
2036,288.8045994640122,242.6313171701003,96.08473024531315,340.45301560622505
2037,289.0054979640134,243.12664427097073,96.00918109542577,340.41782875803636
2038,288.9994009889828,243.17397050288847,96.06584046287709,340.4186183644728
2039,288.8746754662124,242.68640674064193,96.01338083710239,340.3701189416211
2040,288.9790732735293,243.02535298761507,95.95627041342607,340.3249644347473
2041,288.9416983663289,242.9972891386742,95.98146224408424,340.2851704672643
2042,289.08703352643033,243.13555626101547,95.71008615677782,340.27416000785126
2043,289.14453109496793,243.20120000297996,95.89124735959452,340.2795078837006
2044,288.93242821328073,242.7618162474871,96.10738227962963,340.3038081087479
2045,289.0776514511442,243.060353931025,95.50527983982373,340.3744666075363
2046,289.05940384089394,243.03118520452423,95.64070220688619,340.42246314882595
2047,289.0166071288927,243.0783081504231,95.65270804363449,340.47563219988825
2048,289.15821357367264,242.99023272819144,95.25076731392288,340.48193888083136
2049,289.33216316283625,243.60581424678733,95.16138437671104,340.4373001933543
2050,289.52109793099174,244.1672237891634,94.69914985017357,340.3702750448782
2051,289.3881814810492,,,
2052,289.2730811850725,,,
2053,289.36468201398435,,,
2054,289.4042778680943,,,
2055,289.3459990127178,,,
2056,289.4817915057654,,,
2057,289.82142415329014,,,
2058,289.7948218382549,,,
2059,289.7253950246092,,,
2060,289.83818317590465,,,
2061,289.9407294691129,,,
2062,289.7670999678145,,,
2063,289.77729170283897,,,
2064,289.90718516601015,,,
2065,289.954217937866,,,
2066,289.94163703767214,,,
2067,289.91825037862907,,,
2068,290.0585744561649,,,
2069,290.10112006668464,,,
2070,290.11455659324764,,,
2071,290.16331762263525,,,
2072,290.22597647546996,,,
2073,290.1858259190059,,,
2074,290.1549128032257,,,
2075,290.21241926756005,,,
2076,290.2909031248555,,,
2077,290.30519725973477,,,
2078,290.1643139728604,,,
2079,290.1480751966841,,,
2080,290.1729523532294,,,
2081,290.25927868450725,,,
2082,290.49965034771225,,,
2083,290.49250365004076,,,
2084,290.53854996229364,,,
2085,290.43849995385597,,,
2086,290.3225271240763,,,
2087,290.5126547375404,,,
2088,290.586775596681,,,
2089,290.3869746040197,,,
2090,290.45345639071655,,,
2091,290.6160960761601,,,
2092,290.75083699473527,,,
2093,290.6792350805003,,,
2094,290.64909396477464,,,
2095,290.8524980953752,,,
2096,290.79061357432755,,,
2097,290.81293897174186,,,
2098,290.776864974756,,,
2099,290.68367392388643,,,
2100,290.77166110480397,,,
